Time, 51_EV, 
2019 Aug 19 (Mon) 0:00, -4.14936, 
2019 Aug 19 (Mon) 0:30, -1.60119, 
2019 Aug 19 (Mon) 1:00, 0.946975, 
2019 Aug 19 (Mon) 1:30, 3.45419, 
2019 Aug 19 (Mon) 2:00, 5.86516, 
2019 Aug 19 (Mon) 2:30, 8.20332, 
2019 Aug 19 (Mon) 3:00, 10.4834, 
2019 Aug 19 (Mon) 3:30, 12.7205, 
2019 Aug 19 (Mon) 4:00, 14.9207, 
2019 Aug 19 (Mon) 4:30, 17.0923, 
2019 Aug 19 (Mon) 5:00, 19.2412, 
2019 Aug 19 (Mon) 5:30, 21.3704, 
2019 Aug 19 (Mon) 6:00, 23.4839, 
2019 Aug 19 (Mon) 6:30, 25.5842, 
2019 Aug 19 (Mon) 7:00, 27.6735, 
2019 Aug 19 (Mon) 7:30, 29.7533, 
2019 Aug 19 (Mon) 8:00, 31.8248, 
2019 Aug 19 (Mon) 8:30, 33.8891, 
2019 Aug 19 (Mon) 9:00, 33.8891, 
2019 Aug 19 (Mon) 9:30, 33.8891, 
2019 Aug 19 (Mon) 10:00, 33.8891, 
2019 Aug 19 (Mon) 10:30, 33.8891, 
2019 Aug 19 (Mon) 11:00, 33.8891, 
2019 Aug 19 (Mon) 11:30, 33.8891, 
2019 Aug 19 (Mon) 12:00, 33.8891, 
2019 Aug 19 (Mon) 12:30, 33.8891, 
2019 Aug 19 (Mon) 13:00, 33.8891, 
2019 Aug 19 (Mon) 13:30, 33.8891, 
2019 Aug 19 (Mon) 14:00, 33.8891, 
2019 Aug 19 (Mon) 14:30, 33.8891, 
2019 Aug 19 (Mon) 15:00, 33.8891, 
2019 Aug 19 (Mon) 15:30, 33.8891, 
2019 Aug 19 (Mon) 16:00, 33.8891, 
2019 Aug 19 (Mon) 16:30, 33.8891, 
2019 Aug 19 (Mon) 17:00, 33.8891, 
2019 Aug 19 (Mon) 17:30, 33.8891, 
2019 Aug 19 (Mon) 18:00, 33.8891, 
2019 Aug 19 (Mon) 18:30, 24.1455, 
2019 Aug 19 (Mon) 19:00, 26.2419, 
2019 Aug 19 (Mon) 19:30, 28.3279, 
2019 Aug 19 (Mon) 20:00, 30.4048, 
2019 Aug 19 (Mon) 20:30, 32.4738, 
2019 Aug 19 (Mon) 21:00, 34.5363, 
2019 Aug 19 (Mon) 21:30, 36.5924, 
2019 Aug 19 (Mon) 22:00, 38.643, 
2019 Aug 19 (Mon) 22:30, 40.6881, 
2019 Aug 19 (Mon) 23:00, 42.7283, 
2019 Aug 19 (Mon) 23:30, 44.7635, 
2019 Aug 20 (Tue) 0:00, 46.794, 
