Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 236.165, 333.988, -1.14807, 234.39, 331.478, -122.432, 236.825, 334.921, 119.154, 0.182052, 0.25743, 108.347, 
2019 Aug 19 (Mon) 0:30, 236.134, 333.943, -1.04557, 234.386, 331.472, -122.33, 236.814, 334.906, 119.233, 0.179392, 0.253667, 105.343, 
2019 Aug 19 (Mon) 1:00, 237.253, 335.526, -0.974955, 235.504, 333.053, -122.277, 237.677, 336.126, 119.278, 0.152575, 0.215749, 106.008, 
2019 Aug 19 (Mon) 1:30, 237.34, 335.65, -0.89921, 235.609, 333.202, -122.204, 237.753, 336.234, 119.335, 0.148414, 0.209863, 103.601, 
2019 Aug 19 (Mon) 2:00, 236.578, 334.571, -0.863005, 234.87, 332.156, -122.156, 237.177, 335.419, 119.368, 0.164636, 0.232797, 100.682, 
2019 Aug 19 (Mon) 2:30, 237.446, 335.799, -0.834798, 235.73, 333.373, -122.141, 237.842, 336.36, 119.383, 0.14439, 0.204173, 101.518, 
2019 Aug 19 (Mon) 3:00, 237.673, 336.121, -0.840701, 235.952, 333.687, -122.151, 238.015, 336.604, 119.377, 0.139412, 0.197138, 102.287, 
2019 Aug 19 (Mon) 3:30, 237.419, 335.761, -0.862222, 235.696, 333.325, -122.168, 237.818, 336.326, 119.362, 0.145677, 0.205994, 102.463, 
2019 Aug 19 (Mon) 4:00, 237.127, 335.348, -0.840595, 235.415, 332.927, -122.142, 237.599, 336.015, 119.381, 0.151719, 0.214533, 101.024, 
2019 Aug 19 (Mon) 4:30, 236.781, 334.859, -0.900192, 235.06, 332.425, -122.196, 237.327, 335.632, 119.338, 0.160945, 0.227579, 102.314, 
2019 Aug 19 (Mon) 5:00, 237.018, 335.194, -0.951584, 235.279, 332.735, -122.25, 237.501, 335.877, 119.297, 0.157056, 0.222083, 104.583, 
2019 Aug 19 (Mon) 5:30, 237.12, 335.338, -1.09928, 235.341, 332.822, -122.398, 237.559, 335.959, 119.184, 0.159743, 0.225887, 109.7, 
2019 Aug 19 (Mon) 6:00, 236.985, 335.147, -1.19064, 235.184, 332.601, -122.487, 237.444, 335.797, 119.116, 0.166189, 0.235004, 112.068, 
2019 Aug 19 (Mon) 6:30, 235.282, 332.738, -1.22619, 233.502, 330.222, -122.495, 236.139, 333.951, 119.102, 0.203882, 0.288305, 108.185, 
2019 Aug 19 (Mon) 7:00, 235.561, 333.133, -1.32895, 233.749, 330.572, -122.601, 236.339, 334.234, 119.021, 0.201758, 0.285301, 111.45, 
2019 Aug 19 (Mon) 7:30, 235.167, 332.577, -1.42369, 233.338, 329.99, -122.689, 236.026, 333.792, 118.952, 0.213879, 0.302443, 112.623, 
2019 Aug 19 (Mon) 8:00, 235.417, 332.93, -1.40227, 233.589, 330.345, -122.672, 236.22, 334.066, 118.967, 0.207769, 0.293801, 112.818, 
2019 Aug 19 (Mon) 8:30, 235.042, 332.4, -1.26976, 233.256, 329.874, -122.535, 235.951, 333.684, 119.07, 0.210574, 0.29777, 108.687, 
2019 Aug 19 (Mon) 9:00, 235.13, 332.524, -1.25329, 234.924, 332.233, -121.213, 236.026, 333.791, 119.082, 0.164245, 0.232242, 135.532, 
2019 Aug 19 (Mon) 9:30, 235.961, 333.7, -1.25085, 235.757, 333.41, -121.219, 236.662, 334.69, 119.078, 0.151939, 0.214836, 141.236, 
2019 Aug 19 (Mon) 10:00, 236.612, 334.62, -1.20982, 236.414, 334.34, -121.184, 237.163, 335.399, 119.105, 0.140157, 0.198178, 145.566, 
