Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 12 (House 3), House 3 Magnitude, House 3 Phase, 16 (House 4), House 4 Magnitude, House 4 Phase, 2 (House 5), House 5 Magnitude, House 5 Phase, 21 (House 6), House 6 Magnitude, House 6 Phase, 23 (House 7), House 7 Magnitude, House 7 Phase, 24 (House 8), House 8 Magnitude, House 8 Phase, 33 (House 9), House 9 Magnitude, House 9 Phase, 39 (House 10), House 10 Magnitude, House 10 Phase, 45 (House 11), House 11 Magnitude, House 11 Phase, 5 (House 12), House 12 Magnitude, House 12 Phase, 50 (House 13), House 13 Magnitude, House 13 Phase, 51 (House 14), House 14 Magnitude, House 14 Phase, 56 (House 15), House 15 Magnitude, House 15 Phase, 57 (House 16), House 16 Magnitude, House 16 Phase, 62 (House 17), House 17 Magnitude, House 17 Phase, 63 (House 18), House 18 Magnitude, House 18 Phase, 7 (House 19), House 19 Magnitude, House 19 Phase, 
2019 Aug 19 (Mon) 0:00, 235.468, 333.002, -1.1154, 233.861, 330.729, -122.404, 236.407, 334.329, 119.229, 236.283, 334.154, 119.221, 235.35, 332.835, -1.1224, 235.31, 332.778, -1.11186, 233.921, 330.815, -122.401, 236.49, 334.448, 119.207, 236.308, 334.19, 119.197, 233.484, 330.196, -122.437, 233.365, 330.027, -122.444, 235.606, 333.198, -1.09463, 235.664, 333.279, -1.09087, 230.328, 325.734, -122.441, 235.462, 332.994, -1.0761, 233.931, 330.828, -122.441, 235.362, 332.852, -1.06871, 233.854, 330.719, -122.458, 236.261, 334.124, 119.207, 
2019 Aug 19 (Mon) 0:30, 235.482, 333.021, -1.00663, 233.892, 330.773, -122.298, 236.434, 334.368, 119.308, 236.316, 334.201, 119.302, 235.369, 332.862, -1.01187, 235.333, 332.811, -1.00145, 233.949, 330.854, -122.295, 236.509, 334.474, 119.286, 236.335, 334.228, 119.279, 233.529, 330.26, -122.325, 233.415, 330.099, -122.33, 235.617, 333.212, -0.988636, 235.672, 333.291, -0.985752, 230.345, 325.758, -122.337, 235.484, 333.025, -0.969462, 233.951, 330.856, -122.333, 235.391, 332.893, -0.961317, 233.875, 330.748, -122.348, 236.292, 334.168, 119.288, 
2019 Aug 19 (Mon) 1:00, 236.689, 334.729, -0.962534, 235.075, 332.446, -122.266, 237.321, 335.623, 119.328, 237.226, 335.488, 119.32, 236.598, 334.6, -0.970279, 236.563, 334.55, -0.962687, 235.122, 332.513, -122.262, 237.395, 335.727, 119.313, 237.254, 335.528, 119.301, 234.786, 332.038, -122.299, 234.694, 331.907, -122.307, 236.793, 334.875, -0.943484, 236.837, 334.938, -0.939468, 231.477, 327.357, -122.297, 236.672, 334.705, -0.931645, 235.143, 332.542, -122.293, 236.59, 334.589, -0.927733, 235.087, 332.463, -122.308, 237.214, 335.471, 119.308, 
2019 Aug 19 (Mon) 1:30, 236.816, 334.908, -0.885172, 235.21, 332.638, -122.191, 237.426, 335.771, 119.383, 237.336, 335.644, 119.376, 236.73, 334.786, -0.89198, 236.697, 334.741, -0.884744, 235.255, 332.7, -122.188, 237.493, 335.866, 119.369, 237.361, 335.679, 119.358, 234.938, 332.253, -122.221, 234.852, 332.13, -122.228, 236.913, 335.046, -0.867871, 236.955, 335.105, -0.864335, 231.598, 327.529, -122.223, 236.802, 334.889, -0.856319, 235.271, 332.724, -122.217, 236.726, 334.781, -0.85231, 235.218, 332.649, -122.231, 237.324, 335.627, 119.365, 
2019 Aug 19 (Mon) 2:00, 236.032, 333.799, -0.826519, 234.456, 331.571, -122.126, 236.864, 334.977, 119.433, 236.764, 334.835, 119.429, 235.936, 333.664, -0.830253, 235.907, 333.623, -0.821258, 234.505, 331.64, -122.124, 236.925, 335.063, 119.415, 236.778, 334.854, 119.41, 234.147, 331.134, -122.147, 234.051, 330.998, -122.15, 236.147, 333.963, -0.812144, 236.194, 334.029, -0.810069, 230.866, 326.495, -122.166, 236.038, 333.808, -0.79527, 234.502, 331.636, -122.156, 235.96, 333.697, -0.787871, 234.437, 331.543, -122.169, 236.743, 334.806, 119.418, 
2019 Aug 19 (Mon) 2:30, 236.956, 335.106, -0.820239, 235.358, 332.846, -122.129, 237.539, 335.93, 119.429, 237.455, 335.811, 119.423, 236.875, 334.992, -0.826353, 236.846, 334.95, -0.819496, 235.399, 332.904, -122.126, 237.601, 336.018, 119.415, 237.477, 335.843, 119.406, 235.102, 332.484, -122.156, 235.02, 332.369, -122.162, 237.048, 335.237, -0.804341, 237.088, 335.293, -0.801166, 231.731, 327.718, -122.162, 236.945, 335.091, -0.793248, 235.413, 332.924, -122.153, 236.874, 334.99, -0.789288, 235.363, 332.854, -122.166, 237.443, 335.795, 119.412, 
2019 Aug 19 (Mon) 3:00, 237.192, 335.441, -0.832559, 235.586, 333.169, -122.143, 237.709, 336.171, 119.418, 237.628, 336.057, 119.411, 237.115, 335.331, -0.83951, 237.084, 335.288, -0.833186, 235.626, 333.225, -122.139, 237.772, 336.261, 119.405, 237.653, 336.092, 119.395, 235.342, 332.824, -122.173, 235.264, 332.713, -122.18, 237.279, 335.563, -0.815918, 237.317, 335.617, -0.812346, 231.952, 328.03, -122.174, 237.176, 335.417, -0.806385, 235.645, 333.253, -122.166, 237.105, 335.318, -0.803404, 235.599, 333.188, -122.179, 237.619, 336.044, 119.4, 
2019 Aug 19 (Mon) 3:30, 236.915, 335.048, -0.848365, 235.313, 332.783, -122.156, 237.504, 335.882, 119.409, 237.418, 335.76, 119.402, 236.832, 334.932, -0.854832, 236.802, 334.888, -0.847857, 235.356, 332.843, -122.153, 237.569, 335.973, 119.395, 237.441, 335.793, 119.385, 235.051, 332.413, -122.184, 234.968, 332.295, -122.191, 237.009, 335.182, -0.831824, 237.049, 335.239, -0.828468, 231.692, 327.662, -122.188, 236.903, 335.031, -0.820655, 235.371, 332.865, -122.181, 236.829, 334.927, -0.816749, 235.32, 332.793, -122.194, 237.406, 335.743, 119.392, 
2019 Aug 19 (Mon) 4:00, 236.619, 334.629, -0.817762, 235.029, 332.381, -122.123, 237.293, 335.583, 119.434, 237.204, 335.457, 119.429, 236.533, 334.507, -0.822929, 236.503, 334.466, -0.815297, 235.073, 332.443, -122.121, 237.355, 335.67, 119.419, 237.222, 335.483, 119.411, 234.755, 331.993, -122.148, 234.668, 331.87, -122.153, 236.719, 334.771, -0.802542, 236.761, 334.831, -0.799808, 231.416, 327.271, -122.158, 236.614, 334.623, -0.789312, 235.081, 332.454, -122.149, 236.541, 334.519, -0.784065, 235.025, 332.376, -122.162, 237.188, 335.435, 119.418, 
2019 Aug 19 (Mon) 4:30, 236.228, 334.077, -0.871146, 234.64, 331.832, -122.172, 237, 335.169, 119.399, 236.901, 335.029, 119.394, 236.133, 333.943, -0.876146, 236.102, 333.899, -0.867567, 234.689, 331.9, -122.169, 237.065, 335.261, 119.382, 236.919, 335.055, 119.374, 234.337, 331.403, -122.196, 234.241, 331.267, -122.201, 236.34, 334.236, -0.85527, 236.387, 334.301, -0.852581, 231.049, 326.752, -122.209, 236.227, 334.075, -0.839928, 234.693, 331.906, -122.201, 236.147, 333.963, -0.833602, 234.631, 331.818, -122.214, 236.883, 335.003, 119.382, 
2019 Aug 19 (Mon) 5:00, 236.453, 334.395, -0.931615, 234.85, 332.128, -122.233, 237.155, 335.387, 119.353, 237.057, 335.249, 119.346, 236.359, 334.263, -0.938218, 236.326, 334.215, -0.930108, 234.898, 332.196, -122.23, 237.225, 335.487, 119.337, 237.08, 335.282, 119.327, 234.552, 331.706, -122.263, 234.457, 331.572, -122.27, 236.562, 334.549, -0.913783, 236.607, 334.613, -0.910314, 231.257, 327.047, -122.267, 236.443, 334.381, -0.900257, 234.912, 332.215, -122.262, 236.361, 334.265, -0.895227, 234.852, 332.131, -122.276, 237.042, 335.227, 119.334, 
2019 Aug 19 (Mon) 5:30, 236.492, 334.451, -1.0898, 234.863, 332.147, -122.389, 237.158, 335.392, 119.238, 237.053, 335.243, 119.228, 236.392, 334.309, -1.09912, 236.352, 334.252, -1.09097, 234.915, 332.22, -122.384, 237.241, 335.51, 119.221, 237.086, 335.291, 119.207, 234.547, 331.699, -122.428, 234.445, 331.556, -122.437, 236.605, 334.609, -1.06785, 236.653, 334.679, -1.06303, 231.288, 327.09, -122.418, 236.47, 334.418, -1.05562, 234.942, 332.258, -122.419, 236.378, 334.289, -1.05191, 234.882, 332.173, -122.436, 237.041, 335.226, 119.214, 
2019 Aug 19 (Mon) 6:00, 236.309, 334.191, -1.18236, 234.67, 331.873, -122.478, 237.009, 335.182, 119.172, 236.897, 335.023, 119.161, 236.201, 334.039, -1.19272, 236.158, 333.978, -1.18406, 234.725, 331.951, -122.473, 237.1, 335.31, 119.155, 236.934, 335.075, 119.139, 234.331, 331.394, -122.521, 234.222, 331.24, -122.531, 236.428, 334.36, -1.15837, 236.481, 334.434, -1.15301, 231.113, 326.842, -122.506, 236.282, 334.154, -1.1456, 234.756, 331.994, -122.51, 236.183, 334.013, -1.14189, 234.692, 331.905, -122.529, 236.885, 335.005, 119.147, 
2019 Aug 19 (Mon) 6:30, 234.504, 331.639, -1.17362, 232.913, 329.389, -122.452, 235.693, 333.321, 119.195, 235.55, 333.118, 119.19, 234.368, 331.447, -1.17901, 234.327, 331.388, -1.16618, 232.983, 329.487, -122.45, 235.78, 333.443, 119.169, 235.57, 333.146, 119.161, 232.475, 328.769, -122.481, 232.337, 328.575, -122.486, 234.669, 331.872, -1.15309, 234.736, 331.966, -1.15002, 229.425, 324.456, -122.494, 234.513, 331.651, -1.1288, 232.979, 329.482, -122.495, 234.402, 331.494, -1.11819, 232.885, 329.35, -122.513, 235.52, 333.075, 119.173, 
2019 Aug 19 (Mon) 7:00, 234.75, 331.987, -1.28947, 233.135, 329.702, -122.568, 235.855, 333.549, 119.109, 235.711, 333.345, 119.1, 234.613, 331.792, -1.29745, 234.567, 331.727, -1.2851, 233.205, 329.801, -122.565, 235.952, 333.686, 119.083, 235.739, 333.385, 119.072, 232.695, 329.081, -122.606, 232.556, 328.884, -122.614, 234.912, 332.216, -1.26551, 234.979, 332.311, -1.26119, 229.651, 324.775, -122.605, 234.745, 331.98, -1.24359, 233.215, 329.815, -122.611, 234.628, 331.814, -1.23478, 233.125, 329.688, -122.631, 235.685, 333.308, 119.083, 
2019 Aug 19 (Mon) 7:30, 234.294, 331.341, -1.37855, 232.676, 329.053, -122.651, 235.507, 333.058, 119.048, 235.351, 332.836, 119.039, 234.145, 331.131, -1.3868, 234.096, 331.062, -1.37331, 232.752, 329.161, -122.648, 235.611, 333.204, 119.02, 235.38, 332.878, 119.008, 232.2, 328.38, -122.691, 232.049, 328.167, -122.699, 234.47, 331.59, -1.35311, 234.542, 331.693, -1.34861, 229.221, 324.167, -122.69, 234.29, 331.337, -1.32888, 232.76, 329.173, -122.698, 234.164, 331.159, -1.31901, 232.662, 329.034, -122.719, 235.322, 332.795, 119.021, 
2019 Aug 19 (Mon) 8:00, 234.566, 331.727, -1.36281, 232.944, 329.432, -122.638, 235.709, 333.343, 119.057, 235.558, 333.129, 119.048, 234.422, 331.523, -1.37152, 234.374, 331.455, -1.35868, 233.017, 329.536, -122.634, 235.811, 333.488, 119.031, 235.589, 333.173, 119.018, 232.485, 328.783, -122.679, 232.339, 328.578, -122.687, 234.735, 331.965, -1.33729, 234.805, 332.064, -1.33258, 229.476, 324.528, -122.675, 234.559, 331.716, -1.31469, 233.029, 329.553, -122.683, 234.436, 331.542, -1.30574, 232.936, 329.421, -122.704, 235.531, 333.091, 119.03, 
