Time, Deviation
2019 Aug 19 (Mon) 0:00, 66.9258
2019 Aug 19 (Mon) 0:30, 70.4393
2019 Aug 19 (Mon) 1:00, 74.3543
2019 Aug 19 (Mon) 1:30, 77.7604
2019 Aug 19 (Mon) 2:00, 78.5224
2019 Aug 19 (Mon) 2:30, 80.9943
2019 Aug 19 (Mon) 3:00, 80.9943
2019 Aug 19 (Mon) 3:30, 79.6031
2019 Aug 19 (Mon) 4:00, 80.2921
2019 Aug 19 (Mon) 4:30, 77.0506
2019 Aug 19 (Mon) 5:00, 75.074
2019 Aug 19 (Mon) 5:30, 69.4584
2019 Aug 19 (Mon) 6:00, 66.2773
2019 Aug 19 (Mon) 6:30, 63.7793
2019 Aug 19 (Mon) 7:00, 61.148
2019 Aug 19 (Mon) 7:30, 58.5083
2019 Aug 19 (Mon) 8:00, 59.1918
2019 Aug 19 (Mon) 8:30, 62.3569
2019 Aug 19 (Mon) 9:00, 21.0526
2019 Aug 19 (Mon) 9:30, 21.0526
2019 Aug 19 (Mon) 10:00, 21.0526
2019 Aug 19 (Mon) 10:30, 21.0526
2019 Aug 19 (Mon) 11:00, 21.0526
2019 Aug 19 (Mon) 11:30, 21.0526
2019 Aug 19 (Mon) 12:00, 21.0526
2019 Aug 19 (Mon) 12:30, 21.0526
2019 Aug 19 (Mon) 13:00, 21.0526
2019 Aug 19 (Mon) 13:30, 21.0526
2019 Aug 19 (Mon) 14:00, 21.0526
2019 Aug 19 (Mon) 14:30, 21.0526
2019 Aug 19 (Mon) 15:00, 21.0526
2019 Aug 19 (Mon) 15:30, 21.0526
2019 Aug 19 (Mon) 16:00, 21.0526
2019 Aug 19 (Mon) 16:30, 21.0526
2019 Aug 19 (Mon) 17:00, 21.0526
2019 Aug 19 (Mon) 17:30, 21.0526
2019 Aug 19 (Mon) 18:00, 21.0526
2019 Aug 19 (Mon) 18:30, 44.6075
2019 Aug 19 (Mon) 19:00, 44.387
2019 Aug 19 (Mon) 19:30, 43.894
2019 Aug 19 (Mon) 20:00, 44.9605
2019 Aug 19 (Mon) 20:30, 44.8484
2019 Aug 19 (Mon) 21:00, 45.418
2019 Aug 19 (Mon) 21:30, 46.731
2019 Aug 19 (Mon) 22:00, 49.6796
2019 Aug 19 (Mon) 22:30, 52.0946
2019 Aug 19 (Mon) 23:00, 56.0627
2019 Aug 19 (Mon) 23:30, 60.8031
2019 Aug 20 (Tue) 0:00, 66.9258
