Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.867438, 0.873579, 0.862558, 0.86378, 0.871219, 0.882348, 0.887262, 0.861505, 0.860784, 0.862269, 0.877155, 0.880814, 0.879543, 
2019 Aug 19 (Mon) 0:30, 0.852277, 0.85771, 0.84775, 0.848623, 0.854992, 0.86506, 0.869621, 0.845968, 0.844489, 0.845596, 0.861276, 0.864928, 0.864006, 
2019 Aug 19 (Mon) 1:00, 0.869103, 0.874165, 0.865198, 0.86633, 0.872555, 0.881583, 0.885516, 0.864771, 0.864564, 0.865868, 0.876905, 0.879707, 0.878551, 
2019 Aug 19 (Mon) 1:30, 0.861, 0.865575, 0.857392, 0.858333, 0.863871, 0.87211, 0.875746, 0.856669, 0.856143, 0.857237, 0.868214, 0.870903, 0.869942, 
2019 Aug 19 (Mon) 2:00, 0.837372, 0.841583, 0.833661, 0.83413, 0.838855, 0.846865, 0.850608, 0.831432, 0.829435, 0.830076, 0.844758, 0.847998, 0.847488, 
2019 Aug 19 (Mon) 2:30, 0.854996, 0.859165, 0.85165, 0.852444, 0.857434, 0.865003, 0.868377, 0.850743, 0.850016, 0.85095, 0.861691, 0.864265, 0.863447, 
2019 Aug 19 (Mon) 3:00, 0.861568, 0.865834, 0.858263, 0.85919, 0.864402, 0.872018, 0.875352, 0.857793, 0.857491, 0.858552, 0.868191, 0.870602, 0.869659, 
2019 Aug 19 (Mon) 3:30, 0.85799, 0.862337, 0.854538, 0.855404, 0.860638, 0.868491, 0.871972, 0.853739, 0.853125, 0.854134, 0.864896, 0.867507, 0.866619, 
2019 Aug 19 (Mon) 4:00, 0.847778, 0.851922, 0.844318, 0.844976, 0.849806, 0.857471, 0.860958, 0.842891, 0.841659, 0.842464, 0.854677, 0.857493, 0.856806, 
2019 Aug 19 (Mon) 4:30, 0.847383, 0.851871, 0.843606, 0.844283, 0.84949, 0.857837, 0.861648, 0.841939, 0.840505, 0.841356, 0.854915, 0.858024, 0.857309, 
2019 Aug 19 (Mon) 5:00, 0.860162, 0.865034, 0.856274, 0.857224, 0.863077, 0.871907, 0.875827, 0.855317, 0.85458, 0.855706, 0.867931, 0.870893, 0.869917, 
2019 Aug 19 (Mon) 5:30, 0.882885, 0.888767, 0.878504, 0.879964, 0.88734, 0.897669, 0.902083, 0.878616, 0.878983, 0.88065, 0.891653, 0.89461, 0.893124, 
2019 Aug 19 (Mon) 6:00, 0.892327, 0.89881, 0.887582, 0.889276, 0.897494, 0.908793, 0.913572, 0.88806, 0.888826, 0.890755, 0.90182, 0.904907, 0.903192, 
2019 Aug 19 (Mon) 6:30, 0.85926, 0.86599, 0.853751, 0.85493, 0.862948, 0.875341, 0.880887, 0.851997, 0.850654, 0.852162, 0.870193, 0.874498, 0.873249, 
2019 Aug 19 (Mon) 7:00, 0.880057, 0.887481, 0.874301, 0.875926, 0.885079, 0.898389, 0.904175, 0.87367, 0.873458, 0.875426, 0.891492, 0.895613, 0.893928, 
2019 Aug 19 (Mon) 7:30, 0.885667, 0.893797, 0.879414, 0.88125, 0.891348, 0.905882, 0.912162, 0.878977, 0.879018, 0.881251, 0.898073, 0.902464, 0.900557, 
2019 Aug 19 (Mon) 8:00, 0.887692, 0.895644, 0.881618, 0.883456, 0.893359, 0.907515, 0.913614, 0.881339, 0.881514, 0.883723, 0.899755, 0.903972, 0.902075, 
2019 Aug 19 (Mon) 8:30, 0.860588, 0.867654, 0.854817, 0.856077, 0.864525, 0.877525, 0.88333, 0.853068, 0.851761, 0.853375, 0.872021, 0.876502, 0.875168, 
2019 Aug 19 (Mon) 9:00, 0.263787, 0.273562, 0.259884, 0.265719, 0.281255, 0.294908, 0.298908, 0.273893, 0.288026, 0.29396, 0.27174, 0.270024, 0.264243, 
2019 Aug 19 (Mon) 9:30, 0.24389, 0.252905, 0.2403, 0.245687, 0.260017, 0.272606, 0.276296, 0.253206, 0.26623, 0.2717, 0.251231, 0.249652, 0.244327, 
2019 Aug 19 (Mon) 10:00, 0.224861, 0.233157, 0.221563, 0.226523, 0.239709, 0.251295, 0.254692, 0.233422, 0.245394, 0.250425, 0.231623, 0.230176, 0.225279, 
2019 Aug 19 (Mon) 10:30, 0.210061, 0.217802, 0.206986, 0.211615, 0.223918, 0.23473, 0.237901, 0.218037, 0.229197, 0.233888, 0.216375, 0.21503, 0.210464, 
2019 Aug 19 (Mon) 11:00, 0.220051, 0.228172, 0.21682, 0.221674, 0.23458, 0.245922, 0.249248, 0.228422, 0.240136, 0.245058, 0.226671, 0.225257, 0.220465, 
2019 Aug 19 (Mon) 11:30, 0.226801, 0.23517, 0.223472, 0.228476, 0.241779, 0.253468, 0.256895, 0.235438, 0.247518, 0.252594, 0.233621, 0.232161, 0.227221, 
2019 Aug 19 (Mon) 12:00, 0.231125, 0.239656, 0.227731, 0.232832, 0.246393, 0.258306, 0.261799, 0.239932, 0.25225, 0.257424, 0.238075, 0.236585, 0.231548, 
2019 Aug 19 (Mon) 12:30, 0.240772, 0.249671, 0.237225, 0.242543, 0.256689, 0.269119, 0.272763, 0.249961, 0.262818, 0.268217, 0.24802, 0.246462, 0.241205, 
2019 Aug 19 (Mon) 13:00, 0.228488, 0.23691, 0.225146, 0.230185, 0.243573, 0.25533, 0.258777, 0.23719, 0.24935, 0.254458, 0.235351, 0.233878, 0.228908, 
2019 Aug 19 (Mon) 13:30, 0.221112, 0.229266, 0.21787, 0.222746, 0.235709, 0.247097, 0.250436, 0.229524, 0.24129, 0.246234, 0.227759, 0.226338, 0.221526, 
2019 Aug 19 (Mon) 14:00, 0.237401, 0.24618, 0.233899, 0.239142, 0.253096, 0.265361, 0.268957, 0.246456, 0.259133, 0.264458, 0.244552, 0.243019, 0.237833, 
