Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.935008, 0.983571, 0.934978, 0.99567
2019 Aug 19 (Mon) 0:30, 0.91593, 0.979906, 0.915913, 0.99634
2019 Aug 19 (Mon) 1:00, 0.965622, 0.99321, 0.965591, 0.994712
2019 Aug 19 (Mon) 1:30, 0.96042, 0.992785, 0.960392, 0.995124
2019 Aug 19 (Mon) 2:00, 0.904412, 0.981024, 0.904408, 0.996761
2019 Aug 19 (Mon) 2:30, 0.956972, 0.992756, 0.956946, 0.995423
2019 Aug 19 (Mon) 3:00, 0.970855, 0.995225, 0.970828, 0.99489
2019 Aug 19 (Mon) 3:30, 0.959555, 0.992968, 0.959528, 0.995257
2019 Aug 19 (Mon) 4:00, 0.937462, 0.988862, 0.937442, 0.995993
2019 Aug 19 (Mon) 4:30, 0.926628, 0.98548, 0.926611, 0.996184
2019 Aug 19 (Mon) 5:00, 0.950148, 0.990055, 0.950119, 0.99538
2019 Aug 19 (Mon) 5:30, 0.972625, 0.993931, 0.972589, 0.994046
2019 Aug 19 (Mon) 6:00, 0.975274, 0.994072, 0.975235, 0.993677
2019 Aug 19 (Mon) 6:30, 0.903723, 0.972264, 0.903705, 0.996665
2019 Aug 19 (Mon) 7:00, 0.932542, 0.980199, 0.932504, 0.995701
2019 Aug 19 (Mon) 7:30, 0.928408, 0.977414, 0.928368, 0.995877
2019 Aug 19 (Mon) 8:00, 0.935893, 0.980346, 0.935851, 0.995565
2019 Aug 19 (Mon) 8:30, 0.899677, 0.969876, 0.899659, 0.996795
2019 Aug 19 (Mon) 9:00, 0.901297, 0.901204, 0.901282, 0.999851
2019 Aug 19 (Mon) 9:30, 0.940054, 0.939968, 0.940021, 0.999876
2019 Aug 19 (Mon) 10:00, 0.963038, 0.962965, 0.963002, 0.999897
2019 Aug 19 (Mon) 10:30, 0.975273, 0.975211, 0.975239, 0.999912
2019 Aug 19 (Mon) 11:00, 0.957006, 0.956933, 0.956972, 0.9999
2019 Aug 19 (Mon) 11:30, 0.959587, 0.959512, 0.959551, 0.999895
2019 Aug 19 (Mon) 12:00, 0.95787, 0.957793, 0.957833, 0.99989
2019 Aug 19 (Mon) 12:30, 0.936697, 0.936612, 0.936666, 0.999878
2019 Aug 19 (Mon) 13:00, 0.977935, 0.97787, 0.977898, 0.999897
2019 Aug 19 (Mon) 13:30, 0.967378, 0.967308, 0.967342, 0.999901
2019 Aug 19 (Mon) 14:00, 0.923384, 0.923301, 0.923361, 0.999881
2019 Aug 19 (Mon) 14:30, 0.898009, 0.897927, 0.898001, 0.999875
2019 Aug 19 (Mon) 15:00, 0.973513, 0.973443, 0.973474, 0.999894
2019 Aug 19 (Mon) 15:30, 0.952751, 0.952663, 0.952711, 0.999867
2019 Aug 19 (Mon) 16:00, 0.97352, 0.97344, 0.973475, 0.999863
2019 Aug 19 (Mon) 16:30, 0.945147, 0.945042, 0.9451, 0.999822
2019 Aug 19 (Mon) 17:00, 0.955351, 0.955238, 0.955295, 0.999791
2019 Aug 19 (Mon) 17:30, 0.928508, 0.928366, 0.928449, 0.999715
2019 Aug 19 (Mon) 18:00, 0.922779, 0.922617, 0.92271, 0.999647
2019 Aug 19 (Mon) 18:30, 0.926105, 0.967155, 0.926023, 0.996697
2019 Aug 19 (Mon) 19:00, 0.914626, 0.961316, 0.914545, 0.997186
2019 Aug 19 (Mon) 19:30, 0.956264, 0.980934, 0.956177, 0.995138
2019 Aug 19 (Mon) 20:00, 0.969179, 0.987128, 0.969099, 0.99403
2019 Aug 19 (Mon) 20:30, 0.902426, 0.955619, 0.902352, 0.99757
2019 Aug 19 (Mon) 21:00, 0.936866, 0.97285, 0.936786, 0.996112
2019 Aug 19 (Mon) 21:30, 0.933519, 0.972195, 0.933445, 0.996158
2019 Aug 19 (Mon) 22:00, 0.934313, 0.974466, 0.934249, 0.995909
2019 Aug 19 (Mon) 22:30, 0.930131, 0.974252, 0.930075, 0.995976
2019 Aug 19 (Mon) 23:00, 0.926774, 0.9754, 0.926729, 0.995985
2019 Aug 19 (Mon) 23:30, 0.903757, 0.970179, 0.903734, 0.996697
2019 Aug 20 (Tue) 0:00, 0.935008, 0.983571, 0.934978, 0.99567
