Time, 51 (14), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 230.328, 0, 0, -4.14936, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 230.345, 0, 0, -1.60119, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.477, 0, 0, 0.946975, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.598, 0, 0, 3.45419, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 230.866, 0, 0, 5.86516, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 231.731, 0, 0, 8.20332, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 231.952, 0, 0, 10.4834, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 231.692, 0, 0, 12.7205, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.416, 0, 0, 14.9207, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 231.049, 0, 0, 17.0923, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 231.257, 0, 0, 19.2412, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 231.288, 0, 0, 21.3704, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 231.113, 0, 0, 23.4839, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 229.425, 0, 0, 25.5842, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 229.651, 0, 0, 27.6735, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 229.221, 0, 0, 29.7533, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 229.476, 0, 0, 31.8248, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 229.17, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 234.575, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 235.42, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 236.097, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 236.555, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 236.072, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 236.006, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 235.908, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 235.427, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 236.349, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 236.234, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 235.318, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 234.965, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 236.218, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 235.44, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 235.742, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 234.663, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 234.418, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 233.023, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 232.172, 0, 0, 33.8891, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 226.459, 0, 0, 24.1455, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 226.029, 0, 0, 26.2419, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 227.339, 0, 0, 28.3279, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 228.116, 0, 0, 30.4048, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 225.786, 0, 0, 32.4738, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 227.023, 0, 0, 34.5363, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 227.234, 0, 0, 36.5924, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 227.899, 0, 0, 38.643, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 228.246, 0, 0, 40.6881, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 228.827, 0, 0, 42.7283, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 229.036, 0, 0, 44.7635, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 230.328, 0, 0, 46.794, 0, 0, 0, 
