Time, 33_EV, 50_EV, 57_EV, 
2019 Aug 19 (Mon) 0:00, 91.2555, 92.381, 97.2894, 
2019 Aug 19 (Mon) 0:30, 96.9702, 98.0795, 100, 
2019 Aug 19 (Mon) 1:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 1:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 2:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 2:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 3:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 3:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 4:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 4:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 5:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 5:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 6:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 6:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 7:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 7:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 8:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 8:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 9:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 9:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 10:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 10:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 11:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 11:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 12:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 12:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 13:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 13:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 14:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 14:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 15:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 15:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 16:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 16:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 17:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 17:30, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 18:00, 100, 98.0795, 100, 
2019 Aug 19 (Mon) 18:30, 90.2564, 88.3359, 90.2564, 
2019 Aug 19 (Mon) 19:00, 95.9848, 94.0883, 95.9848, 
2019 Aug 19 (Mon) 19:30, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 20:00, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 20:30, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 21:00, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 21:30, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 22:00, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 22:30, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 23:00, 100, 99.7595, 100, 
2019 Aug 19 (Mon) 23:30, 100, 99.7595, 100, 
2019 Aug 20 (Tue) 0:00, 100, 99.7595, 100, 
