Time, 33 (9), , , , , , , 50 (13), , , , , , , 57 (16), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 228.891, 0, 0, 91.2555, 0, 0, 0, 230.33, 0, 0, 92.381, 0, 0, 0, 229.476, 0, 0, 97.2894, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 228.922, 0, 0, 96.9702, 0, 0, 0, 235.671, 0, 0, 98.0795, 0, 0, 0, 235.519, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 237.256, 0, 0, 100, 0, 0, 0, 236.837, 0, 0, 98.0795, 0, 0, 0, 236.723, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 237.362, 0, 0, 100, 0, 0, 0, 236.955, 0, 0, 98.0795, 0, 0, 0, 236.847, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 236.78, 0, 0, 100, 0, 0, 0, 236.194, 0, 0, 98.0795, 0, 0, 0, 236.06, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 237.478, 0, 0, 100, 0, 0, 0, 237.087, 0, 0, 98.0795, 0, 0, 0, 236.985, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 237.654, 0, 0, 100, 0, 0, 0, 237.317, 0, 0, 98.0795, 0, 0, 0, 237.222, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 237.443, 0, 0, 100, 0, 0, 0, 237.049, 0, 0, 98.0795, 0, 0, 0, 236.945, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 237.224, 0, 0, 100, 0, 0, 0, 236.761, 0, 0, 98.0795, 0, 0, 0, 236.647, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 236.921, 0, 0, 100, 0, 0, 0, 236.386, 0, 0, 98.0795, 0, 0, 0, 236.258, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 237.082, 0, 0, 100, 0, 0, 0, 236.607, 0, 0, 98.0795, 0, 0, 0, 236.486, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 237.088, 0, 0, 100, 0, 0, 0, 236.653, 0, 0, 98.0795, 0, 0, 0, 236.531, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 236.936, 0, 0, 100, 0, 0, 0, 236.48, 0, 0, 98.0795, 0, 0, 0, 236.35, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 235.573, 0, 0, 100, 0, 0, 0, 234.735, 0, 0, 98.0795, 0, 0, 0, 234.545, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 235.742, 0, 0, 100, 0, 0, 0, 234.979, 0, 0, 98.0795, 0, 0, 0, 234.795, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 235.384, 0, 0, 100, 0, 0, 0, 234.542, 0, 0, 98.0795, 0, 0, 0, 234.341, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 235.593, 0, 0, 100, 0, 0, 0, 234.805, 0, 0, 98.0795, 0, 0, 0, 234.613, 0, 0, 100, 0, 0, 0, 
