Time, 10_EV, 21_EV, 33_EV, 39_EV, 45_EV, 56_EV, 57_EV, 5_EV, 62_EV, 
2019 Aug 19 (Mon) 0:00, 88.7036, 100, 98.0846, 100, 98.4892, 100, 98.3388, 90.8011, 100, 
2019 Aug 19 (Mon) 0:30, 94.4512, 100, 98.0846, 100, 98.4892, 100, 98.3388, 96.5214, 100, 
2019 Aug 19 (Mon) 1:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 1:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 2:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 2:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 3:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 3:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 4:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 4:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 5:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 5:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 6:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 6:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 7:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 7:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 8:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 8:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 9:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 9:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 10:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 10:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 11:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 11:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 12:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 12:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 13:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 13:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 14:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 14:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 15:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 15:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 16:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 16:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 17:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 17:30, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 18:00, 100, 100, 98.0846, 100, 98.4892, 100, 98.3388, 100, 100, 
2019 Aug 19 (Mon) 18:30, 90.2564, 90.2564, 88.341, 90.2564, 88.7456, 90.2564, 88.5952, 90.2564, 90.2564, 
2019 Aug 19 (Mon) 19:00, 95.9848, 95.9848, 94.0933, 95.9848, 94.4931, 95.9848, 94.3452, 95.9848, 95.9848, 
2019 Aug 19 (Mon) 19:30, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 99.7645, 100, 100, 100, 100, 100, 100, 
