Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 63.233, 89.4249, -12.8798, 63.3339, 89.5508, -133.05, 23.4066, 33.0777, 98.4418, 40.1343, 56.7575, -68.0799, 
2019 Aug 19 (Mon) 0:30, 61.1923, 86.5389, -13.8904, 61.2986, 86.671, -134.059, 22.1266, 31.2645, 95.6258, 39.5329, 55.9068, -68.2993, 
2019 Aug 19 (Mon) 1:00, 25.9762, 36.7357, -16.0301, 25.9842, 36.7235, -136.042, 18.6141, 26.3078, 104.236, 7.36832, 10.416, -76.6653, 
2019 Aug 19 (Mon) 1:30, 24.2187, 34.2503, -17.0622, 24.2289, 34.2393, -137.073, 17.3547, 24.5255, 103.184, 6.87247, 9.71447, -77.646, 
2019 Aug 19 (Mon) 2:00, 25.9813, 36.7429, -26.1073, 25.9985, 36.7271, -146.114, 18.6411, 26.3331, 94.1328, 7.35725, 10.3987, -86.6526, 
2019 Aug 19 (Mon) 2:30, 22.6403, 32.0181, -17.6934, 22.6519, 32.0083, -137.703, 16.2229, 22.9245, 102.535, 6.4273, 9.0847, -78.2341, 
2019 Aug 19 (Mon) 3:00, 22.1296, 31.2958, -14.6975, 22.1376, 31.2872, -134.708, 15.8499, 22.4015, 105.532, 6.28583, 8.88556, -75.2464, 
2019 Aug 19 (Mon) 3:30, 23.261, 32.8958, -17.2027, 23.2717, 32.8856, -137.213, 16.6674, 23.5536, 103.033, 6.6026, 9.33276, -77.7621, 
2019 Aug 19 (Mon) 4:00, 23.7199, 33.5448, -21.2004, 23.7348, 33.533, -141.209, 17.0057, 24.0262, 99.0314, 6.72789, 9.509, -81.7394, 
2019 Aug 19 (Mon) 4:30, 25.9581, 36.7101, -22.9734, 25.9731, 36.6954, -142.982, 18.6177, 26.3035, 97.2754, 7.35459, 10.3952, -83.5481, 
2019 Aug 19 (Mon) 5:00, 26.1875, 37.0346, -19.1075, 26.1988, 37.0211, -139.118, 18.7736, 26.529, 101.154, 7.42387, 10.4938, -79.7222, 
2019 Aug 19 (Mon) 5:30, 28.8501, 40.8001, -14.5234, 28.8548, 40.7857, -134.538, 20.674, 29.2227, 105.776, 8.17873, 11.5626, -75.2429, 
2019 Aug 19 (Mon) 6:00, 31.0667, 43.9349, -13.9441, 31.0694, 43.9185, -133.96, 22.2646, 31.4728, 106.379, 8.80256, 12.445, -74.725, 
2019 Aug 19 (Mon) 6:30, 37.0076, 52.3364, -26.5575, 37.0105, 52.3058, -146.569, 26.5803, 37.5635, 93.7809, 10.4334, 14.7508, -87.3363, 
2019 Aug 19 (Mon) 7:00, 37.9249, 53.6338, -22.4769, 37.9264, 53.6042, -142.491, 27.2283, 38.4827, 97.8873, 10.6997, 15.1274, -83.3313, 
2019 Aug 19 (Mon) 7:30, 40.9671, 57.9361, -23.2168, 40.9644, 57.9013, -143.232, 29.4239, 41.5881, 97.1731, 11.5431, 16.3206, -84.1312, 
2019 Aug 19 (Mon) 8:00, 39.7579, 56.226, -22.011, 39.7569, 56.194, -142.026, 28.5476, 40.3492, 98.3727, 11.2111, 15.8508, -82.9142, 
2019 Aug 19 (Mon) 8:30, 38.6272, 54.627, -27.1366, 38.6275, 54.5935, -147.148, 27.75, 39.2181, 93.2137, 10.8816, 15.3849, -87.9423, 
