Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 234.609, 331.788, -2.43894, 234.572, 331.735, -122.439, 237.15, 335.38, 119.185, 0.307733, 0.435198, 131.747, 
2019 Aug 19 (Mon) 0:30, 234.59, 331.76, -2.33853, 234.553, 331.709, -122.339, 237.127, 335.348, 119.258, 0.303636, 0.429405, 131.906, 
2019 Aug 19 (Mon) 1:00, 237.26, 335.537, -0.963137, 237.26, 335.536, -120.963, 237.924, 336.475, 119.309, 0.0454153, 0.0642112, 102.675, 
2019 Aug 19 (Mon) 1:30, 237.348, 335.661, -0.888242, 237.348, 335.66, -120.888, 237.986, 336.563, 119.363, 0.0423422, 0.059864, 101.735, 
2019 Aug 19 (Mon) 2:00, 236.594, 334.594, -0.851617, 236.594, 334.594, -120.851, 237.444, 335.796, 119.389, 0.0452484, 0.0639756, 92.6695, 
2019 Aug 19 (Mon) 2:30, 237.453, 335.81, -0.824587, 237.453, 335.81, -120.824, 238.061, 336.669, 119.409, 0.0395885, 0.0559687, 101.185, 
2019 Aug 19 (Mon) 3:00, 237.679, 336.129, -0.830661, 237.678, 336.128, -120.83, 238.223, 336.898, 119.404, 0.038737, 0.0547666, 104.191, 
2019 Aug 19 (Mon) 3:30, 237.426, 335.771, -0.851707, 237.426, 335.771, -120.851, 238.042, 336.642, 119.389, 0.0406745, 0.0575051, 101.642, 
2019 Aug 19 (Mon) 4:00, 237.138, 335.363, -0.83, 237.138, 335.363, -120.83, 237.834, 336.348, 119.404, 0.0414149, 0.0585512, 97.6459, 
2019 Aug 19 (Mon) 4:30, 236.794, 334.878, -0.888639, 236.794, 334.878, -120.888, 237.588, 336.001, 119.362, 0.0452626, 0.0639946, 95.778, 
2019 Aug 19 (Mon) 5:00, 237.028, 335.208, -0.939758, 237.028, 335.208, -120.939, 237.757, 336.239, 119.326, 0.0457282, 0.0646529, 99.605, 
2019 Aug 19 (Mon) 5:30, 237.126, 335.347, -1.08607, 237.126, 335.346, -121.086, 237.83, 336.342, 119.221, 0.0504438, 0.0713242, 104.031, 
2019 Aug 19 (Mon) 6:00, 236.991, 335.156, -1.17639, 236.99, 335.155, -121.176, 237.734, 336.206, 119.156, 0.0543138, 0.076798, 104.497, 
2019 Aug 19 (Mon) 6:30, 235.304, 332.77, -1.20975, 235.305, 332.771, -121.209, 236.52, 334.49, 119.131, 0.0641887, 0.0907705, 91.7027, 
2019 Aug 19 (Mon) 7:00, 235.578, 333.158, -1.31179, 235.579, 333.158, -121.311, 236.72, 334.772, 119.058, 0.0659102, 0.093203, 95.692, 
2019 Aug 19 (Mon) 7:30, 235.187, 332.605, -1.40515, 235.187, 332.605, -121.404, 236.439, 334.376, 118.99, 0.0711044, 0.100551, 94.8127, 
2019 Aug 19 (Mon) 8:00, 235.435, 332.956, -1.38422, 235.435, 332.956, -121.383, 236.618, 334.628, 119.006, 0.0690794, 0.0976857, 96.0637, 
