Time, 10 (2), , , , , , , 21 (6), , , , , , , 33 (9), , , , , , , 39 (10), , , , , , , 45 (11), , , , , , , 56 (15), , , , , , , 57 (16), , , , , , , 5 (12), , , , , , , 62 (17), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 229.429, 0, 0, 88.7036, 0, 0, 0, 233.738, 0, 0, 100, 0, 0, 0, 237.02, 0, 0, 98.0846, 0, 0, 0, 233.455, 0, 0, 100, 0, 0, 0, 233.336, 0, 0, 98.4892, 0, 0, 0, 233.891, 0, 0, 100, 0, 0, 0, 233.903, 0, 0, 98.3388, 0, 0, 0, 228.853, 0, 0, 90.8011, 0, 0, 0, 233.789, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 229.46, 0, 0, 94.4512, 0, 0, 0, 233.771, 0, 0, 100, 0, 0, 0, 237.046, 0, 0, 98.0846, 0, 0, 0, 233.501, 0, 0, 100, 0, 0, 0, 233.387, 0, 0, 98.4892, 0, 0, 0, 233.923, 0, 0, 100, 0, 0, 0, 233.923, 0, 0, 98.3388, 0, 0, 0, 228.872, 0, 0, 96.5214, 0, 0, 0, 233.828, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 236.659, 0, 0, 100, 0, 0, 0, 236.556, 0, 0, 100, 0, 0, 0, 237.256, 0, 0, 98.0846, 0, 0, 0, 236.368, 0, 0, 100, 0, 0, 0, 236.275, 0, 0, 98.4892, 0, 0, 0, 236.67, 0, 0, 100, 0, 0, 0, 236.723, 0, 0, 98.3388, 0, 0, 0, 236.789, 0, 0, 100, 0, 0, 0, 236.587, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 236.789, 0, 0, 100, 0, 0, 0, 236.692, 0, 0, 100, 0, 0, 0, 237.362, 0, 0, 98.0846, 0, 0, 0, 236.515, 0, 0, 100, 0, 0, 0, 236.428, 0, 0, 98.4892, 0, 0, 0, 236.8, 0, 0, 100, 0, 0, 0, 236.847, 0, 0, 98.3388, 0, 0, 0, 236.91, 0, 0, 100, 0, 0, 0, 236.723, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 236.017, 0, 0, 100, 0, 0, 0, 235.901, 0, 0, 100, 0, 0, 0, 236.78, 0, 0, 98.0846, 0, 0, 0, 235.706, 0, 0, 100, 0, 0, 0, 235.609, 0, 0, 98.4892, 0, 0, 0, 236.036, 0, 0, 100, 0, 0, 0, 236.06, 0, 0, 98.3388, 0, 0, 0, 236.144, 0, 0, 100, 0, 0, 0, 235.957, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 236.932, 0, 0, 100, 0, 0, 0, 236.84, 0, 0, 100, 0, 0, 0, 237.478, 0, 0, 98.0846, 0, 0, 0, 236.675, 0, 0, 100, 0, 0, 0, 236.593, 0, 0, 98.4892, 0, 0, 0, 236.943, 0, 0, 100, 0, 0, 0, 236.985, 0, 0, 98.3388, 0, 0, 0, 237.045, 0, 0, 100, 0, 0, 0, 236.871, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 237.165, 0, 0, 100, 0, 0, 0, 237.079, 0, 0, 100, 0, 0, 0, 237.654, 0, 0, 98.0846, 0, 0, 0, 236.92, 0, 0, 100, 0, 0, 0, 236.841, 0, 0, 98.4892, 0, 0, 0, 237.174, 0, 0, 100, 0, 0, 0, 237.222, 0, 0, 98.3388, 0, 0, 0, 237.276, 0, 0, 100, 0, 0, 0, 237.103, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 236.89, 0, 0, 100, 0, 0, 0, 236.796, 0, 0, 100, 0, 0, 0, 237.443, 0, 0, 98.0846, 0, 0, 0, 236.627, 0, 0, 100, 0, 0, 0, 236.543, 0, 0, 98.4892, 0, 0, 0, 236.9, 0, 0, 100, 0, 0, 0, 236.945, 0, 0, 98.3388, 0, 0, 0, 237.006, 0, 0, 100, 0, 0, 0, 236.826, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 236.598, 0, 0, 100, 0, 0, 0, 236.498, 0, 0, 100, 0, 0, 0, 237.224, 0, 0, 98.0846, 0, 0, 0, 236.322, 0, 0, 100, 0, 0, 0, 236.235, 0, 0, 98.4892, 0, 0, 0, 236.612, 0, 0, 100, 0, 0, 0, 236.647, 0, 0, 98.3388, 0, 0, 0, 236.716, 0, 0, 100, 0, 0, 0, 236.538, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 236.208, 0, 0, 100, 0, 0, 0, 236.097, 0, 0, 100, 0, 0, 0, 236.921, 0, 0, 98.0846, 0, 0, 0, 235.903, 0, 0, 100, 0, 0, 0, 235.807, 0, 0, 98.4892, 0, 0, 0, 236.225, 0, 0, 100, 0, 0, 0, 236.258, 0, 0, 98.3388, 0, 0, 0, 236.337, 0, 0, 100, 0, 0, 0, 236.144, 0, 0, 100, 0, 0, 0, 
