Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 127.738, 180.649, -20.578, 99.072, 140.083, -144.253, 99.0642, 140.076, 95.7758, 29.5302, 41.7619, -8.21547, 
2019 Aug 19 (Mon) 0:30, 93.6157, 132.393, -26.82, 93.6251, 132.38, -146.816, 93.6328, 132.394, 93.1868, 4.09903e-06, 5.7969e-06, -6.18093, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 4.22416e-06, 5.97387e-06, -5.90048, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 4.23692e-06, 5.99191e-06, -5.44032, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.333, 112.161, -147.865, 79.3394, 112.174, 92.1378, 4.15439e-06, 5.87519e-06, -5.11306, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 4.25146e-06, 6.01247e-06, -5.05093, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4923, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 4.27681e-06, 6.04833e-06, -5.11803, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 4.24722e-06, 6.00648e-06, -5.2189, 
2019 Aug 19 (Mon) 4:00, 72.7755, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 4.21564e-06, 5.96182e-06, -5.04578, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 4.17515e-06, 5.90456e-06, -5.36955, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 4.19903e-06, 5.93832e-06, -5.72298, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 4.20392e-06, 5.94523e-06, -6.6559, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 4.1848e-06, 5.9182e-06, -7.20527, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 4.00158e-06, 5.65909e-06, -7.16642, 
