Time, 59 (55), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 222.235, 231.391, 1, 94.7863, 0.0651711, 0.532586, 1, 
2019 Aug 19 (Mon) 0:30, 228.232, 231.391, 0.316269, 100, 0, 0.158135, 0, 
2019 Aug 19 (Mon) 1:00, 231.645, 231.391, 0.764113, 100, 0, 0.382057, 0, 
2019 Aug 19 (Mon) 1:30, 231.981, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 2:00, 229.723, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 2:30, 232.36, 231.391, 0.875449, 100, 0, 0.437725, 0, 
2019 Aug 19 (Mon) 3:00, 233.047, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 3:30, 232.253, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:00, 231.391, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:30, 230.297, 231.391, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 5:00, 230.96, 231.391, 0.918325, 100, 0, 0.459162, 0, 
2019 Aug 19 (Mon) 5:30, 231.12, 231.391, 0.967812, 100, 0, 0.483906, 0, 
2019 Aug 19 (Mon) 6:00, 230.619, 231.391, 0.979762, 100, 0, 0.489881, 0, 
2019 Aug 19 (Mon) 6:30, 225.552, 231.391, 0.942348, 100, 0, 0.471174, 0, 
2019 Aug 19 (Mon) 7:00, 226.256, 231.391, 0.56398, 100, 0, 0.28199, 0, 
2019 Aug 19 (Mon) 7:30, 225.008, 231.391, 0.616585, 100, 0, 0.308293, 0, 
2019 Aug 19 (Mon) 8:00, 225.758, 231.391, 0.523382, 100, 0, 0.261691, 0, 
2019 Aug 19 (Mon) 8:30, 224.813, 231.391, 0.579379, 100, 0, 0.289689, 0, 
2019 Aug 19 (Mon) 9:00, 225.093, 231.391, 0.508796, 100, 0, 0.254398, 0, 
2019 Aug 19 (Mon) 9:30, 227.526, 231.391, 0.529718, 100, 0, 0.264859, 0, 
2019 Aug 19 (Mon) 10:00, 229.495, 231.391, 0.711366, 100, 0, 0.355683, 0, 
2019 Aug 19 (Mon) 10:30, 230.84, 231.391, 0.858404, 100, 0, 0.429202, 0, 
2019 Aug 19 (Mon) 11:00, 229.418, 231.391, 0.95887, 100, 0, 0.479435, 0, 
2019 Aug 19 (Mon) 11:30, 229.23, 231.391, 0.852687, 100, 0, 0.426343, 0, 
2019 Aug 19 (Mon) 12:00, 228.944, 231.391, 0.838618, 100, 0, 0.419309, 0, 
2019 Aug 19 (Mon) 12:30, 227.544, 231.391, 0.817292, 100, 0, 0.408646, 0, 
2019 Aug 19 (Mon) 13:00, 230.24, 231.391, 0.712761, 100, 0, 0.35638, 0, 
2019 Aug 19 (Mon) 13:30, 229.897, 231.391, 0.914072, 100, 0, 0.457036, 0, 
2019 Aug 19 (Mon) 14:00, 227.223, 231.391, 0.888429, 100, 0, 0.444215, 0, 
2019 Aug 19 (Mon) 14:30, 226.2, 231.391, 0.688755, 100, 0, 0.344378, 0, 
2019 Aug 19 (Mon) 15:00, 229.853, 231.391, 0.612348, 100, 0, 0.306174, 0, 
2019 Aug 19 (Mon) 15:30, 227.589, 231.391, 0.885207, 100, 0, 0.442603, 0, 
2019 Aug 19 (Mon) 16:00, 228.466, 231.391, 0.716107, 100, 0, 0.358054, 0, 
2019 Aug 19 (Mon) 16:30, 225.352, 231.391, 0.781559, 100, 0, 0.390779, 0, 
2019 Aug 19 (Mon) 17:00, 224.641, 231.391, 0.549044, 100, 0, 0.274522, 0, 
2019 Aug 19 (Mon) 17:30, 220.705, 231.391, 0.495916, 100, 0, 0.247958, 0, 
2019 Aug 19 (Mon) 18:00, 218.33, 231.391, 0.202016, 100, 0, 0.101008, 0, 
2019 Aug 19 (Mon) 18:30, 217.146, 231.391, 0.0246576, 90.2564, 0.121795, 0.0732262, 0, 
2019 Aug 19 (Mon) 19:00, 215.944, 231.391, -1, 90.2564, 0.121795, 0, 0, 
2019 Aug 19 (Mon) 19:30, 219.631, 231.391, -1, 90.2564, 0.121795, 0, 0, 
2019 Aug 19 (Mon) 20:00, 221.862, 231.391, 0.121794, 90.2564, 0.121795, 0.121794, 0, 
2019 Aug 19 (Mon) 20:30, 215.269, 231.391, 0.288422, 90.2564, 0.121795, 0.205108, 0, 
2019 Aug 19 (Mon) 21:00, 218.738, 231.391, -1, 90.2564, 0.121795, 0, 0, 
2019 Aug 19 (Mon) 21:30, 219.335, 231.391, 0.0551088, 90.2564, 0.121795, 0.0884519, 0, 
2019 Aug 19 (Mon) 22:00, 221.228, 231.391, 0.099679, 90.2564, 0.121795, 0.110737, 0, 
2019 Aug 19 (Mon) 22:30, 222.215, 231.391, 0.241052, 90.2564, 0.121795, 0.181423, 0, 
2019 Aug 19 (Mon) 23:00, 223.876, 231.391, 0.314782, 90.2564, 0.121795, 0.218289, 0, 
2019 Aug 19 (Mon) 23:30, 218.546, 231.391, 0.438779, 90.2564, 0.121795, 0.280287, 1, 
2019 Aug 20 (Tue) 0:00, 222.235, 231.391, 0.0407674, 95.9848, 0.0501899, 0.0454787, 0, 
