Time, 48_EV, 50_EV, 63_EV, 
2019 Aug 19 (Mon) 0:00, 95.9259, 95.3592, 93.1716, 
2019 Aug 19 (Mon) 0:30, 95.9259, 95.3592, 98.8576, 
2019 Aug 19 (Mon) 1:00, 95.9259, 100, 98.8576, 
2019 Aug 19 (Mon) 1:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 2:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 2:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 3:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 3:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 4:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 4:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 5:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 5:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 6:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 6:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 7:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 7:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 8:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 8:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 9:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 9:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 10:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 10:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 11:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 11:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 12:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 12:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 13:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 13:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 14:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 14:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 15:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 15:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 16:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 16:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 17:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 17:30, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 18:00, 100, 100, 98.8576, 
2019 Aug 19 (Mon) 18:30, 90.2564, 90.2564, 89.114, 
2019 Aug 19 (Mon) 19:00, 90.2564, 90.2564, 89.114, 
2019 Aug 19 (Mon) 19:30, 90.2564, 90.2564, 89.114, 
2019 Aug 19 (Mon) 20:00, 90.2564, 90.2564, 89.114, 
2019 Aug 19 (Mon) 20:30, 90.2564, 90.2564, 94.8567, 
2019 Aug 19 (Mon) 21:00, 90.2564, 90.2564, 100, 
2019 Aug 19 (Mon) 21:30, 90.2564, 90.2564, 100, 
2019 Aug 19 (Mon) 22:00, 90.2564, 90.2564, 100, 
2019 Aug 19 (Mon) 22:30, 90.2564, 90.2564, 100, 
2019 Aug 19 (Mon) 23:00, 90.2564, 90.2564, 100, 
2019 Aug 19 (Mon) 23:30, 90.2564, 95.9848, 100, 
2019 Aug 20 (Tue) 0:00, 95.9848, 100, 100, 
