Time, 48 (43), , , , , , , 50 (46), , , , , , , 63 (60), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 225.028, 230.276, 1, 95.9259, 0.0509262, 0.525463, 0, 228.463, 231.563, 1, 95.3592, 0.0580095, 0.529005, 0, 221.453, 231.305, 1, 93.1716, 0.085355, 0.542677, 1, 
2019 Aug 19 (Mon) 0:30, 226.752, 230.276, 0.572514, 95.9259, 0.0509262, 0.31172, 0, 223.161, 231.563, 0.771472, 95.3592, 0.0580095, 0.414741, 1, 228.114, 231.305, 0.259549, 98.8576, 0.0142796, 0.136914, 0, 
2019 Aug 19 (Mon) 1:00, 221.783, 230.276, 0.71291, 95.9259, 0.0509262, 0.381918, 1, 231.854, 231.563, 0.380553, 100, 0, 0.190276, 0, 229.835, 231.305, 0.760152, 98.8576, 0.0142796, 0.387216, 0, 
2019 Aug 19 (Mon) 1:30, 230.864, 230.276, 0.308117, 100, 0, 0.154058, 0, 232.154, 231.563, 1, 100, 0, 0.5, 0, 231.895, 231.305, 0.889554, 98.8576, 0.0142796, 0.451917, 0, 
2019 Aug 19 (Mon) 2:00, 228.489, 230.276, 1, 100, 0, 0.5, 0, 229.914, 231.563, 1, 100, 0, 0.5, 0, 229.628, 231.305, 1, 98.8576, 0.0142796, 0.50714, 0, 
2019 Aug 19 (Mon) 2:30, 231.311, 230.276, 0.854387, 100, 0, 0.427194, 0, 232.522, 231.563, 0.878403, 100, 0, 0.439201, 0, 232.279, 231.305, 0.873947, 98.8576, 0.0142796, 0.444113, 0, 
2019 Aug 19 (Mon) 3:00, 232.037, 230.276, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 98.8576, 0.0142796, 0.50714, 0, 
2019 Aug 19 (Mon) 3:30, 231.179, 230.276, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 98.8576, 0.0142796, 0.50714, 0, 
2019 Aug 19 (Mon) 4:00, 230.276, 230.276, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 98.8576, 0.0142796, 0.50714, 0, 
2019 Aug 19 (Mon) 4:30, 229.074, 230.276, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 98.8576, 0.0142796, 0.50714, 0, 
2019 Aug 19 (Mon) 5:00, 229.744, 230.276, 0.902057, 100, 0, 0.451028, 0, 231.148, 231.563, 0.920607, 100, 0, 0.460304, 0, 230.866, 231.305, 0.917164, 98.8576, 0.0142796, 0.465722, 0, 
2019 Aug 19 (Mon) 5:30, 229.815, 230.276, 0.956611, 100, 0, 0.478305, 0, 231.321, 231.563, 0.969385, 100, 0, 0.484692, 0, 231.019, 231.305, 0.967011, 98.8576, 0.0142796, 0.490646, 0, 
