Time, Deviation
2019 Aug 19 (Mon) 0:00, 26.795
2019 Aug 19 (Mon) 0:30, 0
2019 Aug 19 (Mon) 1:00, 25.5169
2019 Aug 19 (Mon) 1:30, 0
2019 Aug 19 (Mon) 2:00, 0
2019 Aug 19 (Mon) 2:30, 0
2019 Aug 19 (Mon) 3:00, 0
2019 Aug 19 (Mon) 3:30, 0
2019 Aug 19 (Mon) 4:00, 0
2019 Aug 19 (Mon) 4:30, 0
2019 Aug 19 (Mon) 5:00, 0
2019 Aug 19 (Mon) 5:30, 1.49745e-14
2019 Aug 19 (Mon) 6:00, 0
2019 Aug 19 (Mon) 6:30, 0
2019 Aug 19 (Mon) 7:00, 1.2093e-14
2019 Aug 19 (Mon) 7:30, 1.12485e-14
2019 Aug 19 (Mon) 8:00, 0
2019 Aug 19 (Mon) 8:30, 0
2019 Aug 19 (Mon) 9:00, 0
2019 Aug 19 (Mon) 9:30, 0
2019 Aug 19 (Mon) 10:00, 0
2019 Aug 19 (Mon) 10:30, 0
2019 Aug 19 (Mon) 11:00, 0
2019 Aug 19 (Mon) 11:30, 1.34661e-14
2019 Aug 19 (Mon) 12:00, 0
2019 Aug 19 (Mon) 12:30, 0
2019 Aug 19 (Mon) 13:00, 0
2019 Aug 19 (Mon) 13:30, 0
2019 Aug 19 (Mon) 14:00, 0
2019 Aug 19 (Mon) 14:30, 0
2019 Aug 19 (Mon) 15:00, 0
2019 Aug 19 (Mon) 15:30, 0
2019 Aug 19 (Mon) 16:00, 0
2019 Aug 19 (Mon) 16:30, 0
2019 Aug 19 (Mon) 17:00, 0
2019 Aug 19 (Mon) 17:30, 0
2019 Aug 19 (Mon) 18:00, 0
2019 Aug 19 (Mon) 18:30, 0
2019 Aug 19 (Mon) 19:00, 0
2019 Aug 19 (Mon) 19:30, 0
2019 Aug 19 (Mon) 20:00, 11.3377
2019 Aug 19 (Mon) 20:30, 11.2977
2019 Aug 19 (Mon) 21:00, 0
2019 Aug 19 (Mon) 21:30, 12.7344
2019 Aug 19 (Mon) 22:00, 13.0408
2019 Aug 19 (Mon) 22:30, 14.9702
2019 Aug 19 (Mon) 23:00, 15.4082
2019 Aug 19 (Mon) 23:30, 14.6872
2019 Aug 20 (Tue) 0:00, 0
