Time, 13 (5), , , , , , , 33 (27), , , , , , , 4 (34), , , , , , , 56 (52), , , , , , , 58 (54), , , , , , , 5 (45), , , , , , , 60 (57), , , , , , , 63 (60), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 220.197, 231.134, 1, 97.7857, 0.027679, 0.51384, 1, 227.771, 231.047, 1, 100, 0, 0.5, 0, 224.683, 231.305, 1, 96.2525, 0.0468434, 0.523422, 0, 220.499, 231.391, 1, 90.991, 0.112613, 0.556306, 1, 228.576, 231.39, 1, 94.6829, 0.0664639, 0.533232, 0, 224.454, 231.133, 1, 100, 0, 0.5, 0, 226.183, 231.391, 1, 100, 0, 0.5, 0, 225.381, 231.305, 1, 100, 0, 0.5, 0, 221.764, 231.305, 1, 90.2709, 0.121613, 0.560807, 1, 
2019 Aug 19 (Mon) 0:30, 226.247, 231.134, 0.167283, 100, 0, 0.0836413, 0, 226.133, 231.047, 0.7489, 100, 0, 0.37445, 0, 226.468, 231.305, 0.502307, 96.2525, 0.0468434, 0.274575, 0, 222.607, 231.391, 0.186649, 96.7098, 0.0411278, 0.113888, 0, 222.595, 231.39, 0.789802, 94.6829, 0.0664639, 0.428133, 1, 226.246, 231.133, 0.491466, 100, 0, 0.245733, 0, 226.233, 231.391, 0.611116, 100, 0, 0.305558, 0, 225.441, 231.305, 0.554778, 100, 0, 0.277389, 0, 221.822, 231.305, 0.282918, 95.9993, 0.0500085, 0.166463, 0, 
2019 Aug 19 (Mon) 1:00, 229.674, 231.134, 0.627949, 100, 0, 0.313974, 0, 231.287, 231.047, 0.623377, 100, 0, 0.311689, 0, 225.487, 231.305, 0.636479, 96.2525, 0.0468434, 0.341661, 1, 229.947, 231.391, 0.344011, 100, 0, 0.172006, 0, 231.653, 231.39, 0.343142, 100, 0, 0.171571, 0, 228.987, 231.133, 0.627866, 100, 0, 0.313933, 0, 231.638, 231.391, 0.614848, 100, 0, 0.307424, 0, 231.545, 231.305, 0.559272, 100, 0, 0.279636, 0, 231.545, 231.305, 0.287299, 100, 0, 0.14365, 0, 
2019 Aug 19 (Mon) 1:30, 231.723, 231.134, 0.888847, 100, 0, 0.444423, 0, 231.636, 231.047, 1, 100, 0, 0.5, 0, 231.895, 231.305, 0.562736, 100, 0, 0.281368, 0, 231.981, 231.391, 0.892215, 100, 0, 0.446108, 0, 231.981, 231.39, 1, 100, 0, 0.5, 0, 231.723, 231.133, 0.836609, 100, 0, 0.418305, 0, 231.981, 231.391, 1, 100, 0, 0.5, 0, 231.895, 231.305, 1, 100, 0, 0.5, 0, 231.895, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 2:00, 229.438, 231.134, 1, 100, 0, 0.5, 0, 229.342, 231.047, 1, 100, 0, 0.5, 0, 229.628, 231.305, 1, 100, 0, 0.5, 0, 229.723, 231.391, 1, 100, 0, 0.5, 0, 229.723, 231.39, 1, 100, 0, 0.5, 0, 229.437, 231.133, 1, 100, 0, 0.5, 0, 229.723, 231.391, 1, 100, 0, 0.5, 0, 229.628, 231.305, 1, 100, 0, 0.5, 0, 229.628, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 231.134, 0.870912, 100, 0, 0.435456, 0, 232.036, 231.047, 0.869318, 100, 0, 0.434659, 0, 232.279, 231.305, 0.87395, 100, 0, 0.436975, 0, 232.36, 231.391, 0.87545, 100, 0, 0.437725, 0, 232.36, 231.39, 0.875447, 100, 0, 0.437723, 0, 232.117, 231.133, 0.870885, 100, 0, 0.435442, 0, 232.36, 231.391, 0.875452, 100, 0, 0.437726, 0, 232.279, 231.305, 0.873947, 100, 0, 0.436973, 0, 232.279, 231.305, 0.873947, 100, 0, 0.436973, 0, 
2019 Aug 19 (Mon) 3:00, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.735, 231.047, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 233.047, 231.391, 1, 100, 0, 0.5, 0, 233.047, 231.39, 1, 100, 0, 0.5, 0, 232.813, 231.133, 1, 100, 0, 0.5, 0, 233.047, 231.391, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 231.134, 1, 100, 0, 0.5, 0, 231.922, 231.047, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.253, 231.391, 1, 100, 0, 0.5, 0, 232.253, 231.39, 1, 100, 0, 0.5, 0, 232.004, 231.133, 1, 100, 0, 0.5, 0, 232.253, 231.391, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:00, 231.134, 231.134, 1, 100, 0, 0.5, 0, 231.047, 231.047, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.391, 231.391, 1, 100, 0, 0.5, 0, 231.39, 231.39, 1, 100, 0, 0.5, 0, 231.133, 231.133, 1, 100, 0, 0.5, 0, 231.391, 231.391, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:30, 230.015, 231.134, 1, 100, 0, 0.5, 0, 229.919, 231.047, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.297, 231.391, 1, 100, 0, 0.5, 0, 230.297, 231.39, 1, 100, 0, 0.5, 0, 230.014, 231.133, 1, 100, 0, 0.5, 0, 230.297, 231.391, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 5:00, 230.679, 231.134, 0.91482, 100, 0, 0.45741, 0, 230.584, 231.047, 0.913589, 100, 0, 0.456795, 0, 230.866, 231.305, 0.917167, 100, 0, 0.458583, 0, 230.96, 231.391, 0.918325, 100, 0, 0.459163, 0, 230.959, 231.39, 0.918323, 100, 0, 0.459162, 0, 230.678, 231.133, 0.914798, 100, 0, 0.457399, 0, 230.96, 231.391, 0.918327, 100, 0, 0.459163, 0, 230.866, 231.305, 0.917164, 100, 0, 0.458582, 0, 230.866, 231.305, 0.917164, 100, 0, 0.458582, 0, 
2019 Aug 19 (Mon) 5:30, 230.819, 231.134, 0.965398, 100, 0, 0.482699, 0, 230.717, 231.047, 0.964553, 100, 0, 0.482276, 0, 231.019, 231.305, 0.967015, 100, 0, 0.483507, 0, 231.12, 231.391, 0.967812, 100, 0, 0.483906, 0, 231.12, 231.39, 0.967812, 100, 0, 0.483906, 0, 230.818, 231.133, 0.965384, 100, 0, 0.482692, 0, 231.12, 231.391, 0.967813, 100, 0, 0.483906, 0, 231.019, 231.305, 0.967011, 100, 0, 0.483506, 0, 231.019, 231.305, 0.967011, 100, 0, 0.483506, 0, 
