Time, 11_EV, 13_EV, 17_EV, 23_EV, 30_EV, 35_EV, 37_EV, 40_EV, 41_EV, 45_EV, 48_EV, 4_EV, 51_EV, 52_EV, 54_EV, 55_EV, 57_EV, 
2019 Aug 19 (Mon) 0:00, 96.5877, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 89.7851, 98.5178, 95.6465, 100, 100, 94.8981, 93.6974, 100, 93.7166, 
2019 Aug 19 (Mon) 0:30, 96.5877, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 89.7851, 98.5178, 100, 100, 100, 100, 93.6974, 100, 99.3928, 
2019 Aug 19 (Mon) 1:00, 96.5877, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 89.7851, 98.5178, 100, 100, 100, 100, 93.6974, 100, 99.3928, 
2019 Aug 19 (Mon) 1:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 95.5201, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 2:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 2:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 3:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 3:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 4:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 4:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 5:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 5:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 6:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 6:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 7:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 7:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 8:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 8:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 9:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 9:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 10:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 10:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 11:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 11:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 12:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 12:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 13:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 13:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 14:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 14:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 15:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
