Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.935633, 0.974262, 0.961769, 0.47144
2019 Aug 19 (Mon) 0:30, 0.915718, 0.915747, 0.915766, 0.870259
2019 Aug 19 (Mon) 1:00, 0.981491, 0.989001, 0.965877, 0.171016
2019 Aug 19 (Mon) 1:30, 0.97938, 0.959948, 0.960847, 0.845209
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.867585
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.867799
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.868073
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.868228
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.867644
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.868358
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.869386
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.87188
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.873269
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.872604
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.874494
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.875767
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.87559
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.873147
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.872955
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.873516
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.873312
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.872847
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.872623
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.873273
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.873508
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.873119
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.874502
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.873265
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.872233
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.871357
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.874375
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.874993
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.87694
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.877386
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.880087
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.881729
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.884144
2019 Aug 19 (Mon) 18:30, 0.925649, 0.925662, 0.925672, 0.886289
2019 Aug 19 (Mon) 19:00, 0.914187, 0.914199, 0.91421, 0.886117
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.888258
2019 Aug 19 (Mon) 20:00, 0.968732, 0.977383, 0.96875, 0.701842
2019 Aug 19 (Mon) 20:30, 0.925345, 0.926854, 0.941353, 0.914778
2019 Aug 19 (Mon) 21:00, 0.952606, 0.937101, 0.963304, 0.630488
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.884418
2019 Aug 19 (Mon) 22:00, 0.934183, 0.952853, 0.933799, 0.876825
2019 Aug 19 (Mon) 22:30, 0.950364, 0.950676, 0.952018, 0.913738
2019 Aug 19 (Mon) 23:00, 0.949798, 0.950984, 0.951809, 0.925706
2019 Aug 19 (Mon) 23:30, 0.903481, 0.938211, 0.903535, 0.778241
2019 Aug 20 (Tue) 0:00, 0.934764, 0.934788, 0.934801, 0.871969
