Time, 11 (3), , , , , , , 13 (5), , , , , , , 17 (9), , , , , , , 23 (16), , , , , , , 30 (24), , , , , , , 35 (29), , , , , , , 37 (31), , , , , , , 40 (35), , , , , , , 41 (36), , , , , , , 45 (40), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 51 (47), , , , , , , 52 (48), , , , , , , 54 (50), , , , , , , 55 (51), , , , , , , 57 (53), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 223.795, 231.134, 1, 96.5877, 0.0426542, 0.521327, 0, 227.922, 231.134, 1, 100, 0, 0.5, 0, 227.472, 230.791, 1, 98.6111, 0.0173611, 0.508681, 0, 224.662, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 224.433, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 224.318, 231.047, 1, 100, 0, 0.5, 0, 226.34, 230.362, 1, 100, 0, 0.5, 0, 226.34, 230.362, 1, 100, 0, 0.5, 0, 226.913, 230.362, 1, 89.7851, 0.127686, 0.563843, 0, 220.062, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 216.53, 230.276, 1, 95.6465, 0.0544189, 0.527209, 1, 228.136, 231.305, 1, 100, 0, 0.5, 0, 225.007, 231.563, 1, 100, 0, 0.5, 0, 223.101, 231.563, 1, 94.8981, 0.0637736, 0.531887, 1, 225.007, 231.563, 1, 93.6974, 0.0787822, 0.539391, 0, 226.859, 231.39, 1, 100, 0, 0.5, 0, 220.506, 231.391, 1, 93.7166, 0.0785421, 0.539271, 1, 
2019 Aug 19 (Mon) 0:30, 227.898, 231.134, 0.441238, 96.5877, 0.0426542, 0.241946, 0, 227.898, 231.134, 0.755476, 100, 0, 0.377738, 0, 227.452, 230.791, 0.740519, 98.6111, 0.0173611, 0.37894, 0, 228.12, 231.305, 0.500758, 99.1863, 0.0101707, 0.255464, 0, 227.897, 231.133, 0.489818, 98.0929, 0.0238393, 0.256828, 0, 227.785, 231.047, 0.48424, 100, 0, 0.24212, 0, 226.894, 230.362, 0.674623, 100, 0, 0.337312, 0, 226.894, 230.362, 0.674623, 100, 0, 0.337312, 0, 226.895, 230.362, 0.720985, 89.7851, 0.127686, 0.424335, 0, 226.783, 230.276, 0.167954, 98.5178, 0.0185276, 0.0932411, 0, 226.783, 230.276, -1, 100, 0, 0, 0, 228.12, 231.305, 0.761823, 100, 0, 0.380911, 0, 228.456, 231.563, 0.516658, 100, 0, 0.258329, 0, 228.456, 231.563, 0.376094, 100, 0, 0.188047, 0, 228.456, 231.563, 0.516658, 93.6974, 0.0787822, 0.29772, 0, 228.232, 231.39, 0.661562, 100, 0, 0.330781, 0, 228.232, 231.391, 0.187139, 99.3928, 0.00758993, 0.0973645, 0, 
2019 Aug 19 (Mon) 1:00, 223.863, 231.134, 0.753642, 96.5877, 0.0426542, 0.398148, 1, 229.015, 231.134, 0.753636, 100, 0, 0.376818, 0, 228, 230.791, 0.738973, 98.6111, 0.0173611, 0.378167, 0, 228.055, 231.305, 0.760653, 99.1863, 0.0101707, 0.385412, 0, 227.877, 231.133, 0.753572, 98.0929, 0.0238393, 0.388706, 0, 227.787, 231.047, 0.749963, 100, 0, 0.374981, 0, 230.867, 230.362, 0.719511, 100, 0, 0.359755, 0, 230.867, 230.362, 0.719511, 100, 0, 0.359755, 0, 222.592, 230.362, 0.719517, 89.7851, 0.127686, 0.423601, 1, 227.626, 230.276, 0.715473, 98.5178, 0.0185276, 0.367, 0, 227.626, 230.276, 0.715473, 100, 0, 0.357737, 0, 229.864, 231.305, 0.760649, 100, 0, 0.380325, 0, 228.323, 231.563, 0.770944, 100, 0, 0.385472, 0, 231.844, 231.563, 0.770937, 100, 0, 0.385468, 0, 224.657, 231.563, 0.770944, 93.6974, 0.0787822, 0.424863, 1, 231.656, 231.39, 0.764109, 100, 0, 0.382055, 0, 228.144, 231.391, 0.764118, 99.3928, 0.00758993, 0.385854, 0, 
2019 Aug 19 (Mon) 1:30, 232.024, 231.134, 0.446384, 100, 0, 0.223192, 0, 229.359, 231.134, 0.838714, 100, 0, 0.419357, 0, 228.346, 230.791, 0.781856, 98.6111, 0.0173611, 0.399608, 0, 231.88, 231.305, 0.755748, 99.1863, 0.0101707, 0.38296, 0, 231.712, 231.133, 0.752048, 98.0929, 0.0238393, 0.387944, 0, 231.628, 231.047, 0.750163, 100, 0, 0.375081, 0, 230.998, 230.362, 1, 100, 0, 0.5, 0, 230.998, 230.362, 1, 100, 0, 0.5, 0, 222.933, 230.362, 0.371458, 95.5201, 0.0559983, 0.213728, 0, 232.143, 230.276, 0.78408, 98.5178, 0.0185276, 0.401304, 0, 232.143, 230.276, 0.78408, 100, 0, 0.39204, 0, 230.197, 231.305, 0.891717, 100, 0, 0.445859, 0, 232.132, 231.563, 0.761127, 100, 0, 0.380563, 0, 232.176, 231.563, 1, 100, 0, 0.5, 0, 232.132, 231.563, 0.49085, 99.3753, 0.00780815, 0.249329, 0, 232.003, 231.39, 1, 100, 0, 0.5, 0, 231.964, 231.391, 0.75756, 99.3928, 0.00758993, 0.382575, 0, 
2019 Aug 19 (Mon) 2:00, 229.438, 231.134, 1, 100, 0, 0.5, 0, 229.438, 231.134, 0.864911, 100, 0, 0.432456, 0, 229.058, 230.791, 0.8089, 98.6111, 0.0173611, 0.41313, 0, 229.628, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 229.437, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 229.342, 231.047, 1, 100, 0, 0.5, 0, 228.583, 230.362, 1, 100, 0, 0.5, 0, 228.583, 230.362, 1, 100, 0, 0.5, 0, 228.584, 230.362, 0.399075, 100, 0, 0.199538, 0, 228.489, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 228.489, 230.276, 1, 100, 0, 0.5, 0, 229.628, 231.305, 0.916749, 100, 0, 0.458374, 0, 229.914, 231.563, 1, 100, 0, 0.5, 0, 229.913, 231.563, 1, 100, 0, 0.5, 0, 229.914, 231.563, 1, 99.3753, 0.00780815, 0.503904, 0, 229.723, 231.39, 1, 100, 0, 0.5, 0, 229.723, 231.391, 1, 99.3928, 0.00758993, 0.503795, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 231.134, 0.870916, 100, 0, 0.435458, 0, 232.118, 231.134, 0.870912, 100, 0, 0.435456, 0, 231.795, 230.791, 0.864564, 98.6111, 0.0173611, 0.440962, 0, 232.279, 231.305, 0.873952, 99.1863, 0.0101707, 0.442062, 0, 232.118, 231.133, 0.870888, 98.0929, 0.0238393, 0.447364, 0, 232.037, 231.047, 0.869325, 100, 0, 0.434663, 0, 231.391, 230.362, 0.856133, 100, 0, 0.428067, 0, 231.391, 230.362, 0.856133, 100, 0, 0.428067, 0, 231.392, 230.362, 0.856138, 100, 0, 0.428069, 0, 231.311, 230.276, 0.854387, 98.5178, 0.0185276, 0.436458, 0, 231.311, 230.276, 0.854387, 100, 0, 0.427194, 0, 232.279, 231.305, 0.87395, 100, 0, 0.436975, 0, 232.522, 231.563, 0.878406, 100, 0, 0.439203, 0, 232.522, 231.563, 0.8784, 100, 0, 0.4392, 0, 232.522, 231.563, 0.878406, 99.3753, 0.00780815, 0.443107, 0, 232.36, 231.39, 0.875446, 100, 0, 0.437723, 0, 232.36, 231.391, 0.875452, 99.3928, 0.00758993, 0.441521, 0, 
2019 Aug 19 (Mon) 3:00, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.503, 230.791, 1, 98.6111, 0.0173611, 0.508681, 0, 232.969, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 232.813, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 232.736, 231.047, 1, 100, 0, 0.5, 0, 232.114, 230.362, 1, 100, 0, 0.5, 0, 232.114, 230.362, 1, 100, 0, 0.5, 0, 232.115, 230.362, 1, 100, 0, 0.5, 0, 232.037, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 232.037, 230.276, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 99.3753, 0.00780815, 0.503904, 0, 233.047, 231.39, 1, 100, 0, 0.5, 0, 233.047, 231.391, 1, 99.3928, 0.00758993, 0.503795, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 231.134, 1, 100, 0, 0.5, 0, 232.005, 231.134, 1, 100, 0, 0.5, 0, 231.674, 230.791, 1, 98.6111, 0.0173611, 0.508681, 0, 232.17, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 232.005, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 231.922, 231.047, 1, 100, 0, 0.5, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.179, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 231.179, 230.276, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 99.3753, 0.00780815, 0.503904, 0, 232.253, 231.39, 1, 100, 0, 0.5, 0, 232.253, 231.391, 1, 99.3928, 0.00758993, 0.503795, 0, 
2019 Aug 19 (Mon) 4:00, 231.134, 231.134, 1, 100, 0, 0.5, 0, 231.134, 231.134, 1, 100, 0, 0.5, 0, 230.791, 230.791, 1, 98.6111, 0.0173611, 0.508681, 0, 231.305, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 231.133, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 231.047, 231.047, 1, 100, 0, 0.5, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.276, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 230.276, 230.276, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 99.3753, 0.00780815, 0.503904, 0, 231.39, 231.39, 1, 100, 0, 0.5, 0, 231.391, 231.391, 1, 99.3928, 0.00758993, 0.503795, 0, 
2019 Aug 19 (Mon) 4:30, 230.015, 231.134, 1, 100, 0, 0.5, 0, 230.015, 231.134, 1, 100, 0, 0.5, 0, 229.638, 230.791, 1, 98.6111, 0.0173611, 0.508681, 0, 230.203, 231.305, 1, 99.1863, 0.0101707, 0.505085, 0, 230.014, 231.133, 1, 98.0929, 0.0238393, 0.51192, 0, 229.92, 231.047, 1, 100, 0, 0.5, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.074, 230.276, 1, 98.5178, 0.0185276, 0.509264, 0, 229.074, 230.276, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 99.3753, 0.00780815, 0.503904, 0, 230.297, 231.39, 1, 100, 0, 0.5, 0, 230.297, 231.391, 1, 99.3928, 0.00758993, 0.503795, 0, 
