Time, 10_EV, 11_EV, 13_EV, 14_EV, 15_EV, 16_EV, 18_EV, 19_EV, 20_EV, 24_EV, 25_EV, 29_EV, 30_EV, 31_EV, 32_EV, 38_EV, 39_EV, 3_EV, 41_EV, 45_EV, 46_EV, 47_EV, 48_EV, 4_EV, 50_EV, 52_EV, 58_EV, 60_EV, 62_EV, 65_EV, 66_EV, 6_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 0:00, 100, 100, 100, 93.0041, 100, 96.677, 100, 100, 100, 96.1902, 100, 95.334, 90.1766, 89.7092, 99.8273, 100, 83.8886, 87.6359, 100, 100, 100, 100, 100, 100, 100, 99.1692, 96.4341, 87.7991, 94.8179, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 0:30, 100, 100, 100, 93.0041, 100, 100, 100, 100, 100, 96.1902, 100, 100, 95.9064, 89.7092, 99.8273, 100, 89.689, 93.3966, 100, 100, 100, 100, 100, 100, 100, 99.1692, 96.4341, 93.5585, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 1:00, 100, 100, 100, 93.0041, 100, 100, 100, 100, 100, 96.1902, 100, 100, 100, 89.7092, 99.8273, 100, 95.4252, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 1:30, 100, 100, 100, 93.0041, 100, 100, 100, 100, 100, 100, 100, 100, 100, 95.4442, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 2:00, 100, 100, 100, 93.0041, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 2:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 3:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 3:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 4:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 4:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 5:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
