Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 11 (House 3), House 3 Magnitude, House 3 Phase, 12 (House 4), House 4 Magnitude, House 4 Phase, 13 (House 5), House 5 Magnitude, House 5 Phase, 14 (House 6), House 6 Magnitude, House 6 Phase, 15 (House 7), House 7 Magnitude, House 7 Phase, 16 (House 8), House 8 Magnitude, House 8 Phase, 17 (House 9), House 9 Magnitude, House 9 Phase, 18 (House 10), House 10 Magnitude, House 10 Phase, 19 (House 11), House 11 Magnitude, House 11 Phase, 2 (House 12), House 12 Magnitude, House 12 Phase, 20 (House 13), House 13 Magnitude, House 13 Phase, 21 (House 14), House 14 Magnitude, House 14 Phase, 22 (House 15), House 15 Magnitude, House 15 Phase, 23 (House 16), House 16 Magnitude, House 16 Phase, 24 (House 17), House 17 Magnitude, House 17 Phase, 25 (House 18), House 18 Magnitude, House 18 Phase, 26 (House 19), House 19 Magnitude, House 19 Phase, 27 (House 20), House 20 Magnitude, House 20 Phase, 28 (House 21), House 21 Magnitude, House 21 Phase, 29 (House 22), House 22 Magnitude, House 22 Phase, 3 (House 23), House 23 Magnitude, House 23 Phase, 30 (House 24), House 24 Magnitude, House 24 Phase, 31 (House 25), House 25 Magnitude, House 25 Phase, 32 (House 26), House 26 Magnitude, House 26 Phase, 33 (House 27), House 27 Magnitude, House 27 Phase, 34 (House 28), House 28 Magnitude, House 28 Phase, 35 (House 29), House 29 Magnitude, House 29 Phase, 36 (House 30), House 30 Magnitude, House 30 Phase, 37 (House 31), House 31 Magnitude, House 31 Phase, 38 (House 32), House 32 Magnitude, House 32 Phase, 39 (House 33), House 33 Magnitude, House 33 Phase, 4 (House 34), House 34 Magnitude, House 34 Phase, 40 (House 35), House 35 Magnitude, House 35 Phase, 41 (House 36), House 36 Magnitude, House 36 Phase, 42 (House 37), House 37 Magnitude, House 37 Phase, 43 (House 38), House 38 Magnitude, House 38 Phase, 44 (House 39), House 39 Magnitude, House 39 Phase, 45 (House 40), House 40 Magnitude, House 40 Phase, 46 (House 41), House 41 Magnitude, House 41 Phase, 47 (House 42), House 42 Magnitude, House 42 Phase, 48 (House 43), House 43 Magnitude, House 43 Phase, 49 (House 44), House 44 Magnitude, House 44 Phase, 5 (House 45), House 45 Magnitude, House 45 Phase, 50 (House 46), House 46 Magnitude, House 46 Phase, 51 (House 47), House 47 Magnitude, House 47 Phase, 52 (House 48), House 48 Magnitude, House 48 Phase, 53 (House 49), House 49 Magnitude, House 49 Phase, 54 (House 50), House 50 Magnitude, House 50 Phase, 55 (House 51), House 51 Magnitude, House 51 Phase, 56 (House 52), House 52 Magnitude, House 52 Phase, 57 (House 53), House 53 Magnitude, House 53 Phase, 58 (House 54), House 54 Magnitude, House 54 Phase, 59 (House 55), House 55 Magnitude, House 55 Phase, 6 (House 56), House 56 Magnitude, House 56 Phase, 60 (House 57), House 57 Magnitude, House 57 Phase, 61 (House 58), House 58 Magnitude, House 58 Phase, 62 (House 59), House 59 Magnitude, House 59 Phase, 63 (House 60), House 60 Magnitude, House 60 Phase, 64 (House 61), House 61 Magnitude, House 61 Phase, 65 (House 62), House 62 Magnitude, House 62 Phase, 66 (House 63), House 63 Magnitude, House 63 Phase, 7 (House 64), House 64 Magnitude, House 64 Phase, 8 (House 65), House 65 Magnitude, House 65 Phase, 9 (House 66), House 66 Magnitude, House 66 Phase, 
2019 Aug 19 (Mon) 0:00, 224.861, 318.002, -5.76859, 220.081, 311.242, -128.551, 219.396, 310.273, -128.352, 226.051, 319.684, 115.116, 224.861, 318.002, -5.76859, 219.396, 310.273, -128.352, 226.051, 319.684, 115.116, 221.908, 313.825, 114.843, 224.774, 317.878, -5.65509, 217.621, 307.763, -128.489, 225.527, 318.943, 114.878, 224.774, 317.878, -5.65509, 225.471, 318.865, 114.811, 224.439, 317.404, -5.58746, 216.663, 306.407, -128.614, 220.621, 312.006, -128.383, 226.67, 320.559, 115.384, 224.062, 316.871, -5.90572, 220.621, 312.006, -128.383, 226.67, 320.559, 115.384, 226.758, 320.684, 115.416, 219.589, 310.545, -5.96636, 214.129, 302.824, -128.524, 216.549, 306.247, -128.586, 226.758, 320.684, 115.416, 219.959, 311.07, -128.555, 226.639, 320.516, 115.406, 223.066, 315.463, -5.93741, 219.959, 311.07, -128.555, 226.639, 320.516, 115.406, 225.545, 318.969, 114.749, 224.215, 317.088, -5.50951, 212.344, 300.3, -128.772, 224.062, 316.871, -5.90572, 225.545, 318.969, 114.749, 224.215, 317.088, -5.50951, 215.808, 305.198, -128.737, 225.413, 318.782, 114.743, 224.106, 316.933, -5.52044, 215.707, 305.056, -128.74, 225.413, 318.782, 114.743, 224.106, 316.933, -5.52044, 215.707, 305.056, -128.74, 226.699, 320.6, 115.36, 223.17, 315.61, -5.93143, 225.062, 318.286, -5.87428, 221.284, 312.942, -128.21, 226.699, 320.6, 115.36, 225.062, 318.286, -5.87428, 221.284, 312.942, -128.21, 226.795, 320.737, 115.393, 224.162, 317.012, -5.89838, 220.74, 312.173, -128.38, 226.795, 320.737, 115.393, 224.162, 317.012, -5.89838, 223.066, 315.463, -5.93741, 217.197, 307.163, -128.415, 226.663, 320.55, 115.486, 219.794, 310.836, -6.05415, 220.986, 312.521, -128.428, 226.663, 320.55, 115.486, 223.379, 315.905, -6.01923, 220.986, 312.521, -128.428, 225.471, 318.865, 114.811, 224.439, 317.404, -5.58746, 216.663, 306.407, -128.614, 
2019 Aug 19 (Mon) 0:30, 228.006, 322.45, -2.9402, 219.528, 310.459, -128.149, 219.569, 310.517, -128.133, 226.767, 320.697, 115.534, 228.006, 322.45, -2.9402, 219.569, 310.517, -128.133, 226.767, 320.697, 115.534, 226.925, 320.92, 115.414, 227.622, 321.905, -2.77983, 217.859, 308.099, -128.364, 226.925, 320.92, 115.414, 227.622, 321.905, -2.77983, 226.867, 320.838, 115.349, 227.33, 321.493, -2.71015, 216.911, 306.759, -128.479, 220.404, 311.698, -128.028, 226.719, 320.629, 115.592, 228.187, 322.705, -3.01296, 220.404, 311.698, -128.028, 226.719, 320.629, 115.592, 226.825, 320.778, 115.532, 227.982, 322.416, -2.92652, 214.362, 303.153, -128.399, 216.004, 305.476, -128.184, 226.825, 320.778, 115.532, 219.423, 310.311, -128.152, 226.705, 320.609, 115.526, 227.876, 322.265, -2.93324, 219.423, 310.311, -128.152, 226.705, 320.609, 115.526, 226.94, 320.941, 115.29, 227.141, 321.227, -2.63124, 212.596, 300.656, -128.63, 228.187, 322.705, -3.01296, 226.94, 320.941, 115.29, 227.141, 321.227, -2.63124, 216.064, 305.56, -128.595, 226.807, 320.753, 115.285, 227.04, 321.083, -2.6411, 215.967, 305.424, -128.595, 226.807, 320.753, 115.285, 227.04, 321.083, -2.6411, 215.967, 305.424, -128.595, 226.73, 320.645, 115.659, 227.982, 322.416, -2.92652, 228.5, 323.148, -3.09333, 221.388, 313.09, -127.903, 226.73, 320.645, 115.659, 228.5, 323.148, -3.09333, 221.388, 313.09, -127.903, 226.163, 319.843, 115.484, 228.645, 323.353, -3.05267, 220.458, 311.775, -127.923, 222.533, 314.71, 115.449, 228.645, 323.353, -3.05267, 227.876, 322.265, -2.93324, 216.92, 306.771, -127.958, 226.05, 319.682, 115.479, 228.532, 323.194, -3.05856, 220.353, 311.627, -127.928, 226.05, 319.682, 115.479, 228.532, 323.194, -3.05856, 220.353, 311.627, -127.928, 226.867, 320.838, 115.349, 227.33, 321.493, -2.71015, 216.911, 306.759, -128.479, 
2019 Aug 19 (Mon) 1:00, 231.386, 327.229, -2.87821, 229.665, 324.795, -123.913, 229.018, 323.881, -124.309, 228.183, 322.7, 114.482, 231.386, 327.229, -2.87821, 229.018, 323.881, -124.309, 228.183, 322.7, 114.482, 228.148, 322.65, 114.408, 231.024, 326.718, -2.81737, 227.994, 322.432, -124.445, 228.148, 322.65, 114.408, 231.024, 326.718, -2.81737, 228.21, 322.738, 114.342, 230.753, 326.334, -2.74716, 227.057, 321.107, -124.575, 229.847, 325.053, -123.995, 223.045, 315.433, 114.284, 232.245, 328.445, -3.05163, 229.847, 325.053, -123.995, 226.684, 320.579, 114.319, 225.831, 319.373, 114.194, 232.394, 328.655, -3.11593, 227.994, 322.432, -124.445, 229.665, 324.795, -123.913, 222.205, 314.246, 114.159, 229.58, 324.675, -123.924, 225.747, 319.255, 114.189, 232.289, 328.506, -3.12363, 229.58, 324.675, -123.924, 225.747, 319.255, 114.189, 228.373, 322.968, 114.282, 230.569, 326.074, -2.66684, 222.574, 314.768, -124.734, 232.245, 328.445, -3.05163, 228.373, 322.968, 114.282, 230.569, 326.074, -2.66684, 226.206, 319.904, -124.7, 228.269, 322.821, 114.275, 230.483, 325.953, -2.67758, 226.124, 319.787, -124.705, 228.269, 322.821, 114.275, 230.483, 325.953, -2.67758, 226.124, 319.787, -124.705, 228.312, 322.882, 114.564, 232.394, 328.655, -3.11593, 231.839, 327.87, -2.93043, 230.132, 325.456, -124.168, 228.312, 322.882, 114.564, 231.839, 327.87, -2.93043, 230.132, 325.456, -124.168, 228.133, 322.629, 114.549, 231.652, 327.606, -2.94576, 229.951, 325.2, -124.184, 228.133, 322.629, 114.549, 231.652, 327.606, -2.94576, 232.289, 328.506, -3.12363, 229.951, 325.2, -124.184, 228.043, 322.502, 114.542, 231.559, 327.474, -2.95343, 229.861, 325.072, -124.192, 228.043, 322.502, 114.542, 231.559, 327.474, -2.95343, 229.861, 325.072, -124.192, 228.21, 322.738, 114.342, 230.753, 326.334, -2.74716, 227.057, 321.107, -124.575, 
2019 Aug 19 (Mon) 1:30, 231.714, 327.694, -2.73371, 231.723, 327.705, -122.535, 231.736, 327.725, -122.732, 230.036, 325.32, 116.001, 231.714, 327.694, -2.73371, 231.736, 327.725, -122.732, 230.036, 325.32, 116.001, 229.692, 324.833, 115.975, 231.37, 327.206, -2.76156, 231.396, 327.244, -122.759, 229.692, 324.833, 115.975, 231.37, 327.206, -2.76156, 229.434, 324.468, 115.955, 231.111, 326.841, -2.78248, 231.141, 326.883, -122.779, 231.901, 327.957, -122.621, 229.522, 324.593, 115.904, 232.234, 328.428, -2.76768, 231.901, 327.957, -122.621, 229.522, 324.593, 115.904, 228.663, 323.378, 115.778, 232.413, 328.681, -2.82929, 231.396, 327.244, -122.759, 231.723, 327.705, -122.535, 224.991, 318.186, 115.744, 231.642, 327.591, -122.543, 228.58, 323.262, 115.774, 232.319, 328.548, -2.83635, 231.642, 327.591, -122.543, 228.58, 323.262, 115.774, 229.262, 324.225, 115.942, 230.939, 326.597, -2.79644, 230.971, 326.642, -122.792, 232.234, 328.428, -2.76768, 229.262, 324.225, 115.942, 230.939, 326.597, -2.79644, 230.971, 326.642, -122.792, 229.176, 324.103, 115.936, 230.853, 326.476, -2.80342, 230.886, 326.522, -122.799, 229.176, 324.103, 115.936, 230.853, 326.476, -2.80342, 230.886, 326.522, -122.799, 230.466, 325.929, 116.034, 232.413, 328.681, -2.82929, 232.145, 328.303, -2.69896, 232.162, 328.327, -122.699, 230.466, 325.929, 116.034, 232.145, 328.303, -2.69896, 232.162, 328.327, -122.699, 230.293, 325.684, 116.021, 231.972, 328.059, -2.71297, 231.991, 328.085, -122.712, 230.293, 325.684, 116.021, 231.972, 328.059, -2.71297, 232.319, 328.548, -2.83635, 231.991, 328.085, -122.712, 230.207, 325.562, 116.015, 231.886, 327.936, -2.71998, 231.906, 327.965, -122.719, 230.207, 325.562, 116.015, 231.886, 327.936, -2.71998, 231.906, 327.965, -122.719, 229.434, 324.468, 115.955, 231.111, 326.841, -2.78248, 231.141, 326.883, -122.779, 
2019 Aug 19 (Mon) 2:00, 229.442, 324.479, -2.47084, 227.808, 322.17, -123.828, 227.131, 321.212, -123.94, 229.773, 324.949, 117.383, 229.442, 324.479, -2.47084, 223.484, 316.054, -123.975, 229.773, 324.949, 117.383, 229.377, 324.387, 117.368, 229.072, 323.957, -2.48823, 226.76, 320.687, -123.95, 229.377, 324.387, 117.368, 229.072, 323.957, -2.48823, 229.079, 323.967, 117.357, 228.795, 323.564, -2.50128, 226.482, 320.295, -123.958, 227.998, 322.438, -123.822, 229.617, 324.728, 117.438, 229.638, 324.757, -2.56241, 227.998, 322.438, -123.822, 229.617, 324.728, 117.438, 229.426, 324.457, 117.43, 229.449, 324.49, -2.56956, 226.76, 320.687, -123.95, 227.808, 322.17, -123.828, 229.426, 324.457, 117.43, 227.713, 322.035, -123.832, 229.33, 324.321, 117.426, 229.355, 324.356, -2.57314, 227.713, 322.035, -123.832, 229.33, 324.321, 117.426, 228.881, 323.687, 117.349, 228.61, 323.303, -2.50999, 226.297, 320.033, -123.963, 229.638, 324.757, -2.56241, 228.881, 323.687, 117.349, 228.61, 323.303, -2.50999, 226.297, 320.033, -123.963, 228.782, 323.547, 117.346, 228.517, 323.172, -2.51435, 226.205, 319.902, -123.966, 228.782, 323.547, 117.346, 228.517, 323.172, -2.51435, 226.205, 319.902, -123.966, 229.905, 325.134, 117.449, 229.449, 324.49, -2.56956, 229.921, 325.157, -2.5517, 228.284, 322.842, -123.812, 229.905, 325.134, 117.449, 229.921, 325.157, -2.5517, 228.284, 322.842, -123.812, 229.713, 324.863, 117.441, 229.732, 324.89, -2.55885, 228.093, 322.573, -123.818, 229.713, 324.863, 117.441, 229.732, 324.89, -2.55885, 229.355, 324.356, -2.57314, 228.093, 322.573, -123.818, 229.617, 324.727, 117.438, 229.637, 324.756, -2.56242, 227.998, 322.438, -123.822, 229.617, 324.727, 117.438, 229.637, 324.756, -2.56242, 227.998, 322.438, -123.822, 229.079, 323.967, 117.357, 228.795, 323.564, -2.50128, 226.482, 320.295, -123.958, 
2019 Aug 19 (Mon) 2:30, 232.118, 328.265, -2.53562, 232.118, 328.264, -122.536, 232.118, 328.265, -122.536, 232.118, 328.265, 117.464, 232.118, 328.265, -2.53562, 232.118, 328.265, -122.536, 232.118, 328.265, 117.464, 231.795, 327.808, 117.44, 231.795, 327.808, -2.55984, 231.795, 327.808, -122.56, 231.795, 327.808, 117.44, 231.795, 327.808, -2.55984, 231.553, 327.465, 117.422, 231.553, 327.465, -2.57803, 231.553, 327.465, -122.578, 232.279, 328.493, -122.524, 232.279, 328.493, 117.476, 232.279, 328.493, -2.52361, 232.279, 328.493, -122.524, 232.279, 328.493, 117.476, 232.117, 328.264, 117.464, 232.117, 328.264, -2.53575, 231.795, 327.808, -122.56, 232.118, 328.264, -122.536, 232.117, 328.264, 117.464, 232.037, 328.149, -122.542, 232.036, 328.149, 117.458, 232.037, 328.149, -2.54183, 232.037, 328.149, -122.542, 232.036, 328.149, 117.458, 231.391, 327.237, 117.41, 231.392, 327.237, -2.59018, 231.392, 327.237, -122.59, 232.279, 328.493, -2.52361, 231.391, 327.237, 117.41, 231.392, 327.237, -2.59018, 231.392, 327.237, -122.59, 231.311, 327.123, 117.404, 231.311, 327.123, -2.59625, 231.311, 327.123, -122.596, 231.311, 327.123, 117.404, 231.311, 327.123, -2.59625, 231.311, 327.123, -122.596, 232.522, 328.836, 117.495, 232.117, 328.264, -2.53575, 232.522, 328.836, -2.50542, 232.522, 328.836, -122.505, 232.522, 328.836, 117.495, 232.522, 328.836, -2.50542, 232.522, 328.836, -122.505, 232.36, 328.607, 117.482, 232.36, 328.607, -2.51756, 232.36, 328.607, -122.518, 232.36, 328.607, 117.482, 232.36, 328.607, -2.51756, 232.037, 328.149, -2.54183, 232.36, 328.607, -122.518, 232.279, 328.492, 117.476, 232.279, 328.492, -2.52363, 232.279, 328.493, -122.524, 232.279, 328.492, 117.476, 232.279, 328.492, -2.52363, 232.279, 328.493, -122.524, 231.553, 327.465, 117.422, 231.553, 327.465, -2.57803, 231.553, 327.465, -122.578, 
2019 Aug 19 (Mon) 3:00, 232.814, 329.249, -2.56895, 232.813, 329.248, -122.569, 232.814, 329.249, -122.569, 232.814, 329.249, 117.431, 232.814, 329.249, -2.56895, 232.814, 329.249, -122.569, 232.814, 329.249, 117.431, 232.503, 328.809, 117.403, 232.503, 328.809, -2.59664, 232.503, 328.809, -122.597, 232.503, 328.809, 117.403, 232.503, 328.809, -2.59664, 232.27, 328.479, 117.383, 232.27, 328.479, -2.61744, 232.27, 328.479, -122.617, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.969, 329.468, -2.5552, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.813, 329.248, 117.431, 232.813, 329.248, -2.56908, 232.503, 328.809, -122.597, 232.813, 329.248, -122.569, 232.813, 329.248, 117.431, 232.736, 329.138, -122.576, 232.735, 329.138, 117.424, 232.736, 329.138, -2.57603, 232.736, 329.138, -122.576, 232.735, 329.138, 117.424, 232.114, 328.259, 117.369, 232.115, 328.26, -2.63133, 232.115, 328.26, -122.631, 232.969, 329.468, -2.5552, 232.114, 328.259, 117.369, 232.115, 328.26, -2.63133, 232.115, 328.26, -122.631, 232.037, 328.15, 117.362, 232.037, 328.15, -2.63827, 232.037, 328.15, -122.638, 232.037, 328.15, 117.362, 232.037, 328.15, -2.63827, 232.037, 328.15, -122.638, 233.203, 329.799, 117.466, 232.813, 329.248, -2.56908, 233.203, 329.799, -2.5344, 233.203, 329.799, -122.534, 233.203, 329.799, 117.466, 233.203, 329.799, -2.5344, 233.203, 329.799, -122.534, 233.047, 329.578, 117.452, 233.047, 329.578, -2.54828, 233.047, 329.578, -122.548, 233.047, 329.578, 117.452, 233.047, 329.578, -2.54828, 232.736, 329.138, -2.57603, 233.047, 329.578, -122.548, 232.969, 329.468, 117.445, 232.969, 329.468, -2.55523, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.969, 329.468, -2.55523, 232.969, 329.468, -122.555, 232.27, 328.479, 117.383, 232.27, 328.479, -2.61744, 232.27, 328.479, -122.617, 
2019 Aug 19 (Mon) 3:30, 232.005, 328.105, -2.62017, 232.005, 328.104, -122.62, 232.005, 328.105, -122.62, 232.005, 328.105, 117.38, 232.005, 328.105, -2.62017, 232.005, 328.105, -122.62, 232.005, 328.105, 117.38, 231.674, 327.637, 117.354, 231.674, 327.637, -2.64579, 231.675, 327.637, -122.646, 231.674, 327.637, 117.354, 231.674, 327.637, -2.64579, 231.426, 327.286, 117.335, 231.426, 327.286, -2.66504, 231.427, 327.286, -122.665, 232.17, 328.339, -122.607, 232.17, 328.338, 117.393, 232.17, 328.338, -2.60746, 232.17, 328.339, -122.607, 232.17, 328.338, 117.393, 232.004, 328.104, 117.38, 232.004, 328.104, -2.62031, 231.675, 327.637, -122.646, 232.005, 328.104, -122.62, 232.004, 328.104, 117.38, 231.922, 327.987, -122.627, 231.922, 327.987, 117.373, 231.922, 327.987, -2.62673, 231.922, 327.987, -122.627, 231.922, 327.987, 117.373, 231.261, 327.052, 117.322, 231.261, 327.053, -2.67789, 231.261, 327.053, -122.678, 232.17, 328.338, -2.60746, 231.261, 327.052, 117.322, 231.261, 327.053, -2.67789, 231.261, 327.053, -122.678, 231.178, 326.936, 117.316, 231.178, 326.936, -2.68431, 231.179, 326.936, -122.684, 231.178, 326.936, 117.316, 231.178, 326.936, -2.68431, 231.179, 326.936, -122.684, 232.419, 328.69, 117.412, 232.004, 328.104, -2.62031, 232.419, 328.69, -2.58821, 232.419, 328.69, -122.588, 232.419, 328.69, 117.412, 232.419, 328.69, -2.58821, 232.419, 328.69, -122.588, 232.253, 328.455, 117.399, 232.253, 328.456, -2.60106, 232.253, 328.456, -122.601, 232.253, 328.455, 117.399, 232.253, 328.456, -2.60106, 231.922, 327.987, -2.62673, 232.253, 328.456, -122.601, 232.17, 328.338, 117.392, 232.17, 328.338, -2.60749, 232.17, 328.338, -122.608, 232.17, 328.338, 117.392, 232.17, 328.338, -2.60749, 232.17, 328.338, -122.608, 231.426, 327.286, 117.335, 231.426, 327.286, -2.66504, 231.427, 327.286, -122.665, 
2019 Aug 19 (Mon) 4:00, 231.134, 326.872, -2.53327, 231.133, 326.871, -122.533, 231.134, 326.872, -122.533, 231.134, 326.872, 117.467, 231.134, 326.872, -2.53327, 231.134, 326.872, -122.533, 231.134, 326.872, 117.467, 230.79, 326.387, 117.446, 230.791, 326.387, -2.55352, 230.791, 326.387, -122.554, 230.79, 326.387, 117.446, 230.791, 326.387, -2.55352, 230.533, 326.023, 117.431, 230.533, 326.023, -2.56874, 230.534, 326.024, -122.569, 231.305, 327.114, -122.523, 231.305, 327.114, 117.477, 231.305, 327.114, -2.52323, 231.305, 327.114, -122.523, 231.305, 327.114, 117.477, 231.133, 326.871, 117.467, 231.133, 326.871, -2.53339, 230.791, 326.387, -122.554, 231.133, 326.871, -122.533, 231.133, 326.871, 117.467, 231.047, 326.75, -122.539, 231.047, 326.749, 117.461, 231.047, 326.749, -2.53847, 231.047, 326.75, -122.539, 231.047, 326.749, 117.461, 230.362, 325.781, 117.421, 230.362, 325.781, -2.57889, 230.362, 325.781, -122.579, 231.305, 327.114, -2.52323, 230.362, 325.781, 117.421, 230.362, 325.781, -2.57889, 230.362, 325.781, -122.579, 230.276, 325.66, 117.416, 230.276, 325.66, -2.58397, 230.276, 325.66, -122.584, 230.276, 325.66, 117.416, 230.276, 325.66, -2.58397, 230.276, 325.66, -122.584, 231.563, 327.479, 117.492, 231.133, 326.871, -2.53339, 231.563, 327.479, -2.50802, 231.563, 327.479, -122.508, 231.563, 327.479, 117.492, 231.563, 327.479, -2.50802, 231.563, 327.479, -122.508, 231.39, 327.236, 117.482, 231.391, 327.236, -2.51817, 231.391, 327.236, -122.518, 231.39, 327.236, 117.482, 231.391, 327.236, -2.51817, 231.047, 326.749, -2.53847, 231.391, 327.236, -122.518, 231.304, 327.114, 117.477, 231.305, 327.114, -2.52325, 231.305, 327.114, -122.523, 231.304, 327.114, 117.477, 231.305, 327.114, -2.52325, 231.305, 327.114, -122.523, 230.533, 326.023, 117.431, 230.533, 326.023, -2.56874, 230.534, 326.024, -122.569, 
2019 Aug 19 (Mon) 4:30, 230.015, 325.29, -2.69744, 230.014, 325.289, -122.698, 230.015, 325.29, -122.698, 230.015, 325.29, 117.303, 230.015, 325.29, -2.69744, 230.015, 325.29, -122.698, 230.015, 325.29, 117.303, 229.638, 324.757, 117.283, 229.638, 324.758, -2.71683, 229.638, 324.758, -122.717, 229.638, 324.757, 117.283, 229.638, 324.758, -2.71683, 229.356, 324.358, 117.269, 229.356, 324.358, -2.7314, 229.356, 324.359, -122.731, 230.203, 325.556, -122.688, 230.203, 325.556, 117.312, 230.203, 325.556, -2.68783, 230.203, 325.556, -122.688, 230.203, 325.556, 117.312, 230.014, 325.288, 117.302, 230.014, 325.289, -2.69756, 229.638, 324.758, -122.717, 230.014, 325.289, -122.698, 230.014, 325.288, 117.302, 229.92, 325.155, -122.702, 229.919, 325.155, 117.298, 229.919, 325.155, -2.70243, 229.92, 325.155, -122.702, 229.919, 325.155, 117.298, 229.168, 324.092, 117.259, 229.168, 324.092, -2.74113, 229.168, 324.093, -122.741, 230.203, 325.556, -2.68783, 229.168, 324.092, 117.259, 229.168, 324.092, -2.74113, 229.168, 324.093, -122.741, 229.074, 323.959, 117.254, 229.074, 323.959, -2.74599, 229.074, 323.96, -122.746, 229.074, 323.959, 117.254, 229.074, 323.959, -2.74599, 229.074, 323.96, -122.746, 230.486, 325.956, 117.327, 230.014, 325.289, -2.69756, 230.486, 325.956, -2.67326, 230.486, 325.957, -122.673, 230.486, 325.956, 117.327, 230.486, 325.956, -2.67326, 230.486, 325.957, -122.673, 230.297, 325.689, 117.317, 230.297, 325.689, -2.68299, 230.297, 325.689, -122.683, 230.297, 325.689, 117.317, 230.297, 325.689, -2.68299, 229.919, 325.155, -2.70243, 230.297, 325.689, -122.683, 230.202, 325.555, 117.312, 230.202, 325.555, -2.68786, 230.203, 325.556, -122.688, 230.202, 325.555, 117.312, 230.202, 325.555, -2.68786, 230.203, 325.556, -122.688, 229.356, 324.358, 117.269, 229.356, 324.358, -2.7314, 229.356, 324.359, -122.731, 
