Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 2.06276, 1.99819, 2.16165, 2.22868, 2.28646, 2.3209, 2.32106, 1.99844, 1.99227, 1.98571, 2.01695, 2.04492, 2.04505, 
2019 Aug 19 (Mon) 0:30, 2.65354, 2.64886, 2.73122, 2.80471, 2.84579, 2.87949, 2.87964, 2.67605, 2.70321, 2.70335, 2.68759, 2.7209, 2.72104, 
2019 Aug 19 (Mon) 1:00, 1.31962, 1.40671, 1.28488, 1.25195, 1.22102, 1.22183, 1.22193, 1.35167, 1.35177, 1.35188, 1.49977, 1.53254, 1.53266, 
2019 Aug 19 (Mon) 1:30, 0.776807, 0.790221, 0.776864, 0.776922, 0.776977, 0.777032, 0.777087, 0.776962, 0.777016, 0.777072, 0.84001, 0.875234, 0.875295, 
2019 Aug 19 (Mon) 2:00, 0.784759, 0.771536, 0.819853, 0.819882, 0.819912, 0.81994, 0.819968, 0.771566, 0.771591, 0.771621, 0.771563, 0.771593, 0.771619, 
2019 Aug 19 (Mon) 2:30, 3.10642e-05, 2.69753e-05, 3.75459e-05, 4.08954e-05, 4.70215e-05, 4.82693e-05, 4.93621e-05, 2.69761e-05, 3.08154e-05, 3.19295e-05, 3.20539e-05, 3.38191e-05, 3.43303e-05, 
2019 Aug 19 (Mon) 3:00, 2.29992e-05, 2.10745e-05, 2.64533e-05, 3.07467e-05, 3.52005e-05, 3.6254e-05, 3.95168e-05, 2.05019e-05, 2.34714e-05, 2.41927e-05, 2.47226e-05, 2.56513e-05, 2.5383e-05, 
2019 Aug 19 (Mon) 3:30, 2.89616e-05, 2.94802e-05, 3.7938e-05, 4.09054e-05, 4.66929e-05, 4.98852e-05, 4.93753e-05, 2.64724e-05, 2.92674e-05, 2.86558e-05, 3.05573e-05, 3.3329e-05, 3.57109e-05, 
2019 Aug 19 (Mon) 4:00, 3.80422e-05, 3.67258e-05, 4.67856e-05, 5.4434e-05, 5.87133e-05, 6.2607e-05, 6.33963e-05, 3.69617e-05, 3.73638e-05, 3.76868e-05, 4.04605e-05, 4.43568e-05, 4.48193e-05, 
2019 Aug 19 (Mon) 4:30, 4.40407e-05, 4.33501e-05, 5.63514e-05, 6.34261e-05, 6.94828e-05, 7.20304e-05, 7.19562e-05, 4.19221e-05, 4.35023e-05, 4.69076e-05, 4.855e-05, 5.05986e-05, 5.38044e-05, 
2019 Aug 19 (Mon) 5:00, 3.75458e-05, 3.52034e-05, 4.84297e-05, 5.32741e-05, 5.82572e-05, 6.3027e-05, 6.40707e-05, 3.72232e-05, 3.77658e-05, 3.85622e-05, 3.93083e-05, 4.29783e-05, 4.45559e-05, 
2019 Aug 19 (Mon) 5:30, 3.21925e-05, 2.76617e-05, 3.75311e-05, 4.38427e-05, 4.731e-05, 4.95106e-05, 5.0899e-05, 2.98209e-05, 3.08123e-05, 3.22082e-05, 3.32709e-05, 3.4818e-05, 3.64826e-05, 
