Time, 10 (2), , , , , , , 11 (3), , , , , , , 13 (5), , , , , , , 14 (6), , , , , , , 15 (7), , , , , , , 16 (8), , , , , , , 18 (10), , , , , , , 19 (11), , , , , , , 20 (13), , , , , , , 24 (17), , , , , , , 25 (18), , , , , , , 29 (22), , , , , , , 30 (24), , , , , , , 31 (25), , , , , , , 32 (26), , , , , , , 38 (32), , , , , , , 39 (33), , , , , , , 3 (23), , , , , , , 41 (36), , , , , , , 45 (40), , , , , , , 46 (41), , , , , , , 47 (42), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 50 (46), , , , , , , 52 (48), , , , , , , 58 (54), , , , , , , 60 (57), , , , , , , 62 (59), , , , , , , 65 (62), , , , , , , 66 (63), , , , , , , 6 (56), , , , , , , 8 (65), , , , , , , 9 (66), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 220.081, 231.133, 1, 100, 0, 0.5, 0, 219.396, 231.134, 1, 100, 0, 0.5, 0, 224.861, 231.134, 1, 100, 0, 0.5, 0, 219.396, 231.134, 1, 93.0041, 0.0874483, 0.543724, 0, 226.051, 231.134, 1, 100, 0, 0.5, 0, 221.908, 230.79, 1, 96.677, 0.0415378, 0.520769, 1, 217.621, 230.791, 1, 100, 0, 0.5, 0, 225.527, 230.79, 1, 100, 0, 0.5, 0, 225.471, 230.533, 1, 100, 0, 0.5, 0, 226.67, 231.305, 1, 96.1902, 0.0476231, 0.523812, 0, 224.062, 231.305, 1, 100, 0, 0.5, 0, 219.589, 231.133, 1, 95.334, 0.0583252, 0.529163, 1, 216.549, 231.133, 1, 90.1766, 0.122792, 0.561396, 1, 226.758, 231.133, 1, 89.7092, 0.128635, 0.564318, 0, 219.959, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 224.215, 230.362, 1, 100, 0, 0.5, 0, 212.344, 230.362, 1, 83.8886, 0.201392, 0.600696, 1, 214.129, 230.791, 1, 87.6359, 0.154551, 0.577276, 1, 224.215, 230.362, 1, 100, 0, 0.5, 0, 215.707, 230.276, 1, 100, 0, 0.5, 0, 225.413, 230.276, 1, 100, 0, 0.5, 0, 224.106, 230.276, 1, 100, 0, 0.5, 0, 215.707, 230.276, 1, 100, 0, 0.5, 0, 224.062, 231.305, 1, 100, 0, 0.5, 0, 225.062, 231.563, 1, 100, 0, 0.5, 0, 226.699, 231.563, 1, 99.1692, 0.0103856, 0.505193, 0, 226.795, 231.39, 1, 96.4341, 0.0445742, 0.522287, 0, 217.197, 231.391, 1, 87.7991, 0.152511, 0.576256, 1, 219.794, 231.305, 1, 94.8179, 0.0647767, 0.532388, 1, 223.379, 231.305, 1, 100, 0, 0.5, 0, 220.986, 231.305, 1, 100, 0, 0.5, 0, 223.066, 231.047, 1, 100, 0, 0.5, 0, 224.439, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 216.663, 230.534, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 0:30, 219.528, 231.133, 0.158459, 100, 0, 0.0792296, 0, 219.569, 231.134, 0.10629, 100, 0, 0.0531448, 0, 228.006, 231.134, 0.522413, 100, 0, 0.261206, 0, 219.569, 231.134, 0.10629, 93.0041, 0.0874483, 0.0968689, 0, 226.767, 231.134, 0.612974, 100, 0, 0.306487, 0, 226.925, 230.79, 0.305515, 100, 0, 0.152757, 0, 217.859, 230.791, -1, 100, 0, 0, 0, 226.925, 230.79, 0.588486, 100, 0, 0.294243, 0, 226.867, 230.533, 0.596129, 100, 0, 0.298065, 0, 226.719, 231.305, 0.651625, 96.1902, 0.0476231, 0.349624, 0, 228.187, 231.305, 0.455625, 100, 0, 0.227812, 0, 227.982, 231.133, 0.120961, 100, 0, 0.0604805, 0, 216.004, 231.133, -1, 95.9064, 0.05117, 0, 0, 226.825, 231.133, 0.666897, 89.7092, 0.128635, 0.397766, 0, 219.423, 231.047, 0.150181, 99.8273, 0.00215849, 0.0761699, 0, 227.141, 230.362, 0.502778, 100, 0, 0.251389, 0, 212.596, 230.362, -1, 89.689, 0.128888, 0, 0, 214.362, 230.791, -1, 93.3966, 0.0825427, 0, 0, 227.141, 230.362, 0.502778, 100, 0, 0.251389, 0, 215.967, 230.276, -1, 100, 0, 0, 0, 226.807, 230.276, 0.603834, 100, 0, 0.301917, 0, 227.04, 230.276, 0.497354, 100, 0, 0.248677, 0, 215.967, 230.276, -1, 100, 0, 0, 0, 228.187, 231.305, 0.455625, 100, 0, 0.227812, 0, 228.5, 231.563, 0.520688, 100, 0, 0.260344, 0, 226.73, 231.563, 0.64137, 99.1692, 0.0103856, 0.325878, 0, 222.533, 231.39, 0.656823, 96.4341, 0.0445742, 0.350699, 1, 216.92, 231.391, -1, 93.5585, 0.0805182, 0, 0, 228.532, 231.305, 0.134836, 100, 0, 0.0674181, 0, 228.532, 231.305, 0.404283, 100, 0, 0.202141, 0, 220.353, 231.305, 0.224413, 100, 0, 0.112207, 0, 227.876, 231.047, 0.388305, 100, 0, 0.194152, 0, 227.33, 230.533, 0.513727, 98.7766, 0.0152923, 0.26451, 0, 216.911, 230.534, -1, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 229.665, 231.133, 0.116346, 100, 0, 0.0581728, 0, 229.018, 231.134, 0.119455, 100, 0, 0.0597274, 0, 231.386, 231.134, 0.761882, 100, 0, 0.380941, 0, 229.018, 231.134, 0.119455, 93.0041, 0.0874483, 0.103452, 0, 228.183, 231.134, 0.66754, 100, 0, 0.33377, 0, 228.148, 230.79, 0.697753, 100, 0, 0.348877, 0, 227.994, 230.791, -1, 100, 0, 0, 0, 228.148, 230.79, 0.697753, 100, 0, 0.348877, 0, 228.21, 230.533, 0.707482, 100, 0, 0.353741, 0, 223.045, 231.305, 0.655349, 96.1902, 0.0476231, 0.351486, 1, 232.245, 231.305, 0.765646, 100, 0, 0.382823, 0, 232.394, 231.133, 0.760121, 100, 0, 0.38006, 0, 229.665, 231.133, -1, 100, 0, 0, 0, 222.205, 231.133, 0.671955, 89.7092, 0.128635, 0.400295, 1, 229.58, 231.047, 0.109054, 99.8273, 0.00215849, 0.055606, 0, 230.569, 230.362, 0.739481, 100, 0, 0.369741, 0, 222.574, 230.362, -1, 95.4252, 0.057185, 0, 0, 227.994, 230.791, -1, 99.0794, 0.0115079, 0, 0, 230.569, 230.362, 0.739481, 100, 0, 0.369741, 0, 226.124, 230.276, -1, 100, 0, 0, 0, 228.269, 230.276, 0.717366, 100, 0, 0.358683, 0, 230.483, 230.276, 0.736373, 100, 0, 0.368186, 0, 226.124, 230.276, -1, 100, 0, 0, 0, 232.245, 231.305, 0.765646, 100, 0, 0.382823, 0, 231.839, 231.563, 0.774182, 100, 0, 0.387091, 0, 228.312, 231.563, 0.643683, 99.1692, 0.0103856, 0.327034, 0, 228.133, 231.39, 0.338553, 100, 0, 0.169276, 0, 229.951, 231.391, -1, 99.2381, 0.00952389, 0, 0, 231.559, 231.305, 0.791641, 100, 0, 0.39582, 0, 231.559, 231.305, 0.791641, 100, 0, 0.39582, 0, 229.861, 231.305, 0.176877, 100, 0, 0.0884385, 0, 232.289, 231.047, 0.756935, 100, 0, 0.378468, 0, 230.753, 230.533, 0.744403, 98.7766, 0.0152923, 0.379848, 0, 227.057, 230.534, -1, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.723, 231.133, 0.888195, 100, 0, 0.444097, 0, 231.736, 231.134, 0.838922, 100, 0, 0.419461, 0, 231.714, 231.134, 1, 100, 0, 0.5, 0, 231.736, 231.134, 0.838922, 93.0041, 0.0874483, 0.463185, 0, 230.036, 231.134, 0.775376, 100, 0, 0.387688, 0, 229.692, 230.79, 0.793421, 100, 0, 0.39671, 0, 231.396, 230.791, 0.78134, 100, 0, 0.39067, 0, 229.692, 230.79, 0.793421, 100, 0, 0.39671, 0, 229.434, 230.533, 0.814644, 100, 0, 0.407322, 0, 229.522, 231.305, 0.379155, 100, 0, 0.189578, 0, 232.234, 231.305, 1, 100, 0, 0.5, 0, 232.413, 231.133, 1, 100, 0, 0.5, 0, 231.723, 231.133, 0.888195, 100, 0, 0.444097, 0, 224.991, 231.133, 0.320229, 95.4442, 0.0569477, 0.188588, 0, 231.642, 231.047, 0.887569, 99.8273, 0.00215849, 0.444864, 0, 230.939, 230.362, 1, 100, 0, 0.5, 0, 230.971, 230.362, 0.370029, 100, 0, 0.185014, 0, 231.396, 230.791, 0.78134, 99.0794, 0.0115079, 0.396424, 0, 230.939, 230.362, 1, 100, 0, 0.5, 0, 230.886, 230.276, 0.661728, 100, 0, 0.330864, 0, 229.176, 230.276, 0.836479, 100, 0, 0.41824, 0, 230.853, 230.276, 1, 100, 0, 0.5, 0, 230.886, 230.276, 0.661728, 100, 0, 0.330864, 0, 232.234, 231.305, 1, 100, 0, 0.5, 0, 232.145, 231.563, 1, 100, 0, 0.5, 0, 230.466, 231.563, 0.760348, 99.1692, 0.0103856, 0.385367, 0, 230.293, 231.39, 0.756726, 100, 0, 0.378363, 0, 231.991, 231.391, 0.892505, 99.2381, 0.00952389, 0.451014, 0, 231.886, 231.305, 1, 100, 0, 0.5, 0, 231.886, 231.305, 1, 100, 0, 0.5, 0, 231.906, 231.305, 0.891477, 100, 0, 0.445738, 0, 232.319, 231.047, 1, 100, 0, 0.5, 0, 231.111, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 231.141, 230.534, 0.72264, 100, 0, 0.36132, 0, 
2019 Aug 19 (Mon) 2:00, 227.808, 231.133, 1, 100, 0, 0.5, 0, 227.131, 231.134, 1, 100, 0, 0.5, 0, 229.442, 231.134, 1, 100, 0, 0.5, 0, 223.484, 231.134, 1, 93.0041, 0.0874483, 0.543724, 1, 229.773, 231.134, 0.916411, 100, 0, 0.458205, 0, 229.377, 230.79, 0.914084, 100, 0, 0.457042, 0, 226.76, 230.791, 1, 100, 0, 0.5, 0, 229.377, 230.79, 0.914084, 100, 0, 0.457042, 0, 229.079, 230.533, 0.912259, 100, 0, 0.45613, 0, 229.617, 231.305, 0.865998, 100, 0, 0.432999, 0, 229.638, 231.305, 1, 100, 0, 0.5, 0, 229.449, 231.133, 1, 100, 0, 0.5, 0, 227.808, 231.133, 1, 100, 0, 0.5, 0, 229.426, 231.133, 0.532358, 100, 0, 0.266179, 0, 227.713, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 228.61, 230.362, 1, 100, 0, 0.5, 0, 226.297, 230.362, 1, 100, 0, 0.5, 0, 226.76, 230.791, 1, 99.0794, 0.0115079, 0.505754, 0, 228.61, 230.362, 1, 100, 0, 0.5, 0, 226.205, 230.276, 1, 100, 0, 0.5, 0, 228.782, 230.276, 0.910362, 100, 0, 0.455181, 0, 228.517, 230.276, 1, 100, 0, 0.5, 0, 226.205, 230.276, 1, 100, 0, 0.5, 0, 229.638, 231.305, 1, 100, 0, 0.5, 0, 229.921, 231.563, 1, 100, 0, 0.5, 0, 229.905, 231.563, 0.91916, 99.1692, 0.0103856, 0.464773, 0, 229.713, 231.39, 0.918069, 100, 0, 0.459035, 0, 228.093, 231.391, 1, 99.2381, 0.00952389, 0.504762, 0, 229.637, 231.305, 1, 100, 0, 0.5, 0, 229.637, 231.305, 1, 100, 0, 0.5, 0, 227.998, 231.305, 1, 100, 0, 0.5, 0, 229.355, 231.047, 1, 100, 0, 0.5, 0, 228.795, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 226.482, 230.534, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 231.133, 0.746861, 100, 0, 0.373431, 0, 232.118, 231.134, 0.695225, 100, 0, 0.347612, 0, 232.118, 231.134, 0.871171, 100, 0, 0.435585, 0, 232.118, 231.134, 0.417554, 98.6918, 0.0163526, 0.216953, 0, 232.118, 231.134, 0.896432, 100, 0, 0.448216, 0, 231.795, 230.79, 0.88946, 100, 0, 0.44473, 0, 231.795, 230.791, 0.684894, 100, 0, 0.342447, 0, 231.795, 230.79, 0.88946, 100, 0, 0.44473, 0, 231.553, 230.533, 0.883993, 100, 0, 0.441996, 0, 232.279, 231.305, 0.873171, 100, 0, 0.436586, 0, 232.279, 231.305, 0.874701, 100, 0, 0.437351, 0, 232.117, 231.133, 0.871784, 100, 0, 0.435892, 0, 232.118, 231.133, 0.746861, 100, 0, 0.373431, 0, 232.117, 231.133, 0.87002, 100, 0, 0.43501, 0, 232.037, 231.047, 0.744502, 99.8273, 0.00215849, 0.37333, 0, 231.392, 230.362, 0.858256, 100, 0, 0.429128, 0, 231.392, 230.362, 0.671187, 100, 0, 0.335594, 0, 231.795, 230.791, 0.684894, 99.0794, 0.0115079, 0.348201, 0, 231.392, 230.362, 0.858256, 100, 0, 0.429128, 0, 231.311, 230.276, 0.668332, 100, 0, 0.334166, 0, 231.311, 230.276, 0.878307, 100, 0, 0.439153, 0, 231.311, 230.276, 0.856718, 100, 0, 0.428359, 0, 231.311, 230.276, 0.668332, 100, 0, 0.334166, 0, 232.279, 231.305, 0.874701, 100, 0, 0.437351, 0, 232.522, 231.563, 0.878939, 100, 0, 0.439469, 0, 232.522, 231.563, 0.87775, 99.1692, 0.0103856, 0.444068, 0, 232.36, 231.39, 0.874713, 100, 0, 0.437357, 0, 232.36, 231.391, 0.753756, 99.2381, 0.00952389, 0.38164, 0, 232.279, 231.305, 0.8747, 100, 0, 0.43735, 0, 232.279, 231.305, 0.8747, 100, 0, 0.43735, 0, 232.279, 231.305, 0.751481, 100, 0, 0.375741, 0, 232.037, 231.047, 0.870297, 100, 0, 0.435149, 0, 231.553, 230.533, 0.861268, 98.7766, 0.0152923, 0.43828, 0, 231.553, 230.534, 0.676781, 100, 0, 0.338391, 0, 
2019 Aug 19 (Mon) 3:00, 232.813, 231.133, 1, 100, 0, 0.5, 0, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.814, 231.134, 1, 98.6918, 0.0163526, 0.508176, 0, 232.814, 231.134, 1, 100, 0, 0.5, 0, 232.503, 230.79, 1, 100, 0, 0.5, 0, 232.503, 230.791, 1, 100, 0, 0.5, 0, 232.503, 230.79, 1, 100, 0, 0.5, 0, 232.27, 230.533, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.813, 231.133, 1, 100, 0, 0.5, 0, 232.813, 231.133, 1, 100, 0, 0.5, 0, 232.813, 231.133, 1, 100, 0, 0.5, 0, 232.736, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 232.115, 230.362, 1, 100, 0, 0.5, 0, 232.115, 230.362, 1, 100, 0, 0.5, 0, 232.503, 230.791, 1, 99.0794, 0.0115079, 0.505754, 0, 232.115, 230.362, 1, 100, 0, 0.5, 0, 232.037, 230.276, 1, 100, 0, 0.5, 0, 232.037, 230.276, 1, 100, 0, 0.5, 0, 232.037, 230.276, 1, 100, 0, 0.5, 0, 232.037, 230.276, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 100, 0, 0.5, 0, 233.203, 231.563, 1, 99.1692, 0.0103856, 0.505193, 0, 233.047, 231.39, 1, 100, 0, 0.5, 0, 233.047, 231.391, 1, 99.2381, 0.00952389, 0.504762, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.969, 231.305, 1, 100, 0, 0.5, 0, 232.736, 231.047, 1, 100, 0, 0.5, 0, 232.27, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 232.27, 230.534, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 231.133, 1, 100, 0, 0.5, 0, 232.005, 231.134, 1, 100, 0, 0.5, 0, 232.005, 231.134, 1, 100, 0, 0.5, 0, 232.005, 231.134, 1, 98.6918, 0.0163526, 0.508176, 0, 232.005, 231.134, 1, 100, 0, 0.5, 0, 231.674, 230.79, 1, 100, 0, 0.5, 0, 231.675, 230.791, 1, 100, 0, 0.5, 0, 231.674, 230.79, 1, 100, 0, 0.5, 0, 231.426, 230.533, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.004, 231.133, 1, 100, 0, 0.5, 0, 232.005, 231.133, 1, 100, 0, 0.5, 0, 232.004, 231.133, 1, 100, 0, 0.5, 0, 231.922, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.675, 230.791, 1, 99.0794, 0.0115079, 0.505754, 0, 231.261, 230.362, 1, 100, 0, 0.5, 0, 231.179, 230.276, 1, 100, 0, 0.5, 0, 231.178, 230.276, 1, 100, 0, 0.5, 0, 231.178, 230.276, 1, 100, 0, 0.5, 0, 231.179, 230.276, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 100, 0, 0.5, 0, 232.419, 231.563, 1, 99.1692, 0.0103856, 0.505193, 0, 232.253, 231.39, 1, 100, 0, 0.5, 0, 232.253, 231.391, 1, 99.2381, 0.00952389, 0.504762, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 232.17, 231.305, 1, 100, 0, 0.5, 0, 231.922, 231.047, 1, 100, 0, 0.5, 0, 231.426, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 231.427, 230.534, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:00, 231.133, 231.133, 1, 100, 0, 0.5, 0, 231.134, 231.134, 1, 100, 0, 0.5, 0, 231.134, 231.134, 1, 100, 0, 0.5, 0, 231.134, 231.134, 1, 98.6918, 0.0163526, 0.508176, 0, 231.134, 231.134, 1, 100, 0, 0.5, 0, 230.79, 230.79, 1, 100, 0, 0.5, 0, 230.791, 230.791, 1, 100, 0, 0.5, 0, 230.79, 230.79, 1, 100, 0, 0.5, 0, 230.533, 230.533, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.133, 231.133, 1, 100, 0, 0.5, 0, 231.133, 231.133, 1, 100, 0, 0.5, 0, 231.133, 231.133, 1, 100, 0, 0.5, 0, 231.047, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.791, 230.791, 1, 99.0794, 0.0115079, 0.505754, 0, 230.362, 230.362, 1, 100, 0, 0.5, 0, 230.276, 230.276, 1, 100, 0, 0.5, 0, 230.276, 230.276, 1, 100, 0, 0.5, 0, 230.276, 230.276, 1, 100, 0, 0.5, 0, 230.276, 230.276, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 100, 0, 0.5, 0, 231.563, 231.563, 1, 99.1692, 0.0103856, 0.505193, 0, 231.39, 231.39, 1, 100, 0, 0.5, 0, 231.391, 231.391, 1, 99.2381, 0.00952389, 0.504762, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.305, 231.305, 1, 100, 0, 0.5, 0, 231.047, 231.047, 1, 100, 0, 0.5, 0, 230.533, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 230.534, 230.534, 1, 100, 0, 0.5, 0, 
2019 Aug 19 (Mon) 4:30, 230.014, 231.133, 1, 100, 0, 0.5, 0, 230.015, 231.134, 1, 100, 0, 0.5, 0, 230.015, 231.134, 1, 100, 0, 0.5, 0, 230.015, 231.134, 1, 98.6918, 0.0163526, 0.508176, 0, 230.015, 231.134, 1, 100, 0, 0.5, 0, 229.638, 230.79, 1, 100, 0, 0.5, 0, 229.638, 230.791, 1, 100, 0, 0.5, 0, 229.638, 230.79, 1, 100, 0, 0.5, 0, 229.356, 230.533, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.014, 231.133, 1, 100, 0, 0.5, 0, 230.014, 231.133, 1, 100, 0, 0.5, 0, 230.014, 231.133, 1, 100, 0, 0.5, 0, 229.92, 231.047, 1, 99.8273, 0.00215849, 0.501079, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.638, 230.791, 1, 99.0794, 0.0115079, 0.505754, 0, 229.168, 230.362, 1, 100, 0, 0.5, 0, 229.074, 230.276, 1, 100, 0, 0.5, 0, 229.074, 230.276, 1, 100, 0, 0.5, 0, 229.074, 230.276, 1, 100, 0, 0.5, 0, 229.074, 230.276, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 100, 0, 0.5, 0, 230.486, 231.563, 1, 99.1692, 0.0103856, 0.505193, 0, 230.297, 231.39, 1, 100, 0, 0.5, 0, 230.297, 231.391, 1, 99.2381, 0.00952389, 0.504762, 0, 230.202, 231.305, 1, 100, 0, 0.5, 0, 230.202, 231.305, 1, 100, 0, 0.5, 0, 230.203, 231.305, 1, 100, 0, 0.5, 0, 229.919, 231.047, 1, 100, 0, 0.5, 0, 229.356, 230.533, 1, 98.7766, 0.0152923, 0.507646, 0, 229.356, 230.534, 1, 100, 0, 0.5, 0, 
