Time, 10_EV, 11_EV, 12_EV, 13_EV, 14_EV, 15_EV, 16_EV, 18_EV, 19_EV, 1_EV, 21_EV, 23_EV, 24_EV, 25_EV, 26_EV, 27_EV, 28_EV, 2_EV, 30_EV, 31_EV, 32_EV, 34_EV, 35_EV, 37_EV, 38_EV, 39_EV, 40_EV, 41_EV, 42_EV, 43_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 50_EV, 51_EV, 52_EV, 53_EV, 54_EV, 56_EV, 57_EV, 60_EV, 61_EV, 62_EV, 63_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 0:00, 95.1952, 99.5249, 100, 100, 100, 98.2676, 86.1067, 89.5905, 100, 93.1345, 94.6187, 100, 91.3917, 100, 100, 100, 92.1289, 94.552, 93.8287, 100, 96.2392, 91.2693, 100, 100, 100, 92.7408, 100, 89.5195, 98.8866, 100, 100, 89.7484, 100, 99.8788, 91.7732, 91.3963, 96.0012, 87.3759, 100, 100, 100, 89.5119, 100, 97.6509, 99.0675, 100, 100, 100, 81.9996, 94.7226, 99.4458, 92.5968, 90.6706, 100, 
2019 Aug 19 (Mon) 0:30, 100, 99.5249, 100, 100, 100, 98.2676, 91.8839, 95.3281, 100, 98.8205, 100, 100, 91.3917, 100, 100, 100, 97.8304, 94.552, 99.5033, 100, 96.2392, 91.2693, 100, 100, 100, 92.7408, 100, 89.5195, 98.8866, 100, 100, 89.7484, 100, 99.8788, 97.4807, 91.3963, 96.0012, 93.1399, 100, 100, 100, 95.2495, 100, 100, 99.0675, 100, 100, 100, 87.8174, 94.7226, 99.4458, 92.5968, 90.6706, 100, 
2019 Aug 19 (Mon) 1:00, 100, 99.5249, 100, 100, 100, 98.2676, 97.5899, 100, 100, 98.8205, 100, 100, 91.3917, 100, 100, 100, 100, 94.552, 99.5033, 100, 96.2392, 91.2693, 100, 100, 100, 92.7408, 100, 89.5195, 98.8866, 100, 100, 89.7484, 100, 99.8788, 100, 91.3963, 96.0012, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 93.5757, 94.7226, 99.4458, 92.5968, 90.6706, 100, 
2019 Aug 19 (Mon) 1:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 91.3917, 100, 100, 100, 100, 94.552, 99.5033, 100, 96.2392, 96.984, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 89.7484, 100, 99.8788, 100, 91.3963, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 92.5968, 96.3936, 100, 
2019 Aug 19 (Mon) 2:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 91.3917, 100, 100, 100, 100, 94.552, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 89.7484, 100, 99.8788, 100, 97.1095, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 2:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 91.3917, 100, 100, 100, 100, 94.552, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 95.4834, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 3:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 97.1049, 100, 100, 100, 100, 94.552, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 3:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 94.552, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 4:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 89.5195, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 4:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 95.2571, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 5:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 5:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 6:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 6:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 7:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 7:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
