Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 221.773, 313.635, -8.02795, 216.449, 306.106, -129.741, 222.905, 315.236, 112.41, 1.3323, 1.88416, -139.395, 
2019 Aug 19 (Mon) 0:30, 225.499, 318.903, -5.73036, 224.88, 318.029, -125.449, 221.705, 313.538, 112.931, 0.51724, 0.731487, 136.429, 
2019 Aug 19 (Mon) 1:00, 222.443, 314.581, -8.2723, 229.152, 324.069, -125.65, 230.055, 325.348, 116.023, 0.9158, 1.29514, 44.4023, 
2019 Aug 19 (Mon) 1:30, 223.923, 316.675, -6.63565, 229.571, 324.662, -124.567, 231.456, 327.329, 116.224, 1.30661, 1.84782, -39.3476, 
2019 Aug 19 (Mon) 2:00, 227.402, 321.595, -3.98942, 230.081, 325.384, -122.664, 228.085, 322.561, 116.254, 0.677088, 0.957548, -14.1323, 
2019 Aug 19 (Mon) 2:30, 232.718, 329.113, -2.62046, 232.428, 328.703, -122.468, 228.259, 322.807, 114.817, 0.268561, 0.379802, -43.1546, 
2019 Aug 19 (Mon) 3:00, 233.432, 330.123, -2.64447, 233.098, 329.65, -122.496, 230.712, 326.275, 116.013, 0.268662, 0.379945, 151.267, 
2019 Aug 19 (Mon) 3:30, 230.605, 326.124, -3.91511, 232.281, 328.494, -122.653, 232.306, 328.531, 117.35, 0.335803, 0.474897, -155.781, 
2019 Aug 19 (Mon) 4:00, 229.745, 324.908, -3.81525, 231.403, 327.253, -122.572, 231.432, 327.294, 117.431, 0.500141, 0.707306, -155.184, 
2019 Aug 19 (Mon) 4:30, 228.653, 323.364, -3.97593, 230.301, 325.695, -122.742, 230.336, 325.744, 117.26, 0.496378, 0.701985, -155.321, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 2.52265e-07, 3.56756e-07, -57.9721, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 2.52324e-07, 3.5684e-07, -58.5006, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.65421, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 2.51621e-07, 3.55846e-07, -58.8035, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 2.45307e-07, 3.46916e-07, -58.7154, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 2.46081e-07, 3.48012e-07, -59.1063, 
2019 Aug 19 (Mon) 7:30, 225.04, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 2.44438e-07, 3.45688e-07, -59.3859, 
2019 Aug 19 (Mon) 8:00, 225.796, 319.324, -4.21797, 225.796, 319.324, -124.218, 225.796, 319.324, 115.782, 2.454e-07, 3.47047e-07, -59.3435, 
2019 Aug 19 (Mon) 8:30, 224.82, 317.943, -3.78965, 224.82, 317.944, -123.79, 224.82, 317.943, 116.21, 2.44347e-07, 3.45559e-07, -58.8362, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 2.44709e-07, 3.46071e-07, -58.791, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 2.47733e-07, 3.50348e-07, -58.8879, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 2.50209e-07, 3.53848e-07, -58.8261, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 2.51919e-07, 3.56268e-07, -58.7116, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 2.50152e-07, 3.53769e-07, -58.6789, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 2.49882e-07, 3.53386e-07, -58.8208, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74597, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 2.49507e-07, 3.52856e-07, -58.8741, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.7101, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 2.47776e-07, 3.50408e-07, -58.8034, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89986, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 2.51079e-07, 3.55079e-07, -59.0747, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 2.50715e-07, 3.54564e-07, -58.8118, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55369, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 2.4742e-07, 3.49905e-07, -58.6204, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 2.46188e-07, 3.48163e-07, -58.4484, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 2.50603e-07, 3.54406e-07, -59.0513, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 2.47729e-07, 3.50341e-07, -59.2024, 
2019 Aug 19 (Mon) 16:00, 228.543, 323.209, -4.40786, 228.543, 323.209, -124.408, 228.543, 323.209, 115.592, 2.48718e-07, 3.51741e-07, -59.6151, 
2019 Aug 19 (Mon) 16:30, 225.402, 318.767, -4.56395, 225.402, 318.767, -124.564, 225.402, 318.767, 115.436, 2.44785e-07, 3.46179e-07, -59.7281, 
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 2.43747e-07, 3.44711e-07, -60.3066, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 2.38714e-07, 3.37593e-07, -60.6533, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 2.35601e-07, 3.3319e-07, -61.1548, 
2019 Aug 19 (Mon) 18:30, 215.467, 304.716, -7.52786, 217.167, 307.121, -126.361, 217.21, 307.182, 113.636, 0.0233188, 0.0329778, 164.083, 
2019 Aug 19 (Mon) 19:00, 214.273, 303.028, -7.50163, 215.951, 305.401, -126.341, 215.994, 305.461, 113.656, 0.0230104, 0.0325416, 164.098, 
