Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 221.773, 313.634, -8.28335, 219.776, 310.81, -129.465, 223.639, 316.274, 112.868, 0.24277, 0.343328, 134.82, 
2019 Aug 19 (Mon) 0:30, 225.491, 318.892, -5.60524, 225.553, 318.981, -125.615, 223.687, 316.342, 113.182, 0.270732, 0.382874, -17.7494, 
2019 Aug 19 (Mon) 1:00, 224.992, 318.186, -7.89899, 228.702, 323.434, -125.451, 230.543, 326.037, 115.779, 0.458443, 0.648336, 156.08, 
2019 Aug 19 (Mon) 1:30, 227.22, 321.338, -6.45658, 230.799, 326.399, -123.996, 230.893, 326.532, 116.016, 0.473276, 0.669313, -140.502, 
2019 Aug 19 (Mon) 2:00, 228.639, 323.344, -3.85803, 230.319, 325.72, -122.597, 228.67, 323.388, 116.179, 0.474037, 0.67039, -47.4373, 
2019 Aug 19 (Mon) 2:30, 232.851, 329.301, -2.53187, 232.908, 329.381, -122.533, 229.437, 324.473, 114.966, 0.678913, 0.960128, -37.3092, 
2019 Aug 19 (Mon) 3:00, 233.554, 330.295, -2.55315, 233.564, 330.309, -122.553, 231.872, 327.917, 116.165, 0.135426, 0.191521, -41.052, 
2019 Aug 19 (Mon) 3:30, 231.107, 326.834, -3.87603, 232.773, 329.191, -122.613, 232.803, 329.233, 117.386, 0.343488, 0.485765, -156.042, 
2019 Aug 19 (Mon) 4:00, 230.268, 325.648, -3.78248, 231.907, 327.965, -122.54, 231.952, 328.029, 117.458, 0.513525, 0.726234, -154.812, 
2019 Aug 19 (Mon) 4:30, 229.226, 324.175, -3.94471, 230.857, 326.481, -122.712, 230.905, 326.549, 117.286, 0.508711, 0.719426, -155.023, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 7.69812e-08, 1.08868e-07, 56.4156, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 7.73463e-08, 1.09384e-07, 55.3868, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 7.71119e-08, 1.09053e-07, 54.7202, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 7.33503e-08, 1.03733e-07, 54.2168, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 7.4034e-08, 1.047e-07, 53.5469, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 7.32571e-08, 1.03601e-07, 52.8334, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 7.37793e-08, 1.0434e-07, 53.0182, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 7.28709e-08, 1.03055e-07, 53.8789, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 7.30522e-08, 1.03311e-07, 54.0031, 
