Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.958, 323.796, -3.43618, 228.958, 323.796, -123.436, 228.958, 323.795, 116.564, 4.59875e-08, 6.50361e-08, -35.9283, 
2019 Aug 19 (Mon) 0:30, 228.92, 323.742, -3.12787, 228.92, 323.742, -123.128, 228.92, 323.742, 116.872, 4.60506e-08, 6.51254e-08, -35.2877, 
2019 Aug 19 (Mon) 1:00, 232.243, 328.441, -2.9487, 232.243, 328.441, -122.949, 232.243, 328.441, 117.051, 4.74839e-08, 6.71524e-08, -35.1785, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 4.76678e-08, 6.74124e-08, -34.734, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 4.67615e-08, 6.61307e-08, -34.293, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 4.78632e-08, 6.76887e-08, -34.3626, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 4.8145e-08, 6.80873e-08, -34.4641, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 4.78023e-08, 6.76027e-08, -34.525, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 4.74593e-08, 6.71176e-08, -34.3085, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70914, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 4.69747e-08, 6.64323e-08, -34.5811, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 4.72162e-08, 6.67737e-08, -34.9659, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 4.71946e-08, 6.67432e-08, -35.9111, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 4.69366e-08, 6.63784e-08, -36.4365, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 4.48716e-08, 6.34581e-08, -36.1412, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 4.50963e-08, 6.37758e-08, -36.8509, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22115, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 4.45473e-08, 6.29994e-08, -37.3043, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 4.48573e-08, 6.34378e-08, -37.2531, 
