Time, 19 (11), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 227.406, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 227.452, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.005, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.38, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.058, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 231.795, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.503, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 231.674, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 230.79, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 229.638, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 230.305, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 230.417, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 229.867, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 224.619, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 225.311, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 223.989, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 224.771, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 223.84, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.135, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 226.649, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 228.698, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 230.106, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 228.634, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 228.424, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 228.123, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 226.677, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 229.447, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 229.117, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 226.362, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 225.318, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 229.049, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 226.684, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 227.553, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 224.313, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 223.519, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 219.404, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 216.895, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 209.282, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 208.095, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 211.681, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 213.913, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 207.454, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 210.876, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 211.516, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 213.484, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 214.534, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 216.281, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 216.951, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 220.798, 0, 0, 90.2564, 0, 0, 0, 
