Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 5.05423e-05, 4.74796e-05, 6.12544e-05, 7.00326e-05, 7.85681e-05, 8.00333e-05, 8.19437e-05, 4.81493e-05, 5.16798e-05, 5.28503e-05, 5.64737e-05, 5.73725e-05, 5.90696e-05, 
2019 Aug 19 (Mon) 0:30, 5.21227e-05, 4.96851e-05, 6.61151e-05, 7.25192e-05, 7.96798e-05, 8.44758e-05, 8.6099e-05, 4.91601e-05, 5.42088e-05, 5.55547e-05, 5.71839e-05, 6.27289e-05, 6.35912e-05, 
2019 Aug 19 (Mon) 1:00, 3.21637e-05, 2.89773e-05, 3.79685e-05, 4.31479e-05, 4.72476e-05, 5.26303e-05, 5.11026e-05, 2.87575e-05, 2.97994e-05, 3.11674e-05, 3.27705e-05, 3.4713e-05, 3.52635e-05, 
2019 Aug 19 (Mon) 1:30, 3.02675e-05, 3.05493e-05, 3.92162e-05, 4.42008e-05, 4.93209e-05, 5.05025e-05, 5.18808e-05, 3.00156e-05, 2.97792e-05, 3.11557e-05, 3.33295e-05, 3.61448e-05, 3.75384e-05, 
2019 Aug 19 (Mon) 2:00, 5.00776e-05, 4.85073e-05, 5.99994e-05, 7.03909e-05, 7.66353e-05, 7.92053e-05, 8.17992e-05, 4.69788e-05, 4.89581e-05, 5.13022e-05, 5.52293e-05, 5.66498e-05, 5.87435e-05, 
2019 Aug 19 (Mon) 2:30, 3.08828e-05, 3.06391e-05, 3.71192e-05, 4.41673e-05, 4.63758e-05, 4.87796e-05, 4.93664e-05, 2.65226e-05, 3.06488e-05, 3.1233e-05, 3.19287e-05, 3.32502e-05, 3.38563e-05, 
2019 Aug 19 (Mon) 3:00, 2.23771e-05, 2.09998e-05, 3.00845e-05, 3.40876e-05, 3.5117e-05, 3.90992e-05, 3.9371e-05, 1.99821e-05, 2.38675e-05, 2.35446e-05, 2.457e-05, 2.45942e-05, 2.57317e-05, 
2019 Aug 19 (Mon) 3:30, 3.21247e-05, 2.9293e-05, 3.77594e-05, 4.41775e-05, 4.63749e-05, 4.97559e-05, 4.90986e-05, 2.59475e-05, 3.00403e-05, 3.23418e-05, 3.35288e-05, 3.38304e-05, 3.61281e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.66437e-05, 4.72357e-05, 5.43186e-05, 5.92121e-05, 6.19973e-05, 6.3104e-05, 3.70609e-05, 3.68931e-05, 4.08485e-05, 4.09363e-05, 4.4233e-05, 4.53158e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.26987e-05, 5.56571e-05, 6.41263e-05, 6.93475e-05, 7.2015e-05, 7.24943e-05, 4.1307e-05, 4.3449e-05, 4.62744e-05, 4.81924e-05, 5.05969e-05, 5.37611e-05, 
2019 Aug 19 (Mon) 5:00, 3.79915e-05, 3.79484e-05, 4.82493e-05, 5.32668e-05, 5.81818e-05, 6.21403e-05, 6.29427e-05, 3.65511e-05, 3.76884e-05, 3.88e-05, 4.28086e-05, 4.37501e-05, 4.40649e-05, 
2019 Aug 19 (Mon) 5:30, 3.25344e-05, 3.05481e-05, 3.82844e-05, 4.43014e-05, 4.73197e-05, 4.95593e-05, 5.03375e-05, 2.91161e-05, 3.12724e-05, 3.20804e-05, 3.33968e-05, 3.52923e-05, 3.58788e-05, 
2019 Aug 19 (Mon) 6:00, 3.18362e-05, 2.9618e-05, 3.89231e-05, 4.70042e-05, 4.82274e-05, 5.11898e-05, 5.34391e-05, 3.09064e-05, 3.12797e-05, 3.2106e-05, 3.34227e-05, 3.62103e-05, 3.79112e-05, 
2019 Aug 19 (Mon) 6:30, 5.81918e-05, 5.61981e-05, 6.99747e-05, 7.97943e-05, 8.58559e-05, 8.85616e-05, 8.91524e-05, 5.50744e-05, 5.82861e-05, 5.93963e-05, 6.36336e-05, 6.74026e-05, 6.7935e-05, 
2019 Aug 19 (Mon) 7:00, 5.57189e-05, 5.35928e-05, 6.82537e-05, 7.73342e-05, 8.32008e-05, 8.59459e-05, 8.98882e-05, 5.2746e-05, 5.54156e-05, 5.65719e-05, 6.1023e-05, 6.37024e-05, 6.43121e-05, 
2019 Aug 19 (Mon) 7:30, 5.78749e-05, 5.53233e-05, 7.04579e-05, 7.77869e-05, 8.36712e-05, 8.8181e-05, 9.04136e-05, 5.48163e-05, 5.753e-05, 5.869e-05, 6.22202e-05, 6.72468e-05, 6.94727e-05, 
