Time, 24 (17), , , , , , , 28 (21), , , , , , , 61 (58), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 228.106, 0, 0, 100, 0, 0, 0, 227.871, 0, 0, 100, 0, 0, 0, 228.105, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 228.12, 0, 0, 100, 0, 0, 0, 227.896, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.553, 0, 0, 100, 0, 0, 0, 231.37, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.895, 0, 0, 100, 0, 0, 0, 231.723, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.628, 0, 0, 100, 0, 0, 0, 229.437, 0, 0, 100, 0, 0, 0, 229.627, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 232.279, 0, 0, 100, 0, 0, 0, 232.117, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.969, 0, 0, 100, 0, 0, 0, 232.813, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 232.17, 0, 0, 100, 0, 0, 0, 232.004, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.305, 0, 0, 100, 0, 0, 0, 231.133, 0, 0, 100, 0, 0, 0, 231.304, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 230.203, 0, 0, 100, 0, 0, 0, 230.014, 0, 0, 100, 0, 0, 0, 230.202, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 230.866, 0, 0, 100, 0, 0, 0, 230.678, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 231.019, 0, 0, 100, 0, 0, 0, 230.818, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 230.511, 0, 0, 100, 0, 0, 0, 230.295, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 225.418, 0, 0, 100, 0, 0, 0, 225.15, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 
