Time, 11_EV, 14_EV, 19_EV, 20_EV, 38_EV, 50_EV, 56_EV, 60_EV, 62_EV, 
2019 Aug 19 (Mon) 0:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 0:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 1:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 1:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 2:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 2:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 3:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 3:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 4:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 4:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 5:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 5:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 6:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 6:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 7:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 7:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 8:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 8:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 9:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 9:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 10:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 10:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 11:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 11:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 12:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 12:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 13:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 13:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 14:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 14:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 15:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 15:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
