Time, Demand_HH, Demand_EV, Demand_Total
2019 Aug 19 (Mon) 0:00, 60651.4, 29600, 90251.4
2019 Aug 19 (Mon) 0:30, 55587.2, 29600, 85187.2
2019 Aug 19 (Mon) 1:00, 50600.9, 29600, 80200.9
2019 Aug 19 (Mon) 1:30, 46735.3, 29600, 76335.3
2019 Aug 19 (Mon) 2:00, 45923.5, 29600, 75523.5
2019 Aug 19 (Mon) 2:30, 43410.8, 29600, 73010.8
2019 Aug 19 (Mon) 3:00, 43410.8, 29600, 73010.8
2019 Aug 19 (Mon) 3:30, 44802.8, 29600, 74402.8
2019 Aug 19 (Mon) 4:00, 44106.5, 29600, 73706.5
2019 Aug 19 (Mon) 4:30, 47508.1, 29600, 77108.1
2019 Aug 19 (Mon) 5:00, 49750.1, 29600, 79350.1
2019 Aug 19 (Mon) 5:30, 56940.2, 29600, 86540.2
2019 Aug 19 (Mon) 6:00, 61655.9, 29600, 91255.9
2019 Aug 19 (Mon) 6:30, 65753.8, 29600, 95353.8
2019 Aug 19 (Mon) 7:00, 70507.8, 29600, 100108
2019 Aug 19 (Mon) 7:30, 75801, 29600, 105401
2019 Aug 19 (Mon) 8:00, 74375.4, 29600, 103975
2019 Aug 19 (Mon) 8:30, 68263.8, 29600, 97863.8
2019 Aug 19 (Mon) 9:00, 67339.8, 0, 67339.8
2019 Aug 19 (Mon) 9:30, 66066, 0, 66066
2019 Aug 19 (Mon) 10:00, 63125, 0, 63125
2019 Aug 19 (Mon) 10:30, 60148.4, 0, 60148.4
2019 Aug 19 (Mon) 11:00, 61153.6, 0, 61153.6
2019 Aug 19 (Mon) 11:30, 63318.4, 0, 63318.4
2019 Aug 19 (Mon) 12:00, 64361.9, 0, 64361.9
2019 Aug 19 (Mon) 12:30, 64864.8, 0, 64864.8
2019 Aug 19 (Mon) 13:00, 65792.8, 0, 65792.8
2019 Aug 19 (Mon) 13:30, 62506.6, 0, 62506.6
2019 Aug 19 (Mon) 14:00, 62622.8, 0, 62622.8
2019 Aug 19 (Mon) 14:30, 61269.8, 0, 61269.8
2019 Aug 19 (Mon) 15:00, 65870, 0, 65870
2019 Aug 19 (Mon) 15:30, 70395.6, 0, 70395.6
2019 Aug 19 (Mon) 16:00, 75187.2, 0, 75187.2
2019 Aug 19 (Mon) 16:30, 80249.4, 0, 80249.4
2019 Aug 19 (Mon) 17:00, 89218.8, 0, 89218.8
2019 Aug 19 (Mon) 17:30, 98960.4, 0, 98960.4
2019 Aug 19 (Mon) 18:00, 109204, 0, 109204
2019 Aug 19 (Mon) 18:30, 117203, 66600, 183803
2019 Aug 19 (Mon) 19:00, 118133, 66600, 184733
2019 Aug 19 (Mon) 19:30, 120259, 66600, 186859
2019 Aug 19 (Mon) 20:00, 115738, 66600, 182338
2019 Aug 19 (Mon) 20:30, 116200, 66600, 182800
2019 Aug 19 (Mon) 21:00, 113883, 66600, 180483
2019 Aug 19 (Mon) 21:30, 108821, 66600, 175421
2019 Aug 19 (Mon) 22:00, 98689.8, 66600, 165290
2019 Aug 19 (Mon) 22:30, 91462.8, 66600, 158063
2019 Aug 19 (Mon) 23:00, 81252.6, 66600, 147853
2019 Aug 19 (Mon) 23:30, 71167.8, 66600, 137768
2019 Aug 20 (Tue) 0:00, 60651.4, 66600, 127251
