Time, 11 (3), , , , , , , 14 (6), , , , , , , 19 (11), , , , , , , 20 (13), , , , , , , 38 (32), , , , , , , 50 (46), , , , , , , 56 (52), , , , , , , 60 (57), , , , , , , 62 (59), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 219.584, 0, 0, 90.3405, 0, 0, 0, 219.584, 0, 0, 96.6441, 0, 0, 0, 218.373, 0, 0, 96.1585, 0, 0, 0, 217.373, 0, 0, 94.3457, 0, 0, 0, 228.378, 0, 0, 100, 0, 0, 0, 228.43, 0, 0, 99.7202, 0, 0, 0, 228.203, 0, 0, 100, 0, 0, 0, 224.847, 0, 0, 98.798, 0, 0, 0, 228.09, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 219.655, 0, 0, 90.3405, 0, 0, 0, 219.655, 0, 0, 96.6441, 0, 0, 0, 218.475, 0, 0, 96.1585, 0, 0, 0, 217.491, 0, 0, 94.3457, 0, 0, 0, 228.452, 0, 0, 100, 0, 0, 0, 228.429, 0, 0, 99.7202, 0, 0, 0, 228.212, 0, 0, 100, 0, 0, 0, 224.906, 0, 0, 98.798, 0, 0, 0, 228.104, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 222.954, 0, 0, 90.3405, 0, 0, 0, 222.954, 0, 0, 96.6441, 0, 0, 0, 221.827, 0, 0, 96.1585, 0, 0, 0, 220.888, 0, 0, 94.3457, 0, 0, 0, 232.157, 0, 0, 100, 0, 0, 0, 231.81, 0, 0, 99.7202, 0, 0, 0, 231.636, 0, 0, 100, 0, 0, 0, 228.225, 0, 0, 98.798, 0, 0, 0, 231.548, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 223.323, 0, 0, 90.3405, 0, 0, 0, 223.323, 0, 0, 96.6441, 0, 0, 0, 222.223, 0, 0, 96.1585, 0, 0, 0, 221.299, 0, 0, 94.3457, 0, 0, 0, 232.566, 0, 0, 100, 0, 0, 0, 232.136, 0, 0, 99.7202, 0, 0, 0, 231.972, 0, 0, 100, 0, 0, 0, 228.588, 0, 0, 98.798, 0, 0, 0, 231.891, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 221.19, 0, 0, 90.3405, 0, 0, 0, 221.19, 0, 0, 96.6441, 0, 0, 0, 220.081, 0, 0, 96.1585, 0, 0, 0, 219.14, 0, 0, 94.3457, 0, 0, 0, 230.166, 0, 0, 100, 0, 0, 0, 229.891, 0, 0, 99.7202, 0, 0, 0, 229.707, 0, 0, 100, 0, 0, 0, 226.434, 0, 0, 98.798, 0, 0, 0, 229.616, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 223.725, 0, 0, 90.3405, 0, 0, 0, 223.725, 0, 0, 96.6441, 0, 0, 0, 222.65, 0, 0, 96.1585, 0, 0, 0, 221.74, 0, 0, 94.3457, 0, 0, 0, 233.014, 0, 0, 100, 0, 0, 0, 232.506, 0, 0, 99.7202, 0, 0, 0, 232.353, 0, 0, 100, 0, 0, 0, 228.986, 0, 0, 98.798, 0, 0, 0, 232.276, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 224.377, 0, 0, 90.3405, 0, 0, 0, 224.377, 0, 0, 96.6441, 0, 0, 0, 223.306, 0, 0, 96.1585, 0, 0, 0, 222.402, 0, 0, 94.3457, 0, 0, 0, 233.748, 0, 0, 100, 0, 0, 0, 233.188, 0, 0, 99.7202, 0, 0, 0, 233.042, 0, 0, 100, 0, 0, 0, 229.644, 0, 0, 98.798, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 223.606, 0, 0, 90.3405, 0, 0, 0, 223.606, 0, 0, 96.6441, 0, 0, 0, 222.521, 0, 0, 96.1585, 0, 0, 0, 221.605, 0, 0, 94.3457, 0, 0, 0, 232.882, 0, 0, 100, 0, 0, 0, 232.402, 0, 0, 99.7202, 0, 0, 0, 232.245, 0, 0, 100, 0, 0, 0, 228.869, 0, 0, 98.798, 0, 0, 0, 232.167, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 222.796, 0, 0, 90.3405, 0, 0, 0, 222.796, 0, 0, 96.6441, 0, 0, 0, 221.71, 0, 0, 96.1585, 0, 0, 0, 220.789, 0, 0, 94.3457, 0, 0, 0, 231.97, 0, 0, 100, 0, 0, 0, 231.544, 0, 0, 99.7202, 0, 0, 0, 231.38, 0, 0, 100, 0, 0, 0, 228.05, 0, 0, 98.798, 0, 0, 0, 231.298, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 221.715, 0, 0, 90.3405, 0, 0, 0, 221.715, 0, 0, 96.6441, 0, 0, 0, 220.6, 0, 0, 96.1585, 0, 0, 0, 219.659, 0, 0, 94.3457, 0, 0, 0, 230.758, 0, 0, 100, 0, 0, 0, 230.464, 0, 0, 99.7202, 0, 0, 0, 230.283, 0, 0, 100, 0, 0, 0, 226.967, 0, 0, 98.798, 0, 0, 0, 230.193, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 222.315, 0, 0, 90.3405, 0, 0, 0, 222.315, 0, 0, 96.6441, 0, 0, 0, 221.19, 0, 0, 96.1585, 0, 0, 0, 220.247, 0, 0, 94.3457, 0, 0, 0, 231.437, 0, 0, 100, 0, 0, 0, 231.127, 0, 0, 99.7202, 0, 0, 0, 230.948, 0, 0, 100, 0, 0, 0, 227.578, 0, 0, 98.798, 0, 0, 0, 230.858, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 222.375, 0, 0, 90.3405, 0, 0, 0, 222.375, 0, 0, 96.6441, 0, 0, 0, 221.204, 0, 0, 96.1585, 0, 0, 0, 220.241, 0, 0, 94.3457, 0, 0, 0, 231.514, 0, 0, 100, 0, 0, 0, 231.301, 0, 0, 99.7202, 0, 0, 0, 231.108, 0, 0, 100, 0, 0, 0, 227.656, 0, 0, 98.798, 0, 0, 0, 231.012, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 221.841, 0, 0, 90.3405, 0, 0, 0, 221.841, 0, 0, 96.6441, 0, 0, 0, 220.637, 0, 0, 96.1585, 0, 0, 0, 219.655, 0, 0, 94.3457, 0, 0, 0, 230.919, 0, 0, 100, 0, 0, 0, 230.812, 0, 0, 99.7202, 0, 0, 0, 230.606, 0, 0, 100, 0, 0, 0, 227.127, 0, 0, 98.798, 0, 0, 0, 230.502, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 216.991, 0, 0, 90.3405, 0, 0, 0, 216.991, 0, 0, 96.6441, 0, 0, 0, 215.732, 0, 0, 96.1585, 0, 0, 0, 214.694, 0, 0, 94.3457, 0, 0, 0, 225.467, 0, 0, 100, 0, 0, 0, 225.786, 0, 0, 99.7202, 0, 0, 0, 225.525, 0, 0, 100, 0, 0, 0, 222.24, 0, 0, 98.798, 0, 0, 0, 225.394, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 217.602, 0, 0, 90.3405, 0, 0, 0, 217.602, 0, 0, 96.6441, 0, 0, 0, 216.318, 0, 0, 96.1585, 0, 0, 0, 215.272, 0, 0, 94.3457, 0, 0, 0, 226.159, 0, 0, 100, 0, 0, 0, 226.495, 0, 0, 99.7202, 0, 0, 0, 226.231, 0, 0, 100, 0, 0, 0, 222.867, 0, 0, 98.798, 0, 0, 0, 226.099, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 216.357, 0, 0, 90.3405, 0, 0, 0, 216.357, 0, 0, 96.6441, 0, 0, 0, 215.035, 0, 0, 96.1585, 0, 0, 0, 213.962, 0, 0, 94.3457, 0, 0, 0, 224.764, 0, 0, 100, 0, 0, 0, 225.266, 0, 0, 99.7202, 0, 0, 0, 224.979, 0, 0, 100, 0, 0, 0, 221.623, 0, 0, 98.798, 0, 0, 0, 224.836, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 217.084, 0, 0, 90.3405, 0, 0, 0, 217.084, 0, 0, 96.6441, 0, 0, 0, 215.775, 0, 0, 96.1585, 0, 0, 0, 214.712, 0, 0, 94.3457, 0, 0, 0, 225.58, 0, 0, 100, 0, 0, 0, 226.008, 0, 0, 99.7202, 0, 0, 0, 225.731, 0, 0, 100, 0, 0, 0, 222.353, 0, 0, 98.798, 0, 0, 0, 225.593, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 216.261, 0, 0, 90.3405, 0, 0, 0, 216.261, 0, 0, 96.6441, 0, 0, 0, 214.983, 0, 0, 96.1585, 0, 0, 0, 213.931, 0, 0, 94.3457, 0, 0, 0, 224.649, 0, 0, 100, 0, 0, 0, 225.057, 0, 0, 99.7202, 0, 0, 0, 224.784, 0, 0, 100, 0, 0, 0, 221.509, 0, 0, 98.798, 0, 0, 0, 224.647, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.684, 0, 0, 90.3405, 0, 0, 0, 224.684, 0, 0, 96.6441, 0, 0, 0, 224.135, 0, 0, 96.1585, 0, 0, 0, 223.725, 0, 0, 94.3457, 0, 0, 0, 223.451, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 99.7202, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 98.798, 0, 0, 0, 224.955, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.151, 0, 0, 90.3405, 0, 0, 0, 227.151, 0, 0, 96.6441, 0, 0, 0, 226.649, 0, 0, 96.1585, 0, 0, 0, 226.274, 0, 0, 94.3457, 0, 0, 0, 226.024, 0, 0, 100, 0, 0, 0, 227.777, 0, 0, 99.7202, 0, 0, 0, 227.526, 0, 0, 100, 0, 0, 0, 227.526, 0, 0, 98.798, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 229.154, 0, 0, 90.3405, 0, 0, 0, 229.154, 0, 0, 96.6441, 0, 0, 0, 228.698, 0, 0, 96.1585, 0, 0, 0, 228.357, 0, 0, 94.3457, 0, 0, 0, 228.13, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 99.7202, 0, 0, 0, 229.495, 0, 0, 100, 0, 0, 0, 229.495, 0, 0, 98.798, 0, 0, 0, 229.38, 0, 0, 100, 0, 0, 0, 
