Time, 10_EV, 13_EV, 17_EV, 19_EV, 24_EV, 25_EV, 28_EV, 29_EV, 2_EV, 3_EV, 48_EV, 49_EV, 53_EV, 58_EV, 60_EV, 64_EV, 66_EV, 
2019 Aug 19 (Mon) 0:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 0:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 1:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 1:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 2:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 2:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 3:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 3:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 4:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 4:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 5:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 5:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 6:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 6:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 7:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 7:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 8:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 8:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 9:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
