Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.974739, 0.986843, 0.982042, 0.962568
2019 Aug 19 (Mon) 0:30, 0.968769, 0.9841, 0.97811, 0.961167
2019 Aug 19 (Mon) 1:00, 0.988854, 0.994582, 0.992347, 0.958372
2019 Aug 19 (Mon) 1:30, 0.98798, 0.994305, 0.991874, 0.9571
2019 Aug 19 (Mon) 2:00, 0.969273, 0.985291, 0.979221, 0.957768
2019 Aug 19 (Mon) 2:30, 0.987746, 0.994329, 0.991832, 0.955951
2019 Aug 19 (Mon) 3:00, 0.991816, 0.996216, 0.994528, 0.955682
2019 Aug 19 (Mon) 3:30, 0.988172, 0.994472, 0.992067, 0.956414
2019 Aug 19 (Mon) 4:00, 0.981476, 0.991346, 0.987619, 0.956546
2019 Aug 19 (Mon) 4:30, 0.976427, 0.988672, 0.984003, 0.958002
2019 Aug 19 (Mon) 5:00, 0.98381, 0.992152, 0.988932, 0.958394
2019 Aug 19 (Mon) 5:30, 0.990246, 0.995074, 0.993143, 0.960393
2019 Aug 19 (Mon) 6:00, 0.990622, 0.995138, 0.993304, 0.961895
2019 Aug 19 (Mon) 6:30, 0.958825, 0.977672, 0.970104, 0.965029
2019 Aug 19 (Mon) 7:00, 0.97065, 0.983896, 0.978517, 0.965962
2019 Aug 19 (Mon) 7:30, 0.967146, 0.981497, 0.975605, 0.967794
2019 Aug 19 (Mon) 8:00, 0.971167, 0.983913, 0.978692, 0.967137
2019 Aug 19 (Mon) 8:30, 0.955754, 0.975653, 0.967612, 0.965988
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.113316
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.111064
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.110611
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.111028
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.112165
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.110842
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.110406
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.111925
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.107761
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.110561
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.113885
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.11617
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.108171
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.108016
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.103418
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.104052
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.09885
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.0979623
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.0946996
2019 Aug 19 (Mon) 18:30, 0.980201, 0.975907, 0.980341, 0.0256907
2019 Aug 19 (Mon) 19:00, 0.976591, 0.971619, 0.97674, 0.0271631
2019 Aug 19 (Mon) 19:30, 0.98839, 0.985765, 0.988503, 0.0202035
2019 Aug 19 (Mon) 20:00, 0.992195, 0.990331, 0.992291, 0.0188028
2019 Aug 19 (Mon) 20:30, 0.973217, 0.967569, 0.973374, 0.0291575
2019 Aug 19 (Mon) 21:00, 0.983783, 0.980151, 0.983913, 0.0247527
2019 Aug 19 (Mon) 21:30, 0.983621, 0.979884, 0.983751, 0.0262788
2019 Aug 19 (Mon) 22:00, 0.985402, 0.981897, 0.985526, 0.0283176
2019 Aug 19 (Mon) 22:30, 0.98562, 0.982056, 0.985742, 0.0304199
2019 Aug 19 (Mon) 23:00, 0.98675, 0.983292, 0.986868, 0.0330867
2019 Aug 19 (Mon) 23:30, 0.984552, 0.980379, 0.984675, 0.0374768
2019 Aug 20 (Tue) 0:00, 0.991878, 0.989448, 0.991972, 0.0374014
