Time, 11_EV, 15_EV, 16_EV, 17_EV, 18_EV, 20_EV, 21_EV, 26_EV, 27_EV, 31_EV, 32_EV, 34_EV, 38_EV, 39_EV, 3_EV, 41_EV, 48_EV, 4_EV, 50_EV, 51_EV, 53_EV, 54_EV, 55_EV, 56_EV, 58_EV, 5_EV, 61_EV, 62_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 
2019 Aug 19 (Mon) 0:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
