Time, Deviation
2019 Aug 19 (Mon) 0:00, 9.43568
2019 Aug 19 (Mon) 0:30, 9.75049
2019 Aug 19 (Mon) 1:00, 10.0817
2019 Aug 19 (Mon) 1:30, 10.3543
2019 Aug 19 (Mon) 2:00, 10.4135
2019 Aug 19 (Mon) 2:30, 10.6009
2019 Aug 19 (Mon) 3:00, 10.6009
2019 Aug 19 (Mon) 3:30, 10.4962
2019 Aug 19 (Mon) 4:00, 10.5483
2019 Aug 19 (Mon) 4:30, 10.2987
2019 Aug 19 (Mon) 5:00, 10.1404
2019 Aug 19 (Mon) 5:30, 9.66435
2019 Aug 19 (Mon) 6:00, 9.37564
2019 Aug 19 (Mon) 6:30, 9.13841
2019 Aug 19 (Mon) 7:00, 8.87781
2019 Aug 19 (Mon) 7:30, 8.6046
2019 Aug 19 (Mon) 8:00, 8.67651
2019 Aug 19 (Mon) 8:30, 8.99894
2019 Aug 19 (Mon) 9:00, 0
2019 Aug 19 (Mon) 9:30, 0
2019 Aug 19 (Mon) 10:00, 0
2019 Aug 19 (Mon) 10:30, 0
2019 Aug 19 (Mon) 11:00, 0
2019 Aug 19 (Mon) 11:30, 1.34661e-14
2019 Aug 19 (Mon) 12:00, 0
2019 Aug 19 (Mon) 12:30, 0
2019 Aug 19 (Mon) 13:00, 0
2019 Aug 19 (Mon) 13:30, 0
2019 Aug 19 (Mon) 14:00, 0
2019 Aug 19 (Mon) 14:30, 0
2019 Aug 19 (Mon) 15:00, 0
2019 Aug 19 (Mon) 15:30, 0
2019 Aug 19 (Mon) 16:00, 0
2019 Aug 19 (Mon) 16:30, 0
2019 Aug 19 (Mon) 17:00, 0
2019 Aug 19 (Mon) 17:30, 0
2019 Aug 19 (Mon) 18:00, 0
2019 Aug 19 (Mon) 18:30, 14.7748
2019 Aug 19 (Mon) 19:00, 14.7053
2019 Aug 19 (Mon) 19:30, 14.5465
2019 Aug 19 (Mon) 20:00, 14.8842
2019 Aug 19 (Mon) 20:30, 14.8497
2019 Aug 19 (Mon) 21:00, 15.0227
2019 Aug 19 (Mon) 21:30, 15.4009
2019 Aug 19 (Mon) 22:00, 16.1576
2019 Aug 19 (Mon) 22:30, 16.6975
2019 Aug 19 (Mon) 23:00, 17.4601
2019 Aug 19 (Mon) 23:30, 18.2134
2019 Aug 20 (Tue) 0:00, 18.9591
