Time, 11 (3), , , , , , , 15 (7), , , , , , , 16 (8), , , , , , , 17 (9), , , , , , , 18 (10), , , , , , , 20 (13), , , , , , , 21 (14), , , , , , , 26 (19), , , , , , , 27 (20), , , , , , , 31 (25), , , , , , , 32 (26), , , , , , , 34 (28), , , , , , , 38 (32), , , , , , , 39 (33), , , , , , , 3 (23), , , , , , , 41 (36), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 50 (46), , , , , , , 51 (47), , , , , , , 53 (49), , , , , , , 54 (50), , , , , , , 55 (51), , , , , , , 56 (52), , , , , , , 58 (54), , , , , , , 5 (45), , , , , , , 61 (58), , , , , , , 62 (59), , , , , , , 64 (61), , , , , , , 65 (62), , , , , , , 66 (63), , , , , , , 6 (56), , , , , , , 7 (64), , , , , , , 8 (65), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 219.281, 0, 0, 100, 0, 0, 0, 221.062, 0, 0, 100, 0, 0, 0, 220.926, 0, 0, 100, 0, 0, 0, 216.37, 0, 0, 100, 0, 0, 0, 214.017, 0, 0, 95.1717, 0, 0, 0, 216.674, 0, 0, 92.4513, 0, 0, 0, 211.654, 0, 0, 96.0745, 0, 0, 0, 221.144, 0, 0, 99.4643, 0, 0, 0, 220.323, 0, 0, 98.9206, 0, 0, 0, 215.917, 0, 0, 88.5894, 0, 0, 0, 221.457, 0, 0, 98.3583, 0, 0, 0, 213.879, 0, 0, 97.3842, 0, 0, 0, 210.797, 0, 0, 96.3961, 0, 0, 0, 213.15, 0, 0, 94.5384, 0, 0, 0, 214.017, 0, 0, 97.905, 0, 0, 0, 214.235, 0, 0, 100, 0, 0, 0, 216.51, 0, 0, 100, 0, 0, 0, 218.677, 0, 0, 100, 0, 0, 0, 219.332, 0, 0, 100, 0, 0, 0, 217.625, 0, 0, 94.1513, 0, 0, 0, 219.332, 0, 0, 100, 0, 0, 0, 221.174, 0, 0, 100, 0, 0, 0, 216.226, 0, 0, 92.148, 0, 0, 0, 214.979, 0, 0, 91.0082, 0, 0, 0, 219.753, 0, 0, 100, 0, 0, 0, 218.142, 0, 0, 100, 0, 0, 0, 218.975, 0, 0, 100, 0, 0, 0, 214.564, 0, 0, 81.8735, 0, 0, 0, 215.461, 0, 0, 92.3739, 0, 0, 0, 218.064, 0, 0, 98.0301, 0, 0, 0, 221.792, 0, 0, 100, 0, 0, 0, 217.367, 0, 0, 100, 0, 0, 0, 220.208, 0, 0, 100, 0, 0, 0, 215.106, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 219.41, 0, 0, 100, 0, 0, 0, 221.188, 0, 0, 100, 0, 0, 0, 221.072, 0, 0, 100, 0, 0, 0, 216.535, 0, 0, 100, 0, 0, 0, 214.164, 0, 0, 95.1717, 0, 0, 0, 216.832, 0, 0, 92.4513, 0, 0, 0, 211.829, 0, 0, 96.0745, 0, 0, 0, 221.264, 0, 0, 99.4643, 0, 0, 0, 220.438, 0, 0, 98.9206, 0, 0, 0, 216.038, 0, 0, 88.5894, 0, 0, 0, 221.593, 0, 0, 98.3583, 0, 0, 0, 214.029, 0, 0, 97.3842, 0, 0, 0, 210.98, 0, 0, 96.3961, 0, 0, 0, 213.321, 0, 0, 94.5384, 0, 0, 0, 214.164, 0, 0, 97.905, 0, 0, 0, 214.422, 0, 0, 100, 0, 0, 0, 216.69, 0, 0, 100, 0, 0, 0, 218.817, 0, 0, 100, 0, 0, 0, 219.456, 0, 0, 100, 0, 0, 0, 217.727, 0, 0, 94.1513, 0, 0, 0, 219.456, 0, 0, 100, 0, 0, 0, 221.278, 0, 0, 100, 0, 0, 0, 216.333, 0, 0, 92.148, 0, 0, 0, 215.111, 0, 0, 91.0082, 0, 0, 0, 219.862, 0, 0, 100, 0, 0, 0, 218.292, 0, 0, 100, 0, 0, 0, 219.088, 0, 0, 100, 0, 0, 0, 214.701, 0, 0, 81.8735, 0, 0, 0, 215.572, 0, 0, 92.3739, 0, 0, 0, 218.203, 0, 0, 98.0301, 0, 0, 0, 221.913, 0, 0, 100, 0, 0, 0, 217.521, 0, 0, 100, 0, 0, 0, 220.369, 0, 0, 100, 0, 0, 0, 215.284, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 222.653, 0, 0, 100, 0, 0, 0, 224.475, 0, 0, 100, 0, 0, 0, 224.444, 0, 0, 100, 0, 0, 0, 219.779, 0, 0, 100, 0, 0, 0, 217.407, 0, 0, 95.1717, 0, 0, 0, 220.203, 0, 0, 92.4513, 0, 0, 0, 215.06, 0, 0, 96.0745, 0, 0, 0, 224.5, 0, 0, 99.4643, 0, 0, 0, 223.669, 0, 0, 98.9206, 0, 0, 0, 219.245, 0, 0, 88.5894, 0, 0, 0, 224.9, 0, 0, 98.3583, 0, 0, 0, 217.178, 0, 0, 97.3842, 0, 0, 0, 214.237, 0, 0, 96.3961, 0, 0, 0, 216.652, 0, 0, 94.5384, 0, 0, 0, 217.407, 0, 0, 97.905, 0, 0, 0, 217.732, 0, 0, 100, 0, 0, 0, 220.095, 0, 0, 100, 0, 0, 0, 221.977, 0, 0, 100, 0, 0, 0, 222.565, 0, 0, 100, 0, 0, 0, 220.844, 0, 0, 94.1513, 0, 0, 0, 222.565, 0, 0, 100, 0, 0, 0, 224.448, 0, 0, 100, 0, 0, 0, 219.482, 0, 0, 92.148, 0, 0, 0, 218.196, 0, 0, 91.0082, 0, 0, 0, 223.063, 0, 0, 100, 0, 0, 0, 221.484, 0, 0, 100, 0, 0, 0, 222.299, 0, 0, 100, 0, 0, 0, 217.799, 0, 0, 81.8735, 0, 0, 0, 218.73, 0, 0, 92.3739, 0, 0, 0, 221.353, 0, 0, 98.0301, 0, 0, 0, 225.159, 0, 0, 100, 0, 0, 0, 220.721, 0, 0, 100, 0, 0, 0, 223.796, 0, 0, 100, 0, 0, 0, 218.569, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 223.057, 0, 0, 100, 0, 0, 0, 224.881, 0, 0, 100, 0, 0, 0, 224.873, 0, 0, 100, 0, 0, 0, 220.208, 0, 0, 100, 0, 0, 0, 217.822, 0, 0, 95.1717, 0, 0, 0, 220.639, 0, 0, 92.4513, 0, 0, 0, 215.494, 0, 0, 96.0745, 0, 0, 0, 224.897, 0, 0, 99.4643, 0, 0, 0, 224.062, 0, 0, 98.9206, 0, 0, 0, 219.639, 0, 0, 88.5894, 0, 0, 0, 225.315, 0, 0, 98.3583, 0, 0, 0, 217.587, 0, 0, 97.3842, 0, 0, 0, 214.679, 0, 0, 96.3961, 0, 0, 0, 217.094, 0, 0, 94.5384, 0, 0, 0, 217.822, 0, 0, 97.905, 0, 0, 0, 218.183, 0, 0, 100, 0, 0, 0, 220.55, 0, 0, 100, 0, 0, 0, 222.38, 0, 0, 100, 0, 0, 0, 222.952, 0, 0, 100, 0, 0, 0, 221.217, 0, 0, 94.1513, 0, 0, 0, 222.952, 0, 0, 100, 0, 0, 0, 224.827, 0, 0, 100, 0, 0, 0, 219.861, 0, 0, 92.148, 0, 0, 0, 218.586, 0, 0, 91.0082, 0, 0, 0, 223.449, 0, 0, 100, 0, 0, 0, 221.897, 0, 0, 100, 0, 0, 0, 222.689, 0, 0, 100, 0, 0, 0, 218.194, 0, 0, 81.8735, 0, 0, 0, 219.113, 0, 0, 92.3739, 0, 0, 0, 221.755, 0, 0, 98.0301, 0, 0, 0, 225.557, 0, 0, 100, 0, 0, 0, 221.138, 0, 0, 100, 0, 0, 0, 224.239, 0, 0, 100, 0, 0, 0, 219.011, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 221.01, 0, 0, 100, 0, 0, 0, 222.801, 0, 0, 100, 0, 0, 0, 222.753, 0, 0, 100, 0, 0, 0, 218.188, 0, 0, 100, 0, 0, 0, 215.788, 0, 0, 95.1717, 0, 0, 0, 218.529, 0, 0, 92.4513, 0, 0, 0, 213.492, 0, 0, 96.0745, 0, 0, 0, 222.846, 0, 0, 99.4643, 0, 0, 0, 222.01, 0, 0, 98.9206, 0, 0, 0, 217.609, 0, 0, 88.5894, 0, 0, 0, 223.231, 0, 0, 98.3583, 0, 0, 0, 215.621, 0, 0, 97.3842, 0, 0, 0, 212.667, 0, 0, 96.3961, 0, 0, 0, 215.022, 0, 0, 94.5384, 0, 0, 0, 215.788, 0, 0, 97.905, 0, 0, 0, 216.137, 0, 0, 100, 0, 0, 0, 218.436, 0, 0, 100, 0, 0, 0, 220.396, 0, 0, 100, 0, 0, 0, 220.99, 0, 0, 100, 0, 0, 0, 219.231, 0, 0, 94.1513, 0, 0, 0, 220.99, 0, 0, 100, 0, 0, 0, 222.808, 0, 0, 100, 0, 0, 0, 217.857, 0, 0, 92.148, 0, 0, 0, 216.645, 0, 0, 91.0082, 0, 0, 0, 221.413, 0, 0, 100, 0, 0, 0, 219.9, 0, 0, 100, 0, 0, 0, 220.649, 0, 0, 100, 0, 0, 0, 216.248, 0, 0, 81.8735, 0, 0, 0, 217.106, 0, 0, 92.3739, 0, 0, 0, 219.777, 0, 0, 98.0301, 0, 0, 0, 223.5, 0, 0, 100, 0, 0, 0, 219.139, 0, 0, 100, 0, 0, 0, 222.095, 0, 0, 100, 0, 0, 0, 216.975, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 223.488, 0, 0, 100, 0, 0, 0, 225.315, 0, 0, 100, 0, 0, 0, 225.327, 0, 0, 100, 0, 0, 0, 220.659, 0, 0, 100, 0, 0, 0, 218.263, 0, 0, 95.1717, 0, 0, 0, 221.1, 0, 0, 92.4513, 0, 0, 0, 215.95, 0, 0, 96.0745, 0, 0, 0, 225.321, 0, 0, 99.4643, 0, 0, 0, 224.483, 0, 0, 98.9206, 0, 0, 0, 220.061, 0, 0, 88.5894, 0, 0, 0, 225.757, 0, 0, 98.3583, 0, 0, 0, 218.02, 0, 0, 97.3842, 0, 0, 0, 215.143, 0, 0, 96.3961, 0, 0, 0, 217.558, 0, 0, 94.5384, 0, 0, 0, 218.263, 0, 0, 97.905, 0, 0, 0, 218.654, 0, 0, 100, 0, 0, 0, 221.028, 0, 0, 100, 0, 0, 0, 222.808, 0, 0, 100, 0, 0, 0, 223.366, 0, 0, 100, 0, 0, 0, 221.619, 0, 0, 94.1513, 0, 0, 0, 223.366, 0, 0, 100, 0, 0, 0, 225.236, 0, 0, 100, 0, 0, 0, 220.269, 0, 0, 92.148, 0, 0, 0, 219.001, 0, 0, 91.0082, 0, 0, 0, 223.864, 0, 0, 100, 0, 0, 0, 222.334, 0, 0, 100, 0, 0, 0, 223.107, 0, 0, 100, 0, 0, 0, 218.614, 0, 0, 81.8735, 0, 0, 0, 219.524, 0, 0, 92.3739, 0, 0, 0, 222.182, 0, 0, 98.0301, 0, 0, 0, 225.983, 0, 0, 100, 0, 0, 0, 221.579, 0, 0, 100, 0, 0, 0, 224.708, 0, 0, 100, 0, 0, 0, 219.474, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 224.117, 0, 0, 100, 0, 0, 0, 225.954, 0, 0, 100, 0, 0, 0, 225.979, 0, 0, 100, 0, 0, 0, 221.281, 0, 0, 100, 0, 0, 0, 218.888, 0, 0, 95.1717, 0, 0, 0, 221.749, 0, 0, 92.4513, 0, 0, 0, 216.567, 0, 0, 96.0745, 0, 0, 0, 225.95, 0, 0, 99.4643, 0, 0, 0, 225.112, 0, 0, 98.9206, 0, 0, 0, 220.684, 0, 0, 88.5894, 0, 0, 0, 226.397, 0, 0, 98.3583, 0, 0, 0, 218.626, 0, 0, 97.3842, 0, 0, 0, 215.763, 0, 0, 96.3961, 0, 0, 0, 218.196, 0, 0, 94.5384, 0, 0, 0, 218.888, 0, 0, 97.905, 0, 0, 0, 219.285, 0, 0, 100, 0, 0, 0, 221.679, 0, 0, 100, 0, 0, 0, 223.417, 0, 0, 100, 0, 0, 0, 223.968, 0, 0, 100, 0, 0, 0, 222.227, 0, 0, 94.1513, 0, 0, 0, 223.968, 0, 0, 100, 0, 0, 0, 225.854, 0, 0, 100, 0, 0, 0, 220.883, 0, 0, 92.148, 0, 0, 0, 219.598, 0, 0, 91.0082, 0, 0, 0, 224.488, 0, 0, 100, 0, 0, 0, 222.948, 0, 0, 100, 0, 0, 0, 223.732, 0, 0, 100, 0, 0, 0, 219.212, 0, 0, 81.8735, 0, 0, 0, 220.139, 0, 0, 92.3739, 0, 0, 0, 222.79, 0, 0, 98.0301, 0, 0, 0, 226.614, 0, 0, 100, 0, 0, 0, 222.194, 0, 0, 100, 0, 0, 0, 225.368, 0, 0, 100, 0, 0, 0, 220.101, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 223.355, 0, 0, 100, 0, 0, 0, 225.181, 0, 0, 100, 0, 0, 0, 225.186, 0, 0, 100, 0, 0, 0, 220.517, 0, 0, 100, 0, 0, 0, 218.125, 0, 0, 95.1717, 0, 0, 0, 220.955, 0, 0, 92.4513, 0, 0, 0, 215.805, 0, 0, 96.0745, 0, 0, 0, 225.191, 0, 0, 99.4643, 0, 0, 0, 224.354, 0, 0, 98.9206, 0, 0, 0, 219.931, 0, 0, 88.5894, 0, 0, 0, 225.62, 0, 0, 98.3583, 0, 0, 0, 217.885, 0, 0, 97.3842, 0, 0, 0, 214.995, 0, 0, 96.3961, 0, 0, 0, 217.412, 0, 0, 94.5384, 0, 0, 0, 218.125, 0, 0, 97.905, 0, 0, 0, 218.504, 0, 0, 100, 0, 0, 0, 220.877, 0, 0, 100, 0, 0, 0, 222.674, 0, 0, 100, 0, 0, 0, 223.238, 0, 0, 100, 0, 0, 0, 221.496, 0, 0, 94.1513, 0, 0, 0, 223.238, 0, 0, 100, 0, 0, 0, 225.111, 0, 0, 100, 0, 0, 0, 220.144, 0, 0, 92.148, 0, 0, 0, 218.872, 0, 0, 91.0082, 0, 0, 0, 223.737, 0, 0, 100, 0, 0, 0, 222.197, 0, 0, 100, 0, 0, 0, 222.979, 0, 0, 100, 0, 0, 0, 218.483, 0, 0, 81.8735, 0, 0, 0, 219.398, 0, 0, 92.3739, 0, 0, 0, 222.049, 0, 0, 98.0301, 0, 0, 0, 225.852, 0, 0, 100, 0, 0, 0, 221.44, 0, 0, 100, 0, 0, 0, 224.561, 0, 0, 100, 0, 0, 0, 219.327, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 222.583, 0, 0, 100, 0, 0, 0, 224.396, 0, 0, 100, 0, 0, 0, 224.387, 0, 0, 100, 0, 0, 0, 219.758, 0, 0, 100, 0, 0, 0, 217.36, 0, 0, 95.1717, 0, 0, 0, 220.162, 0, 0, 92.4513, 0, 0, 0, 215.054, 0, 0, 96.0745, 0, 0, 0, 224.417, 0, 0, 99.4643, 0, 0, 0, 223.578, 0, 0, 98.9206, 0, 0, 0, 219.165, 0, 0, 88.5894, 0, 0, 0, 224.834, 0, 0, 98.3583, 0, 0, 0, 217.145, 0, 0, 97.3842, 0, 0, 0, 214.241, 0, 0, 96.3961, 0, 0, 0, 216.633, 0, 0, 94.5384, 0, 0, 0, 217.36, 0, 0, 97.905, 0, 0, 0, 217.737, 0, 0, 100, 0, 0, 0, 220.083, 0, 0, 100, 0, 0, 0, 221.927, 0, 0, 100, 0, 0, 0, 222.498, 0, 0, 100, 0, 0, 0, 220.745, 0, 0, 94.1513, 0, 0, 0, 222.498, 0, 0, 100, 0, 0, 0, 224.348, 0, 0, 100, 0, 0, 0, 219.387, 0, 0, 92.148, 0, 0, 0, 218.141, 0, 0, 91.0082, 0, 0, 0, 222.968, 0, 0, 100, 0, 0, 0, 221.446, 0, 0, 100, 0, 0, 0, 222.208, 0, 0, 100, 0, 0, 0, 217.75, 0, 0, 81.8735, 0, 0, 0, 218.64, 0, 0, 92.3739, 0, 0, 0, 221.304, 0, 0, 98.0301, 0, 0, 0, 225.076, 0, 0, 100, 0, 0, 0, 220.689, 0, 0, 100, 0, 0, 0, 223.755, 0, 0, 100, 0, 0, 0, 218.564, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 221.497, 0, 0, 100, 0, 0, 0, 223.297, 0, 0, 100, 0, 0, 0, 223.253, 0, 0, 100, 0, 0, 0, 218.658, 0, 0, 100, 0, 0, 0, 216.267, 0, 0, 95.1717, 0, 0, 0, 219.024, 0, 0, 92.4513, 0, 0, 0, 213.954, 0, 0, 96.0745, 0, 0, 0, 223.337, 0, 0, 99.4643, 0, 0, 0, 222.502, 0, 0, 98.9206, 0, 0, 0, 218.094, 0, 0, 88.5894, 0, 0, 0, 223.725, 0, 0, 98.3583, 0, 0, 0, 216.081, 0, 0, 97.3842, 0, 0, 0, 213.13, 0, 0, 96.3961, 0, 0, 0, 215.503, 0, 0, 94.5384, 0, 0, 0, 216.267, 0, 0, 97.905, 0, 0, 0, 216.608, 0, 0, 100, 0, 0, 0, 218.926, 0, 0, 100, 0, 0, 0, 220.864, 0, 0, 100, 0, 0, 0, 221.456, 0, 0, 100, 0, 0, 0, 219.71, 0, 0, 94.1513, 0, 0, 0, 221.456, 0, 0, 100, 0, 0, 0, 223.295, 0, 0, 100, 0, 0, 0, 218.34, 0, 0, 92.148, 0, 0, 0, 217.105, 0, 0, 91.0082, 0, 0, 0, 221.902, 0, 0, 100, 0, 0, 0, 220.368, 0, 0, 100, 0, 0, 0, 221.139, 0, 0, 100, 0, 0, 0, 216.708, 0, 0, 81.8735, 0, 0, 0, 217.588, 0, 0, 92.3739, 0, 0, 0, 220.244, 0, 0, 98.0301, 0, 0, 0, 223.992, 0, 0, 100, 0, 0, 0, 219.607, 0, 0, 100, 0, 0, 0, 222.598, 0, 0, 100, 0, 0, 0, 217.446, 0, 0, 100, 0, 0, 0, 
