Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 209.875, 296.807, -13.1792, 206.68, 292.289, -135.6, 205.469, 290.577, 104.137, 1.85227, 2.6195, -46.5894, 
2019 Aug 19 (Mon) 0:30, 210.053, 297.06, -12.8903, 206.881, 292.573, -135.319, 205.689, 290.888, 104.409, 1.85668, 2.62575, -46.2304, 
2019 Aug 19 (Mon) 1:00, 213.015, 301.249, -12.8786, 209.726, 296.598, -135.331, 208.444, 294.785, 104.378, 1.89046, 2.67351, -46.4201, 
2019 Aug 19 (Mon) 1:30, 213.427, 301.832, -12.6811, 210.142, 297.186, -135.141, 208.865, 295.379, 104.56, 1.89681, 2.68249, -46.1951, 
2019 Aug 19 (Mon) 2:00, 211.607, 299.257, -12.4553, 208.417, 294.747, -134.907, 207.216, 293.048, 104.8, 1.87798, 2.65587, -45.7801, 
2019 Aug 19 (Mon) 2:30, 213.857, 302.439, -12.5177, 210.572, 297.793, -134.985, 209.295, 295.988, 104.708, 1.90308, 2.69136, -46.0153, 
2019 Aug 19 (Mon) 3:00, 214.419, 303.234, -12.5717, 211.105, 298.548, -135.042, 209.806, 296.711, 104.649, 1.90903, 2.69977, -46.1227, 
2019 Aug 19 (Mon) 3:30, 213.719, 302.244, -12.5903, 210.432, 297.596, -135.055, 209.153, 295.787, 104.642, 1.9009, 2.68828, -46.0988, 
2019 Aug 19 (Mon) 4:00, 213.038, 301.281, -12.4819, 209.789, 296.687, -134.944, 208.541, 294.922, 104.754, 1.89406, 2.6786, -45.9133, 
2019 Aug 19 (Mon) 4:30, 212.022, 299.844, -12.5921, 208.802, 295.291, -135.044, 207.576, 293.557, 104.664, 1.88156, 2.66093, -45.9845, 
2019 Aug 19 (Mon) 5:00, 212.485, 300.5, -12.7745, 209.228, 295.893, -135.225, 207.972, 294.117, 104.484, 1.8853, 2.66622, -46.2502, 
2019 Aug 19 (Mon) 5:30, 212.363, 300.327, -13.2034, 209.067, 295.665, -135.642, 207.777, 293.841, 104.079, 1.88033, 2.65919, -46.7922, 
2019 Aug 19 (Mon) 6:00, 211.791, 299.518, -13.4349, 208.494, 294.855, -135.864, 207.203, 293.029, 103.867, 1.87191, 2.64729, -47.0503, 
2019 Aug 19 (Mon) 6:30, 207.524, 293.484, -13.2476, 204.415, 289.086, -135.649, 203.27, 287.467, 104.105, 1.82505, 2.58101, -46.5126, 
2019 Aug 19 (Mon) 7:00, 207.944, 294.078, -13.5764, 204.786, 289.611, -135.972, 203.602, 287.936, 103.787, 1.82713, 2.58396, -46.966, 
2019 Aug 19 (Mon) 7:30, 206.757, 292.399, -13.7694, 203.626, 287.971, -136.152, 202.462, 286.325, 103.62, 1.81214, 2.56275, -47.1316, 
2019 Aug 19 (Mon) 8:00, 207.413, 293.327, -13.7532, 204.258, 288.865, -136.141, 203.076, 287.192, 103.626, 1.81969, 2.57343, -47.1567, 
2019 Aug 19 (Mon) 8:30, 206.839, 292.515, -13.3274, 203.749, 288.144, -135.721, 202.618, 286.545, 104.039, 1.81664, 2.56912, -46.567, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 1.99862e-07, 2.82647e-07, 0.552291, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 2.03117e-07, 2.87251e-07, 0.386012, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 2.05844e-07, 2.91107e-07, 0.435894, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 2.07745e-07, 2.93796e-07, 0.566162, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 2.05811e-07, 2.91061e-07, 0.633121, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 2.0548e-07, 2.90593e-07, 0.448324, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74597, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 2.05064e-07, 2.90005e-07, 0.381915, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.7101, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 2.03184e-07, 2.87345e-07, 0.497716, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89986, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 2.06738e-07, 2.92372e-07, 0.0946965, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 2.06395e-07, 2.91886e-07, 0.447142, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55369, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 2.02836e-07, 2.86853e-07, 0.745683, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 2.01522e-07, 2.84995e-07, 0.991465, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 2.06217e-07, 2.91635e-07, 0.132186, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 2.03054e-07, 2.87161e-07, -0.0327576, 
2019 Aug 19 (Mon) 16:00, 228.543, 323.209, -4.40786, 228.543, 323.209, -124.408, 228.543, 323.209, 115.592, 2.04053e-07, 2.88575e-07, -0.592949, 
2019 Aug 19 (Mon) 16:30, 225.402, 318.767, -4.56395, 225.402, 318.767, -124.564, 225.402, 318.767, 115.436, 1.99763e-07, 2.82508e-07, -0.689511, 
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 1.98524e-07, 2.80756e-07, -1.43941, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 1.93087e-07, 2.73066e-07, -1.82774, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 1.89715e-07, 2.68298e-07, -2.4494, 
2019 Aug 19 (Mon) 18:30, 202.557, 286.459, -14.2794, 196.28, 277.583, -137.295, 196.614, 278.054, 102.78, 0.586712, 0.829736, -14.2763, 
2019 Aug 19 (Mon) 19:00, 201.593, 285.096, -14.1858, 195.433, 276.384, -137.178, 195.765, 276.854, 102.898, 0.580167, 0.820481, -14.0915, 
2019 Aug 19 (Mon) 19:30, 204.813, 289.649, -14.5662, 198.42, 280.609, -137.554, 198.748, 281.072, 102.515, 0.586794, 0.829852, -14.8063, 
2019 Aug 19 (Mon) 20:00, 206.432, 291.939, -14.6863, 199.745, 282.482, -137.758, 200.079, 282.955, 102.31, 0.606663, 0.857952, -15.0608, 
2019 Aug 19 (Mon) 20:30, 200.922, 284.147, -14.0882, 194.767, 275.442, -137.104, 195.102, 275.916, 102.974, 0.583029, 0.824528, -13.9156, 
