Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 11 (House 3), House 3 Magnitude, House 3 Phase, 12 (House 4), House 4 Magnitude, House 4 Phase, 13 (House 5), House 5 Magnitude, House 5 Phase, 14 (House 6), House 6 Magnitude, House 6 Phase, 15 (House 7), House 7 Magnitude, House 7 Phase, 16 (House 8), House 8 Magnitude, House 8 Phase, 17 (House 9), House 9 Magnitude, House 9 Phase, 18 (House 10), House 10 Magnitude, House 10 Phase, 19 (House 11), House 11 Magnitude, House 11 Phase, 2 (House 12), House 12 Magnitude, House 12 Phase, 20 (House 13), House 13 Magnitude, House 13 Phase, 21 (House 14), House 14 Magnitude, House 14 Phase, 22 (House 15), House 15 Magnitude, House 15 Phase, 23 (House 16), House 16 Magnitude, House 16 Phase, 24 (House 17), House 17 Magnitude, House 17 Phase, 25 (House 18), House 18 Magnitude, House 18 Phase, 26 (House 19), House 19 Magnitude, House 19 Phase, 27 (House 20), House 20 Magnitude, House 20 Phase, 28 (House 21), House 21 Magnitude, House 21 Phase, 29 (House 22), House 22 Magnitude, House 22 Phase, 3 (House 23), House 23 Magnitude, House 23 Phase, 30 (House 24), House 24 Magnitude, House 24 Phase, 31 (House 25), House 25 Magnitude, House 25 Phase, 32 (House 26), House 26 Magnitude, House 26 Phase, 33 (House 27), House 27 Magnitude, House 27 Phase, 34 (House 28), House 28 Magnitude, House 28 Phase, 35 (House 29), House 29 Magnitude, House 29 Phase, 36 (House 30), House 30 Magnitude, House 30 Phase, 37 (House 31), House 31 Magnitude, House 31 Phase, 38 (House 32), House 32 Magnitude, House 32 Phase, 39 (House 33), House 33 Magnitude, House 33 Phase, 4 (House 34), House 34 Magnitude, House 34 Phase, 40 (House 35), House 35 Magnitude, House 35 Phase, 41 (House 36), House 36 Magnitude, House 36 Phase, 42 (House 37), House 37 Magnitude, House 37 Phase, 43 (House 38), House 38 Magnitude, House 38 Phase, 44 (House 39), House 39 Magnitude, House 39 Phase, 45 (House 40), House 40 Magnitude, House 40 Phase, 46 (House 41), House 41 Magnitude, House 41 Phase, 47 (House 42), House 42 Magnitude, House 42 Phase, 48 (House 43), House 43 Magnitude, House 43 Phase, 49 (House 44), House 44 Magnitude, House 44 Phase, 5 (House 45), House 45 Magnitude, House 45 Phase, 50 (House 46), House 46 Magnitude, House 46 Phase, 51 (House 47), House 47 Magnitude, House 47 Phase, 52 (House 48), House 48 Magnitude, House 48 Phase, 53 (House 49), House 49 Magnitude, House 49 Phase, 54 (House 50), House 50 Magnitude, House 50 Phase, 55 (House 51), House 51 Magnitude, House 51 Phase, 56 (House 52), House 52 Magnitude, House 52 Phase, 57 (House 53), House 53 Magnitude, House 53 Phase, 58 (House 54), House 54 Magnitude, House 54 Phase, 59 (House 55), House 55 Magnitude, House 55 Phase, 6 (House 56), House 56 Magnitude, House 56 Phase, 60 (House 57), House 57 Magnitude, House 57 Phase, 61 (House 58), House 58 Magnitude, House 58 Phase, 62 (House 59), House 59 Magnitude, House 59 Phase, 63 (House 60), House 60 Magnitude, House 60 Phase, 64 (House 61), House 61 Magnitude, House 61 Phase, 65 (House 62), House 62 Magnitude, House 62 Phase, 66 (House 63), House 63 Magnitude, House 63 Phase, 7 (House 64), House 64 Magnitude, House 64 Phase, 8 (House 65), House 65 Magnitude, House 65 Phase, 9 (House 66), House 66 Magnitude, House 66 Phase, 
2019 Aug 19 (Mon) 0:00, 208.692, 295.135, -13.1507, 203.321, 287.539, -135.531, 204.268, 288.879, -134.932, 203.555, 287.87, 103.934, 212.096, 299.949, -13.1157, 207.6, 293.591, -134.897, 203.555, 287.87, 103.934, 200.183, 283.101, 103.4, 212.078, 299.923, -13.4589, 206.633, 292.224, -134.682, 196.97, 278.558, 103.365, 212.078, 299.923, -13.4589, 194.36, 274.866, 102.935, 211.874, 299.635, -13.7467, 205.776, 291.012, -134.555, 208.064, 294.246, -135.162, 202.087, 285.795, 104.27, 207.612, 293.608, -13.1115, 208.064, 294.246, -135.162, 202.087, 285.795, 104.27, 205.454, 290.556, 104.243, 209.838, 296.755, -13.0674, 206.633, 292.224, -134.682, 203.321, 287.539, -135.531, 205.454, 290.556, 104.243, 206.228, 291.65, -135.554, 205.011, 289.929, 104.177, 206.064, 291.419, -13.1734, 202.918, 286.97, -135.589, 201.721, 285.276, 104.143, 195.88, 277.016, 102.698, 211.846, 299.595, -13.9168, 205.305, 290.345, -134.452, 207.612, 293.608, -13.1115, 192.736, 272.57, 102.663, 211.846, 299.595, -13.9168, 202.01, 285.686, -134.487, 191.449, 270.75, 102.546, 211.672, 299.35, -14.1329, 205.551, 290.693, -134.318, 191.449, 270.75, 102.546, 208.275, 294.546, -14.1679, 205.551, 290.693, -134.318, 203.435, 287.701, 104.359, 206.47, 291.993, -13.1023, 212.889, 301.07, -12.7514, 205.596, 290.756, -134.98, 206.753, 292.393, 104.394, 212.889, 301.07, -12.7514, 205.596, 290.756, -134.98, 206.533, 292.082, 104.279, 212.35, 300.308, -12.7302, 204.474, 289.17, -135.16, 206.533, 292.082, 104.279, 212.35, 300.308, -12.7302, 209.425, 296.172, -13.1384, 204.474, 289.17, -135.16, 202.45, 286.308, 104.226, 208.529, 294.905, -12.9381, 208.033, 294.203, -135.07, 205.752, 290.978, 104.261, 211.93, 299.715, -12.9031, 208.033, 294.203, -135.07, 194.36, 274.866, 102.935, 208.474, 294.827, -13.7816, 202.474, 286.342, -134.59, 
2019 Aug 19 (Mon) 0:30, 208.901, 295.43, -12.8599, 203.546, 287.857, -135.248, 204.492, 289.195, -134.649, 203.798, 288.214, 104.206, 212.309, 300.25, -12.8249, 207.828, 293.913, -134.614, 203.798, 288.214, 104.206, 200.441, 283.466, 103.678, 212.313, 300.255, -13.1608, 206.876, 292.567, -134.391, 197.223, 278.916, 103.643, 212.313, 300.255, -13.1608, 194.623, 275.238, 103.218, 212.125, 299.991, -13.4432, 206.031, 291.371, -134.259, 208.285, 294.559, -134.883, 202.32, 286.124, 104.54, 207.807, 293.884, -12.8245, 208.285, 294.559, -134.883, 202.32, 286.124, 104.54, 205.702, 290.906, 104.517, 210.045, 297.048, -12.7766, 206.876, 292.567, -134.391, 203.546, 287.857, -135.248, 205.702, 290.906, 104.517, 206.461, 291.98, -135.27, 205.263, 290.285, 104.453, 206.271, 291.712, -12.8808, 203.147, 287.293, -135.305, 201.968, 285.626, 104.418, 196.154, 277.404, 102.984, 212.108, 299.966, -13.6096, 205.567, 290.716, -134.152, 207.807, 293.884, -12.8245, 193.006, 272.951, 102.949, 212.108, 299.966, -13.6096, 202.267, 286.049, -134.187, 191.721, 271.134, 102.833, 211.94, 299.728, -13.824, 205.817, 291.07, -134.016, 191.721, 271.134, 102.833, 208.538, 294.917, -13.859, 205.817, 291.07, -134.016, 203.655, 288.012, 104.625, 206.673, 292.28, -12.8116, 213.075, 301.334, -12.4696, 205.801, 291.046, -134.706, 206.978, 292.711, 104.66, 213.075, 301.334, -12.4696, 205.801, 291.046, -134.706, 206.767, 292.413, 104.547, 212.545, 300.584, -12.4446, 204.687, 289.47, -134.882, 206.767, 292.413, 104.547, 212.545, 300.584, -12.4446, 209.636, 296.47, -12.8459, 204.687, 289.47, -134.882, 202.684, 286.639, 104.496, 208.726, 295.183, -12.6508, 208.254, 294.516, -134.79, 205.99, 291.314, 104.531, 212.131, 299.998, -12.6158, 208.254, 294.516, -134.79, 194.623, 275.238, 103.218, 208.721, 295.175, -13.4782, 202.724, 286.695, -134.294, 
2019 Aug 19 (Mon) 1:00, 211.879, 299.643, -12.8704, 206.377, 291.861, -135.279, 207.342, 293.225, -134.678, 206.545, 292.099, 104.156, 215.337, 304.532, -12.8358, 210.725, 298.01, -134.643, 206.545, 292.099, 104.156, 203.205, 287.376, 103.617, 215.424, 304.656, -13.1842, 209.841, 296.76, -134.429, 199.943, 282.762, 103.582, 215.424, 304.656, -13.1842, 197.354, 279.1, 103.148, 215.297, 304.476, -13.4759, 209.044, 295.633, -134.303, 211.146, 298.605, -134.909, 205.022, 289.945, 104.496, 210.727, 298.013, -12.8274, 211.146, 298.605, -134.909, 205.022, 289.945, 104.496, 208.489, 294.848, 104.467, 213.038, 301.282, -12.7849, 209.841, 296.76, -134.429, 206.377, 291.861, -135.279, 208.489, 294.848, 104.467, 209.352, 296.068, -135.304, 208.063, 294.245, 104.4, 209.231, 295.897, -12.8913, 205.991, 291.315, -135.339, 204.723, 289.521, 104.365, 198.939, 281.342, 102.908, 215.322, 304.511, -13.6486, 208.614, 295.025, -134.201, 210.727, 298.013, -12.8274, 195.745, 276.825, 102.874, 215.322, 304.511, -13.6486, 205.265, 290.288, -134.235, 194.457, 275.004, 102.755, 215.172, 304.299, -13.8661, 208.889, 295.414, -134.067, 194.457, 275.004, 102.755, 211.717, 299.413, -13.9007, 208.889, 295.414, -134.067, 206.319, 291.778, 104.589, 209.618, 296.445, -12.8195, 216.01, 305.484, -12.4652, 208.571, 294.963, -134.724, 209.685, 296.539, 104.623, 216.01, 305.484, -12.4652, 208.571, 294.963, -134.724, 209.511, 296.293, 104.505, 215.515, 304.784, -12.4454, 207.478, 293.418, -134.905, 209.511, 296.293, 104.505, 215.515, 304.784, -12.4454, 212.645, 300.725, -12.8567, 207.478, 293.418, -134.905, 205.391, 290.467, 104.452, 211.661, 299.334, -12.6539, 211.116, 298.562, -134.816, 208.742, 295.206, 104.486, 215.115, 304.219, -12.6192, 211.116, 298.562, -134.816, 197.354, 279.1, 103.148, 211.841, 299.588, -13.5106, 205.688, 290.886, -134.337, 
2019 Aug 19 (Mon) 1:30, 212.314, 300.257, -12.6738, 206.808, 292.47, -135.09, 207.774, 293.836, -134.488, 206.981, 292.715, 104.336, 215.779, 305.157, -12.6392, 211.164, 298.631, -134.454, 206.981, 292.715, 104.336, 203.653, 288.009, 103.799, 215.89, 305.314, -12.9839, 210.297, 297.405, -134.235, 200.383, 283.384, 103.765, 215.89, 305.314, -12.9839, 197.801, 279.733, 103.333, 215.78, 305.159, -13.2729, 209.513, 296.296, -134.106, 211.578, 299.216, -134.722, 205.446, 290.545, 104.675, 211.147, 298.606, -12.6325, 211.578, 299.216, -134.722, 205.446, 290.545, 104.675, 208.931, 295.473, 104.648, 213.473, 301.896, -12.588, 210.297, 297.405, -134.235, 206.808, 292.47, -135.09, 208.931, 295.473, 104.648, 209.794, 296.694, -135.114, 208.51, 294.877, 104.582, 209.662, 296.507, -12.6935, 206.426, 291.93, -135.149, 205.162, 290.142, 104.547, 199.4, 281.994, 103.095, 215.816, 305.21, -13.4437, 209.092, 295.7, -134.002, 211.147, 298.606, -12.6325, 196.198, 277.466, 103.06, 215.816, 305.21, -13.4437, 205.734, 290.952, -134.036, 194.912, 275.647, 102.943, 215.671, 305.005, -13.6604, 209.373, 296.098, -133.867, 194.912, 275.647, 102.943, 212.208, 300.108, -13.695, 209.373, 296.098, -133.867, 206.73, 292.361, 104.765, 210.045, 297.049, -12.6227, 216.424, 306.07, -12.2731, 208.982, 295.545, -134.539, 210.104, 297.132, 104.8, 216.424, 306.07, -12.2731, 208.982, 295.545, -134.539, 209.94, 296.9, 104.683, 215.939, 305.385, -12.2513, 207.897, 294.01, -134.719, 209.94, 296.9, 104.683, 215.939, 305.385, -12.2513, 213.084, 301.346, -12.6589, 207.897, 294.01, -134.719, 205.816, 291.068, 104.631, 212.083, 299.931, -12.4589, 211.547, 299.173, -134.629, 209.175, 295.818, 104.665, 215.544, 304.825, -12.4242, 211.547, 299.173, -134.629, 197.801, 279.733, 103.333, 212.315, 300.259, -13.3076, 206.149, 291.538, -134.141, 
2019 Aug 19 (Mon) 2:00, 210.507, 297.701, -12.4321, 205.112, 290.072, -134.842, 206.064, 291.419, -134.241, 205.357, 290.419, 104.589, 213.942, 302.559, -12.3972, 209.427, 296.174, -134.206, 205.357, 290.419, 104.589, 202.029, 285.712, 104.065, 214.015, 302.664, -12.7279, 208.528, 294.903, -133.976, 198.785, 281.124, 104.03, 214.015, 302.664, -12.7279, 196.204, 277.474, 103.607, 213.879, 302.47, -13.0064, 207.72, 293.761, -133.838, 209.859, 296.786, -134.479, 203.843, 288.278, 104.922, 209.367, 296.09, -12.3988, 209.859, 296.786, -134.479, 203.843, 288.278, 104.922, 207.283, 293.143, 104.902, 211.654, 299.324, -12.3478, 208.528, 294.903, -133.976, 205.112, 290.072, -134.842, 207.283, 293.143, 104.902, 208.065, 294.249, -134.863, 206.857, 292.54, 104.839, 207.867, 293.968, -12.4504, 204.725, 289.524, -134.898, 203.535, 287.843, 104.805, 197.776, 279.698, 103.375, 213.896, 302.495, -13.1701, 207.283, 293.142, -133.728, 209.367, 296.09, -12.3988, 194.6, 275.207, 103.34, 213.896, 302.495, -13.1701, 203.955, 288.435, -133.763, 193.318, 273.393, 103.225, 213.744, 302.28, -13.3833, 207.551, 293.521, -133.59, 193.318, 273.393, 103.225, 210.312, 297.426, -13.4182, 207.551, 293.521, -133.59, 205.142, 290.115, 105.003, 208.256, 294.518, -12.3827, 214.628, 303.53, -12.0485, 207.31, 293.181, -134.306, 208.49, 294.849, 105.038, 214.628, 303.53, -12.0485, 207.31, 293.181, -134.306, 208.31, 294.595, 104.928, 214.127, 302.822, -12.0202, 206.217, 291.635, -134.48, 208.31, 294.595, 104.928, 214.127, 302.822, -12.0202, 211.259, 298.765, -12.4155, 206.217, 291.635, -134.48, 204.211, 288.797, 104.879, 210.294, 297.401, -12.2249, 209.828, 296.742, -134.386, 207.543, 293.51, 104.914, 213.726, 302.254, -12.1899, 209.828, 296.742, -134.386, 196.204, 277.474, 103.607, 210.445, 297.614, -13.0413, 204.385, 289.044, -133.873, 
2019 Aug 19 (Mon) 2:30, 212.762, 300.891, -12.512, 207.249, 293.094, -134.936, 208.216, 294.462, -134.333, 207.424, 293.342, 104.483, 216.235, 305.802, -12.4774, 211.615, 299.268, -134.298, 207.424, 293.342, 104.483, 204.106, 288.649, 103.948, 216.368, 305.99, -12.8195, 210.764, 298.065, -134.076, 200.828, 284.014, 103.914, 216.368, 305.99, -12.8195, 198.254, 280.373, 103.484, 216.274, 305.857, -13.1065, 209.991, 296.972, -133.945, 212.02, 299.842, -134.568, 205.878, 291.155, 104.821, 211.581, 299.22, -12.4719, 212.02, 299.842, -134.568, 205.878, 291.155, 104.821, 209.381, 296.109, 104.796, 213.922, 302.531, -12.4259, 210.764, 298.065, -134.076, 207.249, 293.094, -134.936, 209.381, 296.109, 104.796, 210.247, 297.334, -134.959, 208.963, 295.519, 104.73, 210.107, 297.137, -12.5307, 206.871, 292.559, -134.993, 205.607, 290.773, 104.695, 199.865, 282.651, 103.246, 216.321, 305.925, -13.276, 209.578, 296.388, -133.839, 211.581, 299.22, -12.4719, 196.655, 278.112, 103.212, 216.321, 305.925, -13.276, 206.213, 291.629, -133.874, 195.37, 276.294, 103.094, 216.181, 305.727, -13.492, 209.865, 296.793, -133.703, 195.37, 276.294, 103.094, 212.71, 300.817, -13.5267, 209.865, 296.793, -133.703, 207.15, 292.955, 104.91, 210.487, 297.673, -12.4606, 216.855, 306.679, -12.1146, 209.405, 296.143, -134.388, 210.531, 297.736, 104.944, 216.855, 306.679, -12.1146, 209.405, 296.143, -134.388, 210.377, 297.518, 104.829, 216.379, 306.007, -12.0912, 208.327, 294.618, -134.566, 210.377, 297.518, 104.829, 216.379, 306.007, -12.0912, 213.537, 301.986, -12.496, 208.327, 294.618, -134.566, 206.249, 291.68, 104.777, 212.519, 300.548, -12.2981, 211.989, 299.798, -134.475, 209.615, 296.441, 104.812, 215.988, 305.453, -12.2635, 211.989, 299.798, -134.475, 198.254, 280.373, 103.484, 212.801, 300.946, -13.1412, 206.619, 292.203, -133.98, 
2019 Aug 19 (Mon) 3:00, 213.322, 301.682, -12.5706, 207.775, 293.838, -134.997, 208.746, 295.212, -134.394, 207.929, 294.056, 104.42, 216.803, 306.606, -12.5361, 212.153, 300.03, -134.359, 207.929, 294.056, 104.42, 204.612, 289.365, 103.882, 216.949, 306.812, -12.882, 211.313, 298.842, -134.14, 201.326, 284.718, 103.847, 216.949, 306.812, -12.882, 198.751, 281.077, 103.415, 216.864, 306.692, -13.172, 210.548, 297.76, -134.011, 212.553, 300.595, -134.628, 206.376, 291.86, 104.76, 212.131, 299.998, -12.5283, 212.553, 300.595, -134.628, 206.376, 291.86, 104.76, 209.893, 296.833, 104.732, 214.485, 303.327, -12.4841, 211.313, 298.842, -134.14, 207.775, 293.838, -134.997, 209.893, 296.833, 104.732, 210.783, 298.093, -135.021, 209.477, 296.245, 104.666, 210.663, 297.923, -12.5896, 207.398, 293.306, -135.055, 206.113, 291.488, 104.631, 200.371, 283.368, 103.176, 216.917, 306.768, -13.3434, 210.14, 297.183, -133.907, 212.131, 299.998, -12.5283, 197.153, 278.817, 103.141, 216.917, 306.768, -13.3434, 206.766, 292.411, -133.942, 195.867, 276.997, 103.023, 216.78, 306.574, -13.5604, 210.431, 297.594, -133.772, 195.867, 276.997, 103.023, 213.299, 301.65, -13.595, 210.431, 297.594, -133.772, 207.643, 293.652, 104.851, 211.04, 298.456, -12.5187, 217.41, 307.464, -12.1685, 209.923, 296.875, -134.445, 211.032, 298.444, 104.885, 217.41, 307.464, -12.1685, 209.923, 296.875, -134.445, 210.883, 298.234, 104.768, 216.939, 306.799, -12.1469, 208.847, 295.354, -134.624, 210.883, 298.234, 104.768, 216.939, 306.799, -12.1469, 214.101, 302.785, -12.5551, 208.847, 295.354, -134.624, 206.748, 292.386, 104.716, 213.072, 301.33, -12.3546, 212.522, 300.552, -134.535, 210.122, 297.158, 104.75, 216.55, 306.248, -12.32, 212.522, 300.552, -134.535, 198.751, 281.077, 103.415, 213.381, 301.766, -13.2065, 207.167, 292.978, -134.046, 
2019 Aug 19 (Mon) 3:30, 212.616, 300.685, -12.5843, 207.103, 292.888, -135.005, 208.071, 294.256, -134.403, 207.276, 293.133, 104.416, 216.086, 305.592, -12.5496, 211.466, 299.059, -134.368, 207.276, 293.133, 104.416, 203.954, 288.435, 103.881, 216.211, 305.769, -12.8931, 210.61, 297.847, -134.148, 200.679, 283.803, 103.846, 216.211, 305.769, -12.8931, 198.102, 280.158, 103.416, 216.111, 305.627, -13.1812, 209.833, 296.748, -134.018, 211.875, 299.636, -134.637, 205.734, 290.952, 104.755, 211.44, 299.021, -12.5435, 211.875, 299.636, -134.637, 205.734, 290.952, 104.755, 209.231, 295.897, 104.729, 213.776, 302.325, -12.4983, 210.61, 297.847, -134.148, 207.103, 292.888, -135.005, 209.231, 295.897, 104.729, 210.098, 297.123, -135.029, 208.812, 295.304, 104.663, 209.963, 296.932, -12.6034, 206.724, 292.352, -135.063, 205.459, 290.562, 104.628, 199.708, 282.43, 103.177, 216.154, 305.689, -13.3514, 209.417, 296.16, -133.912, 211.44, 299.021, -12.5435, 196.501, 277.894, 103.143, 216.154, 305.689, -13.3514, 206.054, 291.404, -133.947, 195.215, 276.076, 103.025, 216.013, 305.488, -13.5678, 209.701, 296.562, -133.777, 195.215, 276.076, 103.025, 212.544, 300.583, -13.6024, 209.701, 296.562, -133.777, 207.011, 292.758, 104.845, 210.343, 297.47, -12.5329, 216.716, 306.483, -12.1851, 209.267, 295.948, -134.456, 210.39, 297.536, 104.879, 216.716, 306.483, -12.1851, 209.267, 295.948, -134.456, 210.232, 297.313, 104.763, 216.237, 305.805, -12.1625, 208.186, 294.419, -134.634, 210.232, 297.313, 104.763, 216.237, 305.805, -12.1625, 213.389, 301.778, -12.5687, 208.186, 294.419, -134.634, 206.105, 291.477, 104.711, 212.378, 300.348, -12.3697, 211.844, 299.593, -134.544, 209.469, 296.234, 104.746, 215.844, 305.25, -12.3351, 211.844, 299.593, -134.544, 198.102, 280.158, 103.416, 212.641, 300.72, -13.2159, 206.463, 291.983, -134.052, 
2019 Aug 19 (Mon) 4:00, 211.943, 299.732, -12.4697, 206.474, 291.998, -134.889, 207.436, 293.358, -134.287, 206.676, 292.284, 104.534, 215.402, 304.624, -12.435, 210.821, 298.146, -134.252, 206.676, 292.284, 104.534, 203.355, 287.587, 104.003, 215.514, 304.783, -12.7726, 209.953, 296.919, -134.027, 200.089, 282.969, 103.969, 215.514, 304.783, -12.7726, 197.513, 279.325, 103.542, 215.405, 304.629, -13.0563, 209.168, 295.809, -133.893, 211.236, 298.733, -134.523, 205.141, 290.113, 104.87, 210.776, 298.082, -12.4323, 211.236, 298.733, -134.523, 205.141, 290.113, 104.87, 208.621, 295.035, 104.847, 213.098, 301.366, -12.3843, 209.953, 296.919, -134.027, 206.474, 291.998, -134.889, 208.621, 295.035, 104.847, 209.456, 296.215, -134.911, 208.201, 294.44, 104.782, 209.293, 295.985, -12.4882, 206.092, 291.459, -134.946, 204.858, 289.712, 104.748, 199.11, 281.584, 103.306, 215.442, 304.681, -13.2235, 208.747, 295.212, -133.785, 210.776, 298.082, -12.4323, 195.913, 277.062, 103.271, 215.442, 304.681, -13.2235, 205.395, 290.472, -133.82, 194.628, 275.246, 103.155, 215.298, 304.477, -13.4384, 209.026, 295.608, -133.648, 194.628, 275.246, 103.155, 211.841, 299.588, -13.4732, 209.026, 295.608, -133.648, 206.423, 291.926, 104.956, 209.676, 296.527, -12.419, 216.045, 305.534, -12.0777, 208.644, 295.068, -134.345, 209.792, 296.69, 104.991, 216.045, 305.534, -12.0777, 208.644, 295.068, -134.345, 209.629, 296.46, 104.878, 215.56, 304.849, -12.0524, 207.561, 293.536, -134.522, 209.629, 296.46, 104.878, 215.56, 304.849, -12.0524, 212.709, 300.816, -12.4534, 207.561, 293.536, -134.522, 205.511, 290.636, 104.826, 211.71, 299.404, -12.2584, 211.205, 298.689, -134.43, 208.865, 295.379, 104.861, 215.166, 304.29, -12.2237, 211.205, 298.689, -134.43, 197.513, 279.325, 103.542, 211.946, 299.737, -13.091, 205.81, 291.059, -133.927, 
2019 Aug 19 (Mon) 4:30, 210.91, 298.272, -12.5735, 205.483, 290.596, -134.983, 206.439, 291.949, -134.382, 205.704, 290.91, 104.45, 214.352, 303.139, -12.5387, 209.807, 296.713, -134.347, 205.704, 290.91, 104.45, 202.372, 286.197, 103.921, 214.429, 303.248, -12.8749, 208.912, 295.447, -134.121, 199.123, 281.602, 103.886, 214.429, 303.248, -12.8749, 196.539, 277.948, 103.46, 214.295, 303.058, -13.1576, 208.108, 294.309, -133.987, 210.237, 297.319, -134.617, 204.188, 288.766, 104.785, 209.767, 296.656, -12.5371, 210.237, 297.319, -134.617, 204.188, 288.766, 104.785, 207.636, 293.641, 104.762, 212.061, 299.9, -12.4888, 208.912, 295.447, -134.121, 205.483, 290.596, -134.983, 207.636, 293.641, 104.762, 208.442, 294.782, -135.005, 207.209, 293.038, 104.698, 208.268, 294.535, -12.5926, 205.096, 290.049, -135.04, 203.882, 288.333, 104.663, 198.115, 280.176, 103.225, 214.314, 303.086, -13.3241, 207.672, 293.693, -133.88, 209.767, 296.656, -12.5371, 194.934, 275.678, 103.19, 214.314, 303.086, -13.3241, 204.338, 288.977, -133.915, 193.649, 273.862, 103.075, 214.162, 302.871, -13.5387, 207.942, 294.075, -133.743, 193.649, 273.862, 103.075, 210.723, 298.008, -13.5735, 207.942, 294.075, -133.743, 205.487, 290.602, 104.87, 208.656, 295.085, -12.5236, 215.035, 304.105, -12.1831, 207.68, 293.704, -134.441, 208.84, 295.344, 104.905, 215.035, 304.105, -12.1831, 207.68, 293.704, -134.441, 208.662, 295.092, 104.792, 214.536, 303.399, -12.1574, 206.587, 292.158, -134.617, 208.662, 295.092, 104.792, 214.536, 303.399, -12.1574, 211.666, 299.341, -12.5578, 206.587, 292.158, -134.617, 204.556, 289.286, 104.741, 210.696, 297.97, -12.3633, 210.206, 297.276, -134.525, 207.894, 294.006, 104.776, 214.135, 302.832, -12.3285, 210.206, 297.276, -134.525, 196.539, 277.948, 103.46, 210.854, 298.192, -13.1924, 204.766, 289.583, -134.022, 
