Time, 34 (28), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 220.461, 0, 0, 90.2147, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 220.517, 0, 0, 95.9431, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.278, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.636, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.342, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 232.037, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.736, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 231.922, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.047, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 229.919, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 230.584, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 230.717, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 230.188, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 225.017, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 225.714, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 224.423, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 225.192, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 224.255, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.543, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.023, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 229.038, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 230.419, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 228.968, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 228.768, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 228.473, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 227.047, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 229.785, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 229.45, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 226.729, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 225.694, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 229.392, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 227.07, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 227.942, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 224.755, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 223.997, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 219.957, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 217.504, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 209.263, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 208.094, 0, 0, 95.9848, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 218.786, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 221.071, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 214.366, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 217.902, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 218.527, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 220.49, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 221.521, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 223.25, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 223.86, 0, 0, 100, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 227.754, 0, 0, 100, 0, 0, 0, 
