Time, 40_EV, 44_EV, 57_EV, 
2019 Aug 19 (Mon) 0:00, 92.8429, 100, 91.1183, 
2019 Aug 19 (Mon) 0:30, 98.5337, 100, 96.8344, 
2019 Aug 19 (Mon) 1:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 1:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 2:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 2:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 3:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 3:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 4:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 4:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 5:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 5:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 6:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 6:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 7:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 7:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 8:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 8:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 9:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 9:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 10:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 10:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 11:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 11:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 12:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 12:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 13:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 13:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 14:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 14:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 15:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 15:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 16:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 16:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 17:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 17:30, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 18:00, 98.5337, 100, 100, 
2019 Aug 19 (Mon) 18:30, 88.7901, 90.2564, 90.2564, 
2019 Aug 19 (Mon) 19:00, 94.5376, 95.9848, 95.9848, 
2019 Aug 19 (Mon) 19:30, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 100, 
