Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.800761, 0.766691, 0.856539, 0.913141, 0.970424, 0.994053, 0.994125, 0.746323, 0.762239, 0.762293, 0.766751, 0.766805, 0.766856, 
2019 Aug 19 (Mon) 0:30, 0.767851, 0.767926, 0.767895, 0.76793, 0.76797, 0.768011, 0.768049, 0.78156, 0.816695, 0.816734, 0.767967, 0.768008, 0.768046, 
2019 Aug 19 (Mon) 1:00, 3.21637e-05, 2.83972e-05, 3.79685e-05, 4.31479e-05, 4.72476e-05, 5.26303e-05, 5.07916e-05, 2.81818e-05, 2.97994e-05, 3.11674e-05, 3.27705e-05, 3.44009e-05, 3.52635e-05, 
2019 Aug 19 (Mon) 1:30, 2.99787e-05, 3.05493e-05, 3.92162e-05, 4.39138e-05, 4.93579e-05, 4.9988e-05, 5.15903e-05, 2.97742e-05, 2.97792e-05, 3.11462e-05, 3.19541e-05, 3.61448e-05, 3.75384e-05, 
2019 Aug 19 (Mon) 2:00, 5.00776e-05, 4.85073e-05, 5.99994e-05, 7.03909e-05, 7.63722e-05, 7.86236e-05, 8.17992e-05, 4.69788e-05, 4.89581e-05, 5.10268e-05, 5.42068e-05, 5.61409e-05, 5.87435e-05, 
2019 Aug 19 (Mon) 2:30, 2.99145e-05, 2.95231e-05, 3.63607e-05, 4.41673e-05, 4.63758e-05, 4.76858e-05, 4.87847e-05, 2.65226e-05, 3.01591e-05, 3.1233e-05, 3.19287e-05, 3.27529e-05, 3.38563e-05, 
2019 Aug 19 (Mon) 3:00, 2.18812e-05, 2.04912e-05, 2.9507e-05, 3.40876e-05, 3.5117e-05, 3.86093e-05, 3.9371e-05, 1.99821e-05, 2.32866e-05, 2.35446e-05, 2.40765e-05, 2.45942e-05, 2.4863e-05, 
2019 Aug 19 (Mon) 3:30, 3.21247e-05, 2.877e-05, 3.77594e-05, 4.39319e-05, 4.60876e-05, 4.97772e-05, 4.90986e-05, 2.59475e-05, 2.9751e-05, 3.04927e-05, 3.35288e-05, 3.38268e-05, 3.61281e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.66437e-05, 4.66542e-05, 5.43186e-05, 5.87017e-05, 6.19973e-05, 6.3104e-05, 3.64802e-05, 3.68931e-05, 4.03585e-05, 4.09363e-05, 4.4233e-05, 4.48061e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.27179e-05, 5.56571e-05, 6.38589e-05, 6.93475e-05, 7.2015e-05, 7.24943e-05, 4.1307e-05, 4.3449e-05, 4.62873e-05, 4.81924e-05, 5.00151e-05, 5.31797e-05, 
2019 Aug 19 (Mon) 5:00, 3.741e-05, 3.72263e-05, 4.77622e-05, 5.32668e-05, 5.81818e-05, 6.21527e-05, 6.29474e-05, 3.60212e-05, 3.76851e-05, 3.84966e-05, 4.17883e-05, 4.34597e-05, 4.34698e-05, 
2019 Aug 19 (Mon) 5:30, 3.1483e-05, 3.05481e-05, 3.77085e-05, 4.32803e-05, 4.67923e-05, 4.89782e-05, 5.03375e-05, 2.91161e-05, 3.06907e-05, 3.15794e-05, 3.28961e-05, 3.47814e-05, 3.58788e-05, 
2019 Aug 19 (Mon) 6:00, 3.18362e-05, 2.9618e-05, 3.89231e-05, 4.65156e-05, 4.82274e-05, 5.11898e-05, 5.34391e-05, 3.09064e-05, 3.03828e-05, 3.2106e-05, 3.34227e-05, 3.62103e-05, 3.79112e-05, 
2019 Aug 19 (Mon) 6:30, 5.81918e-05, 5.61981e-05, 6.88606e-05, 7.97943e-05, 8.55772e-05, 8.85581e-05, 8.86173e-05, 5.50744e-05, 5.82861e-05, 5.93728e-05, 6.30521e-05, 6.62983e-05, 6.6891e-05, 
2019 Aug 19 (Mon) 7:00, 5.46282e-05, 5.35928e-05, 6.82537e-05, 7.73342e-05, 8.32008e-05, 8.59459e-05, 8.98882e-05, 5.24731e-05, 5.48913e-05, 5.57163e-05, 6.04414e-05, 6.37024e-05, 6.43121e-05, 
2019 Aug 19 (Mon) 7:30, 5.70276e-05, 5.53233e-05, 6.9877e-05, 7.77869e-05, 8.36712e-05, 8.8181e-05, 8.9832e-05, 5.48163e-05, 5.6638e-05, 5.81512e-05, 6.22133e-05, 6.69578e-05, 6.91792e-05, 
2019 Aug 19 (Mon) 8:00, 5.67149e-05, 5.30296e-05, 6.74077e-05, 7.6896e-05, 8.53141e-05, 8.82906e-05, 8.9994e-05, 5.34791e-05, 5.72191e-05, 5.86264e-05, 6.2017e-05, 6.55175e-05, 6.77299e-05, 
2019 Aug 19 (Mon) 8:30, 5.92765e-05, 5.62859e-05, 7.06882e-05, 7.81739e-05, 8.48217e-05, 8.7953e-05, 8.87492e-05, 5.30694e-05, 5.81084e-05, 5.86896e-05, 6.36676e-05, 6.92697e-05, 7.00857e-05, 
2019 Aug 19 (Mon) 9:00, 5.73451e-05, 5.53863e-05, 6.77328e-05, 7.89547e-05, 8.38954e-05, 8.70024e-05, 8.92559e-05, 5.36109e-05, 5.83099e-05, 6.05625e-05, 6.27338e-05, 6.66208e-05, 6.94031e-05, 
2019 Aug 19 (Mon) 9:30, 5.08613e-05, 4.86483e-05, 6.44666e-05, 7.19137e-05, 7.99559e-05, 8.41723e-05, 8.40554e-05, 4.78338e-05, 5.20231e-05, 5.4829e-05, 5.5861e-05, 5.99914e-05, 6.00011e-05, 
2019 Aug 19 (Mon) 10:00, 4.09163e-05, 3.80843e-05, 5.12099e-05, 5.82284e-05, 6.22617e-05, 6.72574e-05, 6.84487e-05, 3.66963e-05, 4.05738e-05, 4.25497e-05, 4.51203e-05, 4.65924e-05, 4.8274e-05, 
