Time, 40 (35), , , , , , , 44 (39), , , , , , , 57 (53), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 218.926, 0, 0, 92.8429, 0, 0, 0, 227.962, 0, 0, 100, 0, 0, 0, 222.261, 0, 0, 91.1183, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 226.868, 0, 0, 98.5337, 0, 0, 0, 226.809, 0, 0, 100, 0, 0, 0, 222.27, 0, 0, 96.8344, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 230.548, 0, 0, 98.5337, 0, 0, 0, 230.456, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 230.95, 0, 0, 98.5337, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 228.583, 0, 0, 98.5337, 0, 0, 0, 228.489, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 231.391, 0, 0, 98.5337, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.114, 0, 0, 98.5337, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 231.261, 0, 0, 98.5337, 0, 0, 0, 231.178, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 230.362, 0, 0, 98.5337, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 229.168, 0, 0, 98.5337, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 229.837, 0, 0, 98.5337, 0, 0, 0, 229.744, 0, 0, 100, 0, 0, 0, 230.96, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 229.916, 0, 0, 98.5337, 0, 0, 0, 229.815, 0, 0, 100, 0, 0, 0, 231.12, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 229.33, 0, 0, 98.5337, 0, 0, 0, 229.223, 0, 0, 100, 0, 0, 0, 230.619, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 223.952, 0, 0, 98.5337, 0, 0, 0, 223.819, 0, 0, 100, 0, 0, 0, 225.552, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 224.636, 0, 0, 98.5337, 0, 0, 0, 224.501, 0, 0, 100, 0, 0, 0, 226.257, 0, 0, 100, 0, 0, 0, 
