Time, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 7, 8, 9, 
2019 Aug 19 (Mon) 0:00, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 918.96, 
2019 Aug 19 (Mon) 0:30, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 842.23, 
2019 Aug 19 (Mon) 1:00, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 766.68, 
2019 Aug 19 (Mon) 1:30, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 708.11, 
2019 Aug 19 (Mon) 2:00, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 695.81, 
2019 Aug 19 (Mon) 2:30, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 
2019 Aug 19 (Mon) 3:00, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 657.74, 
2019 Aug 19 (Mon) 3:30, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 678.83, 
2019 Aug 19 (Mon) 4:00, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 668.28, 
