Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 185.096, 261.766, -17.8783, 156.062, 220.689, -138.813, 156.58, 221.424, 101.236, 28.8467, 40.7953, -12.037, 
2019 Aug 19 (Mon) 0:30, 121.947, 172.459, -22.2335, 93.6453, 132.409, -146.826, 93.6376, 132.401, 93.2028, 29.5407, 41.7769, -7.58219, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 7.26225e-06, 1.02704e-05, 82.9601, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 7.28552e-06, 1.03033e-05, 83.505, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.174, 92.1378, 7.11822e-06, 1.00667e-05, 83.8351, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 7.3122e-06, 1.0341e-05, 83.9665, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 7.36354e-06, 1.04136e-05, 83.9034, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 7.3049e-06, 1.03307e-05, 83.7688, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 7.24051e-06, 1.02396e-05, 83.9521, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 7.1612e-06, 1.01275e-05, 83.5476, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 7.21115e-06, 1.01981e-05, 83.1507, 
