Time, 12 (4), , , , , , , 19 (11), , , , , , , 27 (20), , , , , , , 39 (33), , , , , , , 40 (35), , , , , , , 50 (46), , , , , , , 54 (50), , , , , , , 59 (55), , , , , , , 6 (56), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 220.48, 0, 0, 95.7714, 0, 0, 0, 223.947, 0, 0, 100, 0, 0, 0, 220.392, 0, 0, 95.5074, 0, 0, 0, 217.241, 0, 0, 94.3579, 0, 0, 0, 224.045, 0, 0, 98.7874, 0, 0, 0, 219.59, 0, 0, 92.4995, 0, 0, 0, 221.406, 0, 0, 94.5297, 0, 0, 0, 218.704, 0, 0, 90.7177, 0, 0, 0, 217.299, 0, 0, 97.5219, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 227.909, 0, 0, 100, 0, 0, 0, 227.469, 0, 0, 100, 0, 0, 0, 228.128, 0, 0, 100, 0, 0, 0, 226.869, 0, 0, 100, 0, 0, 0, 226.919, 0, 0, 98.7874, 0, 0, 0, 226.799, 0, 0, 98.1965, 0, 0, 0, 228.452, 0, 0, 100, 0, 0, 0, 222.27, 0, 0, 96.4393, 0, 0, 0, 226.132, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.371, 0, 0, 100, 0, 0, 0, 231.005, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 230.548, 0, 0, 100, 0, 0, 0, 230.548, 0, 0, 98.7874, 0, 0, 0, 231.829, 0, 0, 98.1965, 0, 0, 0, 231.829, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 231.278, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.723, 0, 0, 100, 0, 0, 0, 231.38, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 230.95, 0, 0, 100, 0, 0, 0, 230.95, 0, 0, 98.7874, 0, 0, 0, 232.154, 0, 0, 98.1965, 0, 0, 0, 232.154, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 231.636, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.438, 0, 0, 100, 0, 0, 0, 229.058, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 228.584, 0, 0, 100, 0, 0, 0, 228.583, 0, 0, 98.7874, 0, 0, 0, 229.914, 0, 0, 98.1965, 0, 0, 0, 229.914, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.342, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 0, 0, 100, 0, 0, 0, 231.795, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 231.392, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 98.7874, 0, 0, 0, 232.522, 0, 0, 98.1965, 0, 0, 0, 232.522, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.814, 0, 0, 100, 0, 0, 0, 232.503, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.115, 0, 0, 100, 0, 0, 0, 232.114, 0, 0, 98.7874, 0, 0, 0, 233.203, 0, 0, 98.1965, 0, 0, 0, 233.203, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 232.736, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 0, 0, 100, 0, 0, 0, 231.674, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 231.261, 0, 0, 100, 0, 0, 0, 231.261, 0, 0, 98.7874, 0, 0, 0, 232.419, 0, 0, 98.1965, 0, 0, 0, 232.419, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 231.922, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.134, 0, 0, 100, 0, 0, 0, 230.79, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 230.362, 0, 0, 100, 0, 0, 0, 230.362, 0, 0, 98.7874, 0, 0, 0, 231.563, 0, 0, 98.1965, 0, 0, 0, 231.563, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 230.015, 0, 0, 100, 0, 0, 0, 229.638, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 229.168, 0, 0, 100, 0, 0, 0, 229.168, 0, 0, 98.7874, 0, 0, 0, 230.486, 0, 0, 98.1965, 0, 0, 0, 230.486, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 229.919, 0, 0, 100, 0, 0, 0, 
