Time, 1_EV, 21_EV, 23_EV, 25_EV, 27_EV, 30_EV, 32_EV, 37_EV, 42_EV, 48_EV, 4_EV, 51_EV, 55_EV, 5_EV, 63_EV, 65_EV, 66_EV, 
2019 Aug 19 (Mon) 0:00, 100, 100, 100, 100, 98.6111, 97.7203, 100, 99.7142, 94.4486, 100, 96.9029, 96.9286, 96.6052, 100, 100, 93.776, 94.8127, 
2019 Aug 19 (Mon) 0:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 1:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 1:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 2:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 2:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 3:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 3:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 4:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 4:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 5:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 5:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 6:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 6:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 7:00, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
2019 Aug 19 (Mon) 7:30, 100, 100, 100, 100, 98.6111, 100, 100, 99.7142, 100, 100, 100, 100, 100, 100, 100, 99.4521, 100, 
