Time, 1 (1), , , , , , , 21 (14), , , , , , , 23 (16), , , , , , , 25 (18), , , , , , , 27 (20), , , , , , , 30 (24), , , , , , , 32 (26), , , , , , , 37 (31), , , , , , , 42 (37), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 51 (47), , , , , , , 55 (51), , , , , , , 5 (45), , , , , , , 63 (60), , , , , , , 65 (62), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 224.514, 0, 0, 100, 0, 0, 0, 223.756, 0, 0, 100, 0, 0, 0, 220.607, 0, 0, 100, 0, 0, 0, 224.05, 0, 0, 100, 0, 0, 0, 226.701, 0, 0, 98.6111, 0, 0, 0, 216.183, 0, 0, 97.7203, 0, 0, 0, 219.593, 0, 0, 100, 0, 0, 0, 226.303, 0, 0, 99.7142, 0, 0, 0, 213.607, 0, 0, 94.4486, 0, 0, 0, 216.984, 0, 0, 100, 0, 0, 0, 220.454, 0, 0, 96.9029, 0, 0, 0, 217.703, 0, 0, 96.9286, 0, 0, 0, 222.517, 0, 0, 96.6052, 0, 0, 0, 223.829, 0, 0, 100, 0, 0, 0, 220.254, 0, 0, 100, 0, 0, 0, 220.136, 0, 0, 93.776, 0, 0, 0, 216.719, 0, 0, 94.8127, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 227.898, 0, 0, 100, 0, 0, 0, 227.118, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 98.6111, 0, 0, 0, 227.897, 0, 0, 100, 0, 0, 0, 227.785, 0, 0, 100, 0, 0, 0, 226.894, 0, 0, 99.7142, 0, 0, 0, 226.895, 0, 0, 100, 0, 0, 0, 226.783, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 228.456, 0, 0, 100, 0, 0, 0, 228.232, 0, 0, 100, 0, 0, 0, 227.896, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 228.12, 0, 0, 99.4521, 0, 0, 0, 228.12, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.371, 0, 0, 100, 0, 0, 0, 230.731, 0, 0, 100, 0, 0, 0, 231.554, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 98.6111, 0, 0, 0, 231.37, 0, 0, 100, 0, 0, 0, 231.278, 0, 0, 100, 0, 0, 0, 230.548, 0, 0, 99.7142, 0, 0, 0, 230.548, 0, 0, 100, 0, 0, 0, 230.457, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.829, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 231.37, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 99.4521, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.723, 0, 0, 100, 0, 0, 0, 231.122, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 98.6111, 0, 0, 0, 231.723, 0, 0, 100, 0, 0, 0, 231.637, 0, 0, 100, 0, 0, 0, 230.95, 0, 0, 99.7142, 0, 0, 0, 230.95, 0, 0, 100, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 232.154, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 231.723, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 99.4521, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.438, 0, 0, 100, 0, 0, 0, 228.773, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 98.6111, 0, 0, 0, 229.437, 0, 0, 100, 0, 0, 0, 229.342, 0, 0, 100, 0, 0, 0, 228.583, 0, 0, 99.7142, 0, 0, 0, 228.584, 0, 0, 100, 0, 0, 0, 228.489, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.914, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.437, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.627, 0, 0, 99.4521, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 98.6111, 0, 0, 0, 232.118, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 99.7142, 0, 0, 0, 231.392, 0, 0, 100, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.522, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 232.117, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 99.4521, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.814, 0, 0, 100, 0, 0, 0, 232.27, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 98.6111, 0, 0, 0, 232.813, 0, 0, 100, 0, 0, 0, 232.736, 0, 0, 100, 0, 0, 0, 232.114, 0, 0, 99.7142, 0, 0, 0, 232.115, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 233.203, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 232.813, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 99.4521, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 0, 0, 100, 0, 0, 0, 231.426, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 98.6111, 0, 0, 0, 232.005, 0, 0, 100, 0, 0, 0, 231.922, 0, 0, 100, 0, 0, 0, 231.261, 0, 0, 99.7142, 0, 0, 0, 231.261, 0, 0, 100, 0, 0, 0, 231.179, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.419, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 232.004, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 99.4521, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.134, 0, 0, 100, 0, 0, 0, 230.533, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 98.6111, 0, 0, 0, 231.133, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 100, 0, 0, 0, 230.362, 0, 0, 99.7142, 0, 0, 0, 230.362, 0, 0, 100, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.563, 0, 0, 100, 0, 0, 0, 231.39, 0, 0, 100, 0, 0, 0, 231.133, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 99.4521, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 230.015, 0, 0, 100, 0, 0, 0, 229.356, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 98.6111, 0, 0, 0, 230.014, 0, 0, 100, 0, 0, 0, 229.92, 0, 0, 100, 0, 0, 0, 229.168, 0, 0, 99.7142, 0, 0, 0, 229.168, 0, 0, 100, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.486, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 230.014, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.202, 0, 0, 99.4521, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 
