Time, 10_EV, 11_EV, 14_EV, 17_EV, 18_EV, 1_EV, 20_EV, 21_EV, 22_EV, 23_EV, 24_EV, 25_EV, 27_EV, 31_EV, 32_EV, 33_EV, 34_EV, 35_EV, 36_EV, 39_EV, 3_EV, 43_EV, 44_EV, 46_EV, 48_EV, 4_EV, 50_EV, 53_EV, 56_EV, 57_EV, 60_EV, 64_EV, 66_EV, 7_EV, 
2019 Aug 19 (Mon) 0:00, 97.274, 99.7641, 100, 93.9834, 97.8509, 95.8147, 91.5842, 90.22, 91.9129, 100, 97.4226, 97.8227, 97.0909, 89.3044, 98.3488, 100, 95.1315, 86.8752, 100, 100, 100, 100, 96.8142, 100, 100, 100, 95.6626, 100, 95.9296, 100, 96.9053, 98.8891, 91.1157, 100, 
2019 Aug 19 (Mon) 0:30, 100, 99.7641, 100, 99.6562, 100, 100, 97.2945, 95.9484, 97.6174, 100, 100, 100, 100, 95.0445, 98.3488, 100, 100, 92.6447, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 96.8317, 100, 
2019 Aug 19 (Mon) 1:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 1:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 2:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 2:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 3:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 3:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 4:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 4:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 5:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 5:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 6:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 6:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 7:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 7:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 8:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 8:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 9:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 9:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 10:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
