Time, 10 (2), , , , , , , 11 (3), , , , , , , 14 (6), , , , , , , 17 (9), , , , , , , 18 (10), , , , , , , 1 (1), , , , , , , 20 (13), , , , , , , 21 (14), , , , , , , 22 (15), , , , , , , 23 (16), , , , , , , 24 (17), , , , , , , 25 (18), , , , , , , 27 (20), , , , , , , 31 (25), , , , , , , 32 (26), , , , , , , 33 (27), , , , , , , 34 (28), , , , , , , 35 (29), , , , , , , 36 (30), , , , , , , 39 (33), , , , , , , 3 (23), , , , , , , 43 (38), , , , , , , 44 (39), , , , , , , 46 (41), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 50 (46), , , , , , , 53 (49), , , , , , , 56 (52), , , , , , , 57 (53), , , , , , , 60 (57), , , , , , , 64 (61), , , , , , , 66 (63), , , , , , , 7 (64), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 211.403, 0, 0, 97.274, 0, 0, 0, 216.475, 0, 0, 99.7641, 0, 0, 0, 216.475, 0, 0, 100, 0, 0, 0, 205.21, 0, 0, 93.9834, 0, 0, 0, 212.126, 0, 0, 97.8509, 0, 0, 0, 207.143, 0, 0, 95.8147, 0, 0, 0, 216.24, 0, 0, 91.5842, 0, 0, 0, 204.034, 0, 0, 90.22, 0, 0, 0, 211.694, 0, 0, 91.9129, 0, 0, 0, 216.077, 0, 0, 100, 0, 0, 0, 216.115, 0, 0, 97.4226, 0, 0, 0, 209.227, 0, 0, 97.8227, 0, 0, 0, 216.115, 0, 0, 97.0909, 0, 0, 0, 215.913, 0, 0, 89.3044, 0, 0, 0, 214.428, 0, 0, 98.3488, 0, 0, 0, 219.664, 0, 0, 100, 0, 0, 0, 207.896, 0, 0, 95.1315, 0, 0, 0, 210.987, 0, 0, 86.8752, 0, 0, 0, 219.664, 0, 0, 100, 0, 0, 0, 215.206, 0, 0, 100, 0, 0, 0, 215.586, 0, 0, 100, 0, 0, 0, 219.468, 0, 0, 100, 0, 0, 0, 202.541, 0, 0, 96.8142, 0, 0, 0, 219.468, 0, 0, 100, 0, 0, 0, 215.398, 0, 0, 100, 0, 0, 0, 212.64, 0, 0, 100, 0, 0, 0, 209.806, 0, 0, 95.6626, 0, 0, 0, 213.228, 0, 0, 100, 0, 0, 0, 208.897, 0, 0, 95.9296, 0, 0, 0, 215.961, 0, 0, 100, 0, 0, 0, 212.496, 0, 0, 96.9053, 0, 0, 0, 221.954, 0, 0, 98.8891, 0, 0, 0, 211.744, 0, 0, 91.1157, 0, 0, 0, 219.767, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 221.37, 0, 0, 100, 0, 0, 0, 222.404, 0, 0, 99.7641, 0, 0, 0, 222.404, 0, 0, 100, 0, 0, 0, 225.158, 0, 0, 99.6562, 0, 0, 0, 221.639, 0, 0, 100, 0, 0, 0, 225.927, 0, 0, 100, 0, 0, 0, 219.061, 0, 0, 97.2945, 0, 0, 0, 220.896, 0, 0, 95.9484, 0, 0, 0, 217.437, 0, 0, 97.6174, 0, 0, 0, 222.271, 0, 0, 100, 0, 0, 0, 224.358, 0, 0, 100, 0, 0, 0, 226.819, 0, 0, 100, 0, 0, 0, 224.358, 0, 0, 100, 0, 0, 0, 220.207, 0, 0, 95.0445, 0, 0, 0, 220.603, 0, 0, 98.3488, 0, 0, 0, 224.035, 0, 0, 100, 0, 0, 0, 226.824, 0, 0, 100, 0, 0, 0, 217.062, 0, 0, 92.6447, 0, 0, 0, 224.035, 0, 0, 100, 0, 0, 0, 220.768, 0, 0, 100, 0, 0, 0, 221.639, 0, 0, 100, 0, 0, 0, 222.301, 0, 0, 100, 0, 0, 0, 224.172, 0, 0, 100, 0, 0, 0, 222.301, 0, 0, 100, 0, 0, 0, 220.66, 0, 0, 100, 0, 0, 0, 226.819, 0, 0, 100, 0, 0, 0, 226.806, 0, 0, 100, 0, 0, 0, 226.806, 0, 0, 100, 0, 0, 0, 226.585, 0, 0, 100, 0, 0, 0, 222.393, 0, 0, 100, 0, 0, 0, 222.393, 0, 0, 100, 0, 0, 0, 225.388, 0, 0, 98.8891, 0, 0, 0, 218.059, 0, 0, 96.8317, 0, 0, 0, 222.634, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 231.37, 0, 0, 100, 0, 0, 0, 231.371, 0, 0, 99.7641, 0, 0, 0, 231.371, 0, 0, 100, 0, 0, 0, 231.005, 0, 0, 99.6562, 0, 0, 0, 231.005, 0, 0, 100, 0, 0, 0, 231.371, 0, 0, 100, 0, 0, 0, 230.731, 0, 0, 100, 0, 0, 0, 230.731, 0, 0, 100, 0, 0, 0, 230.731, 0, 0, 100, 0, 0, 0, 231.554, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.37, 0, 0, 100, 0, 0, 0, 231.278, 0, 0, 98.3488, 0, 0, 0, 231.278, 0, 0, 100, 0, 0, 0, 231.278, 0, 0, 100, 0, 0, 0, 231.278, 0, 0, 98.3386, 0, 0, 0, 231.278, 0, 0, 100, 0, 0, 0, 230.548, 0, 0, 100, 0, 0, 0, 231.005, 0, 0, 100, 0, 0, 0, 230.456, 0, 0, 100, 0, 0, 0, 230.456, 0, 0, 100, 0, 0, 0, 230.456, 0, 0, 100, 0, 0, 0, 230.457, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.829, 0, 0, 100, 0, 0, 0, 231.829, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 231.645, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 98.8891, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 230.731, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 231.723, 0, 0, 100, 0, 0, 0, 231.724, 0, 0, 99.7641, 0, 0, 0, 231.724, 0, 0, 100, 0, 0, 0, 231.38, 0, 0, 99.6562, 0, 0, 0, 231.38, 0, 0, 100, 0, 0, 0, 231.723, 0, 0, 100, 0, 0, 0, 231.122, 0, 0, 100, 0, 0, 0, 231.122, 0, 0, 100, 0, 0, 0, 231.122, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.723, 0, 0, 100, 0, 0, 0, 231.637, 0, 0, 98.3488, 0, 0, 0, 231.636, 0, 0, 100, 0, 0, 0, 231.636, 0, 0, 100, 0, 0, 0, 231.637, 0, 0, 98.3386, 0, 0, 0, 231.636, 0, 0, 100, 0, 0, 0, 230.95, 0, 0, 100, 0, 0, 0, 231.38, 0, 0, 100, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 230.864, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 232.154, 0, 0, 100, 0, 0, 0, 232.154, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 231.981, 0, 0, 100, 0, 0, 0, 231.895, 0, 0, 98.8891, 0, 0, 0, 231.895, 0, 0, 100, 0, 0, 0, 231.122, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 229.437, 0, 0, 100, 0, 0, 0, 229.438, 0, 0, 99.7641, 0, 0, 0, 229.438, 0, 0, 100, 0, 0, 0, 229.058, 0, 0, 99.6562, 0, 0, 0, 229.058, 0, 0, 100, 0, 0, 0, 229.438, 0, 0, 100, 0, 0, 0, 228.773, 0, 0, 100, 0, 0, 0, 228.773, 0, 0, 100, 0, 0, 0, 228.774, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.437, 0, 0, 100, 0, 0, 0, 229.342, 0, 0, 98.3488, 0, 0, 0, 229.342, 0, 0, 100, 0, 0, 0, 229.342, 0, 0, 100, 0, 0, 0, 229.342, 0, 0, 98.3386, 0, 0, 0, 229.342, 0, 0, 100, 0, 0, 0, 228.584, 0, 0, 100, 0, 0, 0, 229.058, 0, 0, 100, 0, 0, 0, 228.488, 0, 0, 100, 0, 0, 0, 228.489, 0, 0, 100, 0, 0, 0, 228.488, 0, 0, 100, 0, 0, 0, 228.489, 0, 0, 100, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 229.914, 0, 0, 100, 0, 0, 0, 229.914, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.627, 0, 0, 98.8891, 0, 0, 0, 229.628, 0, 0, 100, 0, 0, 0, 228.773, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 232.118, 0, 0, 100, 0, 0, 0, 232.118, 0, 0, 99.7641, 0, 0, 0, 232.118, 0, 0, 100, 0, 0, 0, 231.795, 0, 0, 99.6562, 0, 0, 0, 231.795, 0, 0, 100, 0, 0, 0, 232.118, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.117, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 98.3488, 0, 0, 0, 232.036, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 98.3386, 0, 0, 0, 232.036, 0, 0, 100, 0, 0, 0, 231.392, 0, 0, 100, 0, 0, 0, 231.795, 0, 0, 100, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 231.311, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.522, 0, 0, 100, 0, 0, 0, 232.522, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 232.36, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 98.8891, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 231.553, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 232.813, 0, 0, 100, 0, 0, 0, 232.814, 0, 0, 99.7641, 0, 0, 0, 232.814, 0, 0, 100, 0, 0, 0, 232.503, 0, 0, 99.6562, 0, 0, 0, 232.503, 0, 0, 100, 0, 0, 0, 232.814, 0, 0, 100, 0, 0, 0, 232.27, 0, 0, 100, 0, 0, 0, 232.27, 0, 0, 100, 0, 0, 0, 232.27, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.813, 0, 0, 100, 0, 0, 0, 232.736, 0, 0, 98.3488, 0, 0, 0, 232.735, 0, 0, 100, 0, 0, 0, 232.736, 0, 0, 100, 0, 0, 0, 232.736, 0, 0, 98.3386, 0, 0, 0, 232.735, 0, 0, 100, 0, 0, 0, 232.115, 0, 0, 100, 0, 0, 0, 232.503, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 233.203, 0, 0, 100, 0, 0, 0, 233.203, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 233.047, 0, 0, 100, 0, 0, 0, 232.969, 0, 0, 98.8891, 0, 0, 0, 232.969, 0, 0, 100, 0, 0, 0, 232.27, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 232.005, 0, 0, 100, 0, 0, 0, 232.005, 0, 0, 99.7641, 0, 0, 0, 232.005, 0, 0, 100, 0, 0, 0, 231.674, 0, 0, 99.6562, 0, 0, 0, 231.675, 0, 0, 100, 0, 0, 0, 232.005, 0, 0, 100, 0, 0, 0, 231.426, 0, 0, 100, 0, 0, 0, 231.426, 0, 0, 100, 0, 0, 0, 231.427, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.004, 0, 0, 100, 0, 0, 0, 231.922, 0, 0, 98.3488, 0, 0, 0, 231.922, 0, 0, 100, 0, 0, 0, 231.922, 0, 0, 100, 0, 0, 0, 231.922, 0, 0, 98.3386, 0, 0, 0, 231.922, 0, 0, 100, 0, 0, 0, 231.261, 0, 0, 100, 0, 0, 0, 231.675, 0, 0, 100, 0, 0, 0, 231.178, 0, 0, 100, 0, 0, 0, 231.178, 0, 0, 100, 0, 0, 0, 231.178, 0, 0, 100, 0, 0, 0, 231.179, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 232.419, 0, 0, 100, 0, 0, 0, 232.419, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 232.253, 0, 0, 100, 0, 0, 0, 232.17, 0, 0, 98.8891, 0, 0, 0, 232.17, 0, 0, 100, 0, 0, 0, 231.426, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 231.133, 0, 0, 100, 0, 0, 0, 231.134, 0, 0, 99.7641, 0, 0, 0, 231.134, 0, 0, 100, 0, 0, 0, 230.791, 0, 0, 99.6562, 0, 0, 0, 230.791, 0, 0, 100, 0, 0, 0, 231.134, 0, 0, 100, 0, 0, 0, 230.533, 0, 0, 100, 0, 0, 0, 230.533, 0, 0, 100, 0, 0, 0, 230.534, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.133, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 98.3488, 0, 0, 0, 231.047, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 98.3386, 0, 0, 0, 231.047, 0, 0, 100, 0, 0, 0, 230.362, 0, 0, 100, 0, 0, 0, 230.791, 0, 0, 100, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 230.276, 0, 0, 100, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 231.563, 0, 0, 100, 0, 0, 0, 231.563, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 100, 0, 0, 0, 231.391, 0, 0, 100, 0, 0, 0, 231.304, 0, 0, 98.8891, 0, 0, 0, 231.305, 0, 0, 100, 0, 0, 0, 230.533, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 230.014, 0, 0, 100, 0, 0, 0, 230.015, 0, 0, 99.7641, 0, 0, 0, 230.015, 0, 0, 100, 0, 0, 0, 229.638, 0, 0, 99.6562, 0, 0, 0, 229.638, 0, 0, 100, 0, 0, 0, 230.015, 0, 0, 100, 0, 0, 0, 229.356, 0, 0, 100, 0, 0, 0, 229.356, 0, 0, 100, 0, 0, 0, 229.356, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.014, 0, 0, 100, 0, 0, 0, 229.92, 0, 0, 98.3488, 0, 0, 0, 229.919, 0, 0, 100, 0, 0, 0, 229.919, 0, 0, 100, 0, 0, 0, 229.92, 0, 0, 98.3386, 0, 0, 0, 229.919, 0, 0, 100, 0, 0, 0, 229.168, 0, 0, 100, 0, 0, 0, 229.638, 0, 0, 100, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 229.074, 0, 0, 100, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 230.486, 0, 0, 100, 0, 0, 0, 230.486, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 230.297, 0, 0, 100, 0, 0, 0, 230.202, 0, 0, 98.8891, 0, 0, 0, 230.203, 0, 0, 100, 0, 0, 0, 229.356, 0, 0, 100, 0, 0, 0, 
