Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 221.096, 312.677, -9.06161, 201.907, 285.54, -136.037, 209.094, 295.704, 105.287, 1.3501, 1.90934, -133.83, 
2019 Aug 19 (Mon) 0:30, 226.955, 320.962, -4.26376, 221.717, 313.555, -126.936, 224.824, 317.949, 114.156, 0.243368, 0.344174, -146.037, 
2019 Aug 19 (Mon) 1:00, 231.679, 327.644, -2.9984, 231.71, 327.688, -122.996, 229.984, 325.247, 115.748, 0.33397, 0.472304, -36.2036, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76198, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 1.65565e-07, 2.34144e-07, -156.878, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 1.64206e-07, 2.32222e-07, -156.804, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 1.65732e-07, 2.34381e-07, -156.711, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 1.66141e-07, 2.34959e-07, -156.72, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.64981, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 1.65696e-07, 2.3433e-07, -156.782, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 1.65171e-07, 2.33587e-07, -156.734, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 1.64576e-07, 2.32746e-07, -156.892, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 1.65008e-07, 2.33356e-07, -157.019, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 1.65228e-07, 2.33667e-07, -157.394, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.65421, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 1.65007e-07, 2.33355e-07, -157.633, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 1.61987e-07, 2.29084e-07, -157.748, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 1.62489e-07, 2.29795e-07, -158.008, 
2019 Aug 19 (Mon) 7:30, 225.04, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 1.61801e-07, 2.28821e-07, -158.254, 
2019 Aug 19 (Mon) 8:00, 225.796, 319.324, -4.21797, 225.796, 319.324, -124.218, 225.796, 319.324, 115.782, 1.6224e-07, 2.29443e-07, -158.201, 
