Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 11 (House 3), House 3 Magnitude, House 3 Phase, 12 (House 4), House 4 Magnitude, House 4 Phase, 13 (House 5), House 5 Magnitude, House 5 Phase, 14 (House 6), House 6 Magnitude, House 6 Phase, 15 (House 7), House 7 Magnitude, House 7 Phase, 16 (House 8), House 8 Magnitude, House 8 Phase, 17 (House 9), House 9 Magnitude, House 9 Phase, 18 (House 10), House 10 Magnitude, House 10 Phase, 19 (House 11), House 11 Magnitude, House 11 Phase, 2 (House 12), House 12 Magnitude, House 12 Phase, 20 (House 13), House 13 Magnitude, House 13 Phase, 21 (House 14), House 14 Magnitude, House 14 Phase, 22 (House 15), House 15 Magnitude, House 15 Phase, 23 (House 16), House 16 Magnitude, House 16 Phase, 24 (House 17), House 17 Magnitude, House 17 Phase, 25 (House 18), House 18 Magnitude, House 18 Phase, 26 (House 19), House 19 Magnitude, House 19 Phase, 27 (House 20), House 20 Magnitude, House 20 Phase, 28 (House 21), House 21 Magnitude, House 21 Phase, 29 (House 22), House 22 Magnitude, House 22 Phase, 3 (House 23), House 23 Magnitude, House 23 Phase, 30 (House 24), House 24 Magnitude, House 24 Phase, 31 (House 25), House 25 Magnitude, House 25 Phase, 32 (House 26), House 26 Magnitude, House 26 Phase, 33 (House 27), House 27 Magnitude, House 27 Phase, 34 (House 28), House 28 Magnitude, House 28 Phase, 35 (House 29), House 29 Magnitude, House 29 Phase, 36 (House 30), House 30 Magnitude, House 30 Phase, 37 (House 31), House 31 Magnitude, House 31 Phase, 38 (House 32), House 32 Magnitude, House 32 Phase, 39 (House 33), House 33 Magnitude, House 33 Phase, 4 (House 34), House 34 Magnitude, House 34 Phase, 40 (House 35), House 35 Magnitude, House 35 Phase, 41 (House 36), House 36 Magnitude, House 36 Phase, 42 (House 37), House 37 Magnitude, House 37 Phase, 43 (House 38), House 38 Magnitude, House 38 Phase, 44 (House 39), House 39 Magnitude, House 39 Phase, 45 (House 40), House 40 Magnitude, House 40 Phase, 46 (House 41), House 41 Magnitude, House 41 Phase, 47 (House 42), House 42 Magnitude, House 42 Phase, 48 (House 43), House 43 Magnitude, House 43 Phase, 49 (House 44), House 44 Magnitude, House 44 Phase, 5 (House 45), House 45 Magnitude, House 45 Phase, 50 (House 46), House 46 Magnitude, House 46 Phase, 51 (House 47), House 47 Magnitude, House 47 Phase, 52 (House 48), House 48 Magnitude, House 48 Phase, 53 (House 49), House 49 Magnitude, House 49 Phase, 54 (House 50), House 50 Magnitude, House 50 Phase, 55 (House 51), House 51 Magnitude, House 51 Phase, 56 (House 52), House 52 Magnitude, House 52 Phase, 57 (House 53), House 53 Magnitude, House 53 Phase, 58 (House 54), House 54 Magnitude, House 54 Phase, 59 (House 55), House 55 Magnitude, House 55 Phase, 6 (House 56), House 56 Magnitude, House 56 Phase, 60 (House 57), House 57 Magnitude, House 57 Phase, 61 (House 58), House 58 Magnitude, House 58 Phase, 62 (House 59), House 59 Magnitude, House 59 Phase, 63 (House 60), House 60 Magnitude, House 60 Phase, 64 (House 61), House 61 Magnitude, House 61 Phase, 65 (House 62), House 62 Magnitude, House 62 Phase, 66 (House 63), House 63 Magnitude, House 63 Phase, 7 (House 64), House 64 Magnitude, House 64 Phase, 8 (House 65), House 65 Magnitude, House 65 Phase, 9 (House 66), House 66 Magnitude, House 66 Phase, 
2019 Aug 19 (Mon) 0:00, 217.96, 308.243, -9.73449, 198.952, 281.361, -136.017, 204.911, 289.789, -135.812, 207.672, 293.693, 105.932, 217.96, 308.243, -9.73449, 204.911, 289.789, -135.812, 204.339, 288.979, 105.898, 202.165, 285.904, 105.527, 213.029, 301.269, -10.0547, 202.881, 286.917, -136.033, 205.462, 290.567, 105.562, 213.029, 301.269, -10.0547, 200.83, 284.017, 105.054, 212.686, 300.784, -10.0515, 197.038, 278.653, -136.316, 200.987, 284.238, -135.878, 209.631, 296.462, 105.873, 219.913, 311.004, -9.20488, 204.265, 288.874, -135.843, 206.266, 291.705, 105.838, 209.073, 295.673, 105.496, 220.384, 311.67, -9.05006, 202.881, 286.917, -136.033, 198.952, 281.361, -136.017, 205.717, 290.928, 105.461, 198.24, 280.354, -136.029, 205.285, 290.317, 105.296, 220.608, 311.987, -9.02101, 201.474, 284.927, -135.994, 208.633, 295.052, 105.331, 202.97, 287.043, 104.607, 216.886, 306.723, -9.91278, 198.223, 280.33, -136.323, 219.913, 311.004, -9.20488, 199.713, 282.436, 104.572, 216.886, 306.723, -9.91278, 195.042, 275.831, -136.358, 199.011, 281.445, 104.25, 217.412, 307.467, -9.84106, 193.744, 273.995, -136.383, 199.011, 281.445, 104.25, 217.412, 307.467, -9.84106, 193.744, 273.995, -136.383, 210.633, 297.88, 106.415, 220.384, 311.67, -9.05006, 219.212, 310.013, -9.39504, 203.759, 288.159, -135.728, 210.633, 297.88, 106.415, 219.212, 310.013, -9.39504, 207.083, 292.859, -135.693, 210.671, 297.934, 106.455, 214.861, 303.859, -9.4643, 206.612, 292.194, -135.853, 210.671, 297.934, 106.455, 218.365, 308.815, -9.42937, 220.608, 311.987, -9.02101, 206.612, 292.194, -135.853, 210.88, 298.229, 106.398, 218.283, 308.698, -9.34005, 202.577, 286.487, -136.007, 210.88, 298.229, 106.398, 218.283, 308.698, -9.34005, 205.881, 291.159, -135.972, 204.106, 288.649, 105.089, 212.686, 300.784, -10.0515, 197.038, 278.653, -136.316, 
2019 Aug 19 (Mon) 0:30, 225.944, 319.533, -4.42507, 217.818, 308.042, -126.921, 222.406, 314.529, -126.81, 224.099, 316.924, 114.354, 225.944, 319.533, -4.42507, 222.406, 314.529, -126.81, 224.099, 316.924, 114.354, 219.693, 310.692, 114.24, 221.567, 313.343, -4.54796, 221.657, 313.47, -126.876, 223.276, 315.76, 114.275, 225.182, 318.455, -4.51297, 223.276, 315.76, 114.213, 224.853, 317.991, -4.43231, 220.679, 312.087, -127, 222.248, 314.306, -126.762, 224.361, 317.295, 114.262, 226.834, 320.792, -4.29883, 222.248, 314.306, -126.762, 220.76, 312.202, 114.227, 224.484, 317.469, 114.206, 226.604, 320.467, -4.21121, 221.657, 313.47, -126.876, 221.371, 313.066, -126.886, 224.484, 317.469, 114.206, 221.269, 312.921, -126.89, 224.368, 317.304, 114.202, 226.493, 320.31, -4.21806, 221.269, 312.921, -126.89, 224.368, 317.304, 114.202, 223.389, 315.92, 114.156, 224.635, 317.681, -4.34554, 219.808, 310.856, -127.121, 226.834, 320.792, -4.29883, 223.389, 315.92, 114.156, 224.635, 317.681, -4.34554, 219.808, 310.856, -127.121, 223.62, 316.247, 114.104, 224.524, 317.524, -4.25189, 219.042, 309.772, -127.239, 223.62, 316.247, 114.104, 224.524, 317.524, -4.25189, 215.526, 304.8, -127.274, 225.032, 318.243, 114.437, 226.604, 320.467, -4.21121, 226.818, 320.769, -4.3327, 223.264, 315.743, -126.739, 225.032, 318.243, 114.437, 226.818, 320.769, -4.3327, 223.264, 315.743, -126.739, 225.154, 318.415, 114.38, 226.594, 320.452, -4.24422, 222.379, 314.492, -126.861, 225.154, 318.415, 114.38, 226.594, 320.452, -4.24422, 226.493, 320.31, -4.21806, 222.379, 314.492, -126.861, 225.391, 318.75, 114.327, 226.48, 320.291, -4.14958, 218.046, 308.363, -127.015, 225.391, 318.75, 114.327, 226.48, 320.291, -4.14958, 221.603, 313.394, -126.98, 223.276, 315.76, 114.213, 224.853, 317.991, -4.43231, 220.679, 312.087, -127, 
2019 Aug 19 (Mon) 1:00, 231.691, 327.661, -3.01454, 231.388, 327.233, -122.964, 231.39, 327.235, -122.869, 228.991, 323.842, 115.672, 231.691, 327.661, -3.01454, 231.39, 327.235, -122.869, 228.991, 323.842, 115.672, 224.287, 317.189, 115.497, 231.664, 327.622, -3.09368, 231.026, 326.72, -122.803, 227.946, 322.365, 115.532, 231.664, 327.622, -3.09368, 227.682, 321.991, 115.513, 231.369, 327.205, -3.11748, 230.764, 326.349, -122.83, 231.571, 327.49, -122.95, 229.849, 325.056, 115.794, 231.541, 327.448, -2.9513, 231.571, 327.49, -122.95, 229.849, 325.056, 115.794, 229.665, 324.795, 115.779, 231.359, 327.19, -2.9672, 231.026, 326.72, -122.803, 231.388, 327.233, -122.964, 229.665, 324.795, 115.779, 231.297, 327.104, -122.972, 229.572, 324.664, 115.771, 231.268, 327.062, -2.97515, 231.297, 327.104, -122.972, 229.572, 324.664, 115.771, 227.506, 321.743, 115.501, 231.173, 326.928, -3.13335, 230.589, 326.102, -122.848, 231.541, 327.448, -2.9513, 227.506, 321.743, 115.501, 231.173, 326.928, -3.13335, 230.589, 326.102, -122.848, 227.418, 321.618, 115.495, 231.075, 326.789, -3.14129, 230.502, 325.979, -122.857, 227.418, 321.618, 115.495, 231.075, 326.789, -3.14129, 230.502, 325.979, -122.857, 230.126, 325.448, 115.817, 231.359, 327.19, -2.9672, 231.814, 327.834, -2.92748, 231.844, 327.878, -122.927, 230.126, 325.448, 115.817, 231.814, 327.834, -2.92748, 231.844, 327.878, -122.927, 229.942, 325.186, 115.802, 231.631, 327.576, -2.94339, 231.662, 327.619, -122.942, 229.942, 325.186, 115.802, 231.631, 327.576, -2.94339, 231.268, 327.062, -2.97515, 231.662, 327.619, -122.942, 229.849, 325.056, 115.794, 231.54, 327.448, -2.95134, 231.571, 327.49, -122.95, 229.849, 325.056, 115.794, 231.54, 327.448, -2.95134, 231.571, 327.49, -122.95, 227.682, 321.991, 115.513, 231.369, 327.205, -3.11748, 230.764, 326.349, -122.83, 
2019 Aug 19 (Mon) 1:30, 231.723, 327.706, -2.73133, 231.723, 327.705, -122.732, 231.724, 327.707, -122.731, 231.723, 327.706, 117.269, 231.723, 327.706, -2.73133, 231.724, 327.707, -122.731, 231.723, 327.706, 117.269, 231.38, 327.22, 117.242, 231.38, 327.22, -2.75827, 231.38, 327.22, -122.758, 231.38, 327.22, 117.242, 231.38, 327.22, -2.75827, 231.122, 326.856, 117.221, 231.122, 326.856, -2.77852, 231.122, 326.856, -122.779, 231.895, 327.949, -122.718, 231.895, 327.949, 117.282, 231.895, 327.949, -2.71797, 231.895, 327.949, -122.718, 231.895, 327.949, 117.282, 231.723, 327.705, 117.268, 231.723, 327.705, -2.73148, 231.38, 327.22, -122.758, 231.723, 327.705, -122.732, 231.723, 327.705, 117.268, 231.637, 327.584, -122.738, 231.636, 327.583, 117.262, 231.636, 327.583, -2.73824, 231.637, 327.584, -122.738, 231.636, 327.583, 117.262, 230.95, 326.613, 117.208, 230.95, 326.613, -2.79203, 230.95, 326.613, -122.792, 231.895, 327.949, -2.71797, 230.95, 326.613, 117.208, 230.95, 326.613, -2.79203, 230.95, 326.613, -122.792, 230.864, 326.491, 117.201, 230.864, 326.491, -2.79879, 230.864, 326.492, -122.799, 230.864, 326.491, 117.201, 230.864, 326.491, -2.79879, 230.864, 326.492, -122.799, 232.153, 328.315, 117.302, 231.723, 327.705, -2.73148, 232.154, 328.315, -2.69772, 232.154, 328.315, -122.698, 232.153, 328.315, 117.302, 232.154, 328.315, -2.69772, 232.154, 328.315, -122.698, 231.981, 328.071, 117.289, 231.981, 328.071, -2.71123, 231.981, 328.071, -122.711, 231.981, 328.071, 117.289, 231.981, 328.071, -2.71123, 231.636, 327.583, -2.73824, 231.981, 328.071, -122.711, 231.895, 327.949, 117.282, 231.895, 327.949, -2.718, 231.895, 327.949, -122.718, 231.895, 327.949, 117.282, 231.895, 327.949, -2.718, 231.895, 327.949, -122.718, 231.122, 326.856, 117.221, 231.122, 326.856, -2.77852, 231.122, 326.856, -122.779, 
2019 Aug 19 (Mon) 2:00, 229.438, 324.475, -2.56792, 229.437, 324.473, -122.568, 229.438, 324.475, -122.568, 229.438, 324.474, 117.432, 229.438, 324.475, -2.56792, 229.438, 324.475, -122.568, 229.438, 324.474, 117.432, 229.058, 323.937, 117.418, 229.058, 323.937, -2.58212, 229.058, 323.938, -122.582, 229.058, 323.937, 117.418, 229.058, 323.937, -2.58212, 228.773, 323.534, 117.407, 228.773, 323.534, -2.59279, 228.774, 323.535, -122.593, 229.628, 324.743, -122.561, 229.628, 324.742, 117.439, 229.628, 324.743, -2.56088, 229.628, 324.743, -122.561, 229.628, 324.742, 117.439, 229.437, 324.473, 117.432, 229.437, 324.473, -2.568, 229.058, 323.938, -122.582, 229.437, 324.473, -122.568, 229.437, 324.473, 117.432, 229.342, 324.339, -122.572, 229.342, 324.338, 117.428, 229.342, 324.338, -2.57157, 229.342, 324.339, -122.572, 229.342, 324.338, 117.428, 228.583, 323.266, 117.4, 228.584, 323.266, -2.59991, 228.584, 323.266, -122.6, 229.628, 324.743, -2.56088, 228.583, 323.266, 117.4, 228.584, 323.266, -2.59991, 228.584, 323.266, -122.6, 228.488, 323.132, 117.396, 228.489, 323.132, -2.60347, 228.489, 323.132, -122.604, 228.488, 323.132, 117.396, 228.489, 323.132, -2.60347, 228.489, 323.132, -122.604, 229.913, 325.147, 117.45, 229.437, 324.473, -2.568, 229.914, 325.147, -2.55021, 229.914, 325.147, -122.55, 229.913, 325.147, 117.45, 229.914, 325.147, -2.55021, 229.914, 325.147, -122.55, 229.723, 324.877, 117.443, 229.723, 324.877, -2.55733, 229.723, 324.877, -122.557, 229.723, 324.877, 117.443, 229.723, 324.877, -2.55733, 229.342, 324.338, -2.57157, 229.723, 324.877, -122.557, 229.627, 324.742, 117.439, 229.627, 324.742, -2.5609, 229.628, 324.742, -122.561, 229.627, 324.742, 117.439, 229.627, 324.742, -2.5609, 229.628, 324.742, -122.561, 228.773, 323.534, 117.407, 228.773, 323.534, -2.59279, 228.774, 323.535, -122.593, 
2019 Aug 19 (Mon) 2:30, 232.118, 328.265, -2.53562, 232.118, 328.264, -122.536, 232.118, 328.265, -122.536, 232.118, 328.265, 117.464, 232.118, 328.265, -2.53562, 232.118, 328.265, -122.536, 232.118, 328.265, 117.464, 231.795, 327.808, 117.44, 231.795, 327.808, -2.55984, 231.795, 327.808, -122.56, 231.795, 327.808, 117.44, 231.795, 327.808, -2.55984, 231.553, 327.465, 117.422, 231.553, 327.465, -2.57803, 231.553, 327.465, -122.578, 232.279, 328.493, -122.524, 232.279, 328.493, 117.476, 232.279, 328.493, -2.52361, 232.279, 328.493, -122.524, 232.279, 328.493, 117.476, 232.117, 328.264, 117.464, 232.117, 328.264, -2.53575, 231.795, 327.808, -122.56, 232.118, 328.264, -122.536, 232.117, 328.264, 117.464, 232.037, 328.149, -122.542, 232.036, 328.149, 117.458, 232.037, 328.149, -2.54183, 232.037, 328.149, -122.542, 232.036, 328.149, 117.458, 231.391, 327.237, 117.41, 231.392, 327.237, -2.59018, 231.392, 327.237, -122.59, 232.279, 328.493, -2.52361, 231.391, 327.237, 117.41, 231.392, 327.237, -2.59018, 231.392, 327.237, -122.59, 231.311, 327.123, 117.404, 231.311, 327.123, -2.59625, 231.311, 327.123, -122.596, 231.311, 327.123, 117.404, 231.311, 327.123, -2.59625, 231.311, 327.123, -122.596, 232.522, 328.836, 117.495, 232.117, 328.264, -2.53575, 232.522, 328.836, -2.50542, 232.522, 328.836, -122.505, 232.522, 328.836, 117.495, 232.522, 328.836, -2.50542, 232.522, 328.836, -122.505, 232.36, 328.607, 117.482, 232.36, 328.607, -2.51756, 232.36, 328.607, -122.518, 232.36, 328.607, 117.482, 232.36, 328.607, -2.51756, 232.037, 328.149, -2.54183, 232.36, 328.607, -122.518, 232.279, 328.492, 117.476, 232.279, 328.492, -2.52363, 232.279, 328.493, -122.524, 232.279, 328.492, 117.476, 232.279, 328.492, -2.52363, 232.279, 328.493, -122.524, 231.553, 327.465, 117.422, 231.553, 327.465, -2.57803, 231.553, 327.465, -122.578, 
2019 Aug 19 (Mon) 3:00, 232.814, 329.249, -2.56895, 232.813, 329.248, -122.569, 232.814, 329.249, -122.569, 232.814, 329.249, 117.431, 232.814, 329.249, -2.56895, 232.814, 329.249, -122.569, 232.814, 329.249, 117.431, 232.503, 328.809, 117.403, 232.503, 328.809, -2.59664, 232.503, 328.809, -122.597, 232.503, 328.809, 117.403, 232.503, 328.809, -2.59664, 232.27, 328.479, 117.383, 232.27, 328.479, -2.61744, 232.27, 328.479, -122.617, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.969, 329.468, -2.5552, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.813, 329.248, 117.431, 232.813, 329.248, -2.56908, 232.503, 328.809, -122.597, 232.813, 329.248, -122.569, 232.813, 329.248, 117.431, 232.736, 329.138, -122.576, 232.735, 329.138, 117.424, 232.736, 329.138, -2.57603, 232.736, 329.138, -122.576, 232.735, 329.138, 117.424, 232.114, 328.259, 117.369, 232.115, 328.26, -2.63133, 232.115, 328.26, -122.631, 232.969, 329.468, -2.5552, 232.114, 328.259, 117.369, 232.115, 328.26, -2.63133, 232.115, 328.26, -122.631, 232.037, 328.15, 117.362, 232.037, 328.15, -2.63828, 232.037, 328.15, -122.638, 232.037, 328.15, 117.362, 232.037, 328.15, -2.63828, 232.037, 328.15, -122.638, 233.203, 329.799, 117.466, 232.813, 329.248, -2.56908, 233.203, 329.799, -2.5344, 233.203, 329.799, -122.534, 233.203, 329.799, 117.466, 233.203, 329.799, -2.5344, 233.203, 329.799, -122.534, 233.047, 329.578, 117.452, 233.047, 329.578, -2.54828, 233.047, 329.578, -122.548, 233.047, 329.578, 117.452, 233.047, 329.578, -2.54828, 232.736, 329.138, -2.57603, 233.047, 329.578, -122.548, 232.969, 329.468, 117.445, 232.969, 329.468, -2.55523, 232.969, 329.468, -122.555, 232.969, 329.468, 117.445, 232.969, 329.468, -2.55523, 232.969, 329.468, -122.555, 232.27, 328.479, 117.383, 232.27, 328.479, -2.61744, 232.27, 328.479, -122.617, 
2019 Aug 19 (Mon) 3:30, 232.005, 328.105, -2.62017, 232.005, 328.104, -122.62, 232.005, 328.105, -122.62, 232.005, 328.105, 117.38, 232.005, 328.105, -2.62017, 232.005, 328.105, -122.62, 232.005, 328.105, 117.38, 231.674, 327.637, 117.354, 231.674, 327.637, -2.64579, 231.675, 327.637, -122.646, 231.674, 327.637, 117.354, 231.674, 327.637, -2.64579, 231.426, 327.286, 117.335, 231.426, 327.286, -2.66504, 231.427, 327.286, -122.665, 232.17, 328.339, -122.607, 232.17, 328.338, 117.393, 232.17, 328.338, -2.60746, 232.17, 328.339, -122.607, 232.17, 328.338, 117.393, 232.004, 328.104, 117.38, 232.004, 328.104, -2.62031, 231.675, 327.637, -122.646, 232.005, 328.104, -122.62, 232.004, 328.104, 117.38, 231.922, 327.987, -122.627, 231.922, 327.987, 117.373, 231.922, 327.987, -2.62673, 231.922, 327.987, -122.627, 231.922, 327.987, 117.373, 231.261, 327.052, 117.322, 231.261, 327.053, -2.67789, 231.261, 327.053, -122.678, 232.17, 328.338, -2.60746, 231.261, 327.052, 117.322, 231.261, 327.053, -2.67789, 231.261, 327.053, -122.678, 231.178, 326.936, 117.316, 231.178, 326.936, -2.68431, 231.179, 326.936, -122.684, 231.178, 326.936, 117.316, 231.178, 326.936, -2.68431, 231.179, 326.936, -122.684, 232.419, 328.69, 117.412, 232.004, 328.104, -2.62031, 232.419, 328.69, -2.58821, 232.419, 328.69, -122.588, 232.419, 328.69, 117.412, 232.419, 328.69, -2.58821, 232.419, 328.69, -122.588, 232.253, 328.455, 117.399, 232.253, 328.456, -2.60106, 232.253, 328.456, -122.601, 232.253, 328.455, 117.399, 232.253, 328.456, -2.60106, 231.922, 327.987, -2.62673, 232.253, 328.456, -122.601, 232.17, 328.338, 117.392, 232.17, 328.338, -2.60749, 232.17, 328.338, -122.608, 232.17, 328.338, 117.392, 232.17, 328.338, -2.60749, 232.17, 328.338, -122.608, 231.426, 327.286, 117.335, 231.426, 327.286, -2.66504, 231.427, 327.286, -122.665, 
2019 Aug 19 (Mon) 4:00, 231.134, 326.872, -2.53327, 231.133, 326.871, -122.533, 231.134, 326.872, -122.533, 231.134, 326.872, 117.467, 231.134, 326.872, -2.53327, 231.134, 326.872, -122.533, 231.134, 326.872, 117.467, 230.79, 326.387, 117.446, 230.791, 326.387, -2.55352, 230.791, 326.387, -122.554, 230.79, 326.387, 117.446, 230.791, 326.387, -2.55352, 230.533, 326.023, 117.431, 230.533, 326.023, -2.56874, 230.534, 326.024, -122.569, 231.305, 327.114, -122.523, 231.305, 327.114, 117.477, 231.305, 327.114, -2.52323, 231.305, 327.114, -122.523, 231.305, 327.114, 117.477, 231.133, 326.871, 117.467, 231.133, 326.871, -2.53339, 230.791, 326.387, -122.554, 231.133, 326.871, -122.533, 231.133, 326.871, 117.467, 231.047, 326.75, -122.539, 231.047, 326.749, 117.461, 231.047, 326.749, -2.53847, 231.047, 326.75, -122.539, 231.047, 326.749, 117.461, 230.362, 325.781, 117.421, 230.362, 325.781, -2.57889, 230.362, 325.781, -122.579, 231.305, 327.114, -2.52323, 230.362, 325.781, 117.421, 230.362, 325.781, -2.57889, 230.362, 325.781, -122.579, 230.276, 325.66, 117.416, 230.276, 325.66, -2.58397, 230.276, 325.66, -122.584, 230.276, 325.66, 117.416, 230.276, 325.66, -2.58397, 230.276, 325.66, -122.584, 231.563, 327.479, 117.492, 231.133, 326.871, -2.53339, 231.563, 327.479, -2.50802, 231.563, 327.479, -122.508, 231.563, 327.479, 117.492, 231.563, 327.479, -2.50802, 231.563, 327.479, -122.508, 231.39, 327.236, 117.482, 231.391, 327.236, -2.51817, 231.391, 327.236, -122.518, 231.39, 327.236, 117.482, 231.391, 327.236, -2.51817, 231.047, 326.749, -2.53847, 231.391, 327.236, -122.518, 231.304, 327.114, 117.477, 231.305, 327.114, -2.52325, 231.305, 327.114, -122.523, 231.304, 327.114, 117.477, 231.305, 327.114, -2.52325, 231.305, 327.114, -122.523, 230.533, 326.023, 117.431, 230.533, 326.023, -2.56874, 230.534, 326.024, -122.569, 
2019 Aug 19 (Mon) 4:30, 230.015, 325.29, -2.69744, 230.014, 325.289, -122.698, 230.015, 325.29, -122.698, 230.015, 325.29, 117.302, 230.015, 325.29, -2.69744, 230.015, 325.29, -122.698, 230.015, 325.29, 117.302, 229.638, 324.757, 117.283, 229.638, 324.758, -2.71683, 229.638, 324.758, -122.717, 229.638, 324.757, 117.283, 229.638, 324.758, -2.71683, 229.356, 324.358, 117.269, 229.356, 324.358, -2.7314, 229.356, 324.359, -122.731, 230.203, 325.556, -122.688, 230.203, 325.556, 117.312, 230.203, 325.556, -2.68783, 230.203, 325.556, -122.688, 230.203, 325.556, 117.312, 230.014, 325.288, 117.302, 230.014, 325.289, -2.69756, 229.638, 324.758, -122.717, 230.014, 325.289, -122.698, 230.014, 325.288, 117.302, 229.92, 325.155, -122.702, 229.919, 325.155, 117.298, 229.919, 325.155, -2.70243, 229.92, 325.155, -122.702, 229.919, 325.155, 117.298, 229.168, 324.092, 117.259, 229.168, 324.092, -2.74113, 229.168, 324.093, -122.741, 230.203, 325.556, -2.68783, 229.168, 324.092, 117.259, 229.168, 324.092, -2.74113, 229.168, 324.093, -122.741, 229.074, 323.959, 117.254, 229.074, 323.959, -2.74599, 229.074, 323.96, -122.746, 229.074, 323.959, 117.254, 229.074, 323.959, -2.74599, 229.074, 323.96, -122.746, 230.486, 325.956, 117.327, 230.014, 325.289, -2.69756, 230.486, 325.956, -2.67326, 230.486, 325.957, -122.673, 230.486, 325.956, 117.327, 230.486, 325.956, -2.67326, 230.486, 325.957, -122.673, 230.297, 325.689, 117.317, 230.297, 325.689, -2.68299, 230.297, 325.689, -122.683, 230.297, 325.689, 117.317, 230.297, 325.689, -2.68299, 229.919, 325.155, -2.70243, 230.297, 325.689, -122.683, 230.202, 325.555, 117.312, 230.202, 325.555, -2.68786, 230.203, 325.556, -122.688, 230.202, 325.555, 117.312, 230.202, 325.555, -2.68786, 230.203, 325.556, -122.688, 229.356, 324.358, 117.269, 229.356, 324.358, -2.7314, 229.356, 324.359, -122.731, 
