Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 219.685, 310.681, -9.4382, 207.543, 293.511, -135.737, 211.095, 298.533, 106.375, 1.41605, 2.0026, 11.2636, 
2019 Aug 19 (Mon) 0:30, 227.278, 321.419, -4.37927, 223.72, 316.388, -126.784, 225.488, 318.888, 114.392, 0.45414, 0.64225, 65.781, 
2019 Aug 19 (Mon) 1:00, 232.226, 328.417, -2.95072, 232.259, 328.463, -122.951, 230.539, 326.032, 115.794, 0.341167, 0.482482, -36.6875, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 2.04836e-07, 2.89682e-07, 20.7709, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 2.00868e-07, 2.8407e-07, 21.2599, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 2.05742e-07, 2.90963e-07, 21.1463, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55255, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 2.06978e-07, 2.92711e-07, 21.0315, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 2.05456e-07, 2.90558e-07, 20.9801, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 2.03959e-07, 2.88441e-07, 21.2168, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70915, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 2.01782e-07, 2.85363e-07, 20.9555, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 2.02809e-07, 2.86816e-07, 20.5482, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 2.02611e-07, 2.86535e-07, 19.5744, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 2.01407e-07, 2.84832e-07, 19.0424, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 1.92303e-07, 2.71958e-07, 19.4267, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 1.93216e-07, 2.73249e-07, 18.6851, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 1.90742e-07, 2.6975e-07, 18.2381, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 1.92118e-07, 2.71695e-07, 18.2803, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 1.90874e-07, 2.69937e-07, 19.2409, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 1.91414e-07, 2.70701e-07, 19.3075, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 1.95697e-07, 2.76758e-07, 19.0256, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 1.9933e-07, 2.81895e-07, 19.052, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 2.01899e-07, 2.85529e-07, 19.2013, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51395, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 1.99324e-07, 2.81887e-07, 19.3234, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 1.98853e-07, 2.81221e-07, 19.074, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 1.98283e-07, 2.80415e-07, 18.9896, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 1.95808e-07, 2.76914e-07, 19.1788, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 2.00464e-07, 2.83498e-07, 18.5669, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 2.00077e-07, 2.82952e-07, 19.0606, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 1.95393e-07, 2.76328e-07, 19.5269, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 1.93702e-07, 2.73935e-07, 19.8858, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 1.99779e-07, 2.8253e-07, 18.6276, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 1.9553e-07, 2.76521e-07, 18.4525, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 1.96741e-07, 2.78234e-07, 17.665, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 1.91052e-07, 2.70189e-07, 17.6016, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 1.89286e-07, 2.67691e-07, 16.5868, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.777, -125.403, 221.874, 313.777, 114.597, 1.82096e-07, 2.57522e-07, 16.1388, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 1.77593e-07, 2.51155e-07, 15.3473, 
2019 Aug 19 (Mon) 18:30, 188.629, 266.762, -21.3684, 180.947, 255.898, -144.459, 178.394, 252.288, 94.8608, 0.79503, 1.12434, -17.5159, 
2019 Aug 19 (Mon) 19:00, 187.83, 265.631, -21.2883, 180.239, 254.896, -144.371, 177.713, 251.325, 94.9512, 0.788525, 1.11514, -17.2447, 
2019 Aug 19 (Mon) 19:30, 220.997, 312.536, -6.60365, 220.997, 312.537, -126.604, 220.997, 312.536, 113.396, 1.79085e-07, 2.53265e-07, 13.677, 
2019 Aug 19 (Mon) 20:00, 223.165, 315.603, -6.4588, 223.165, 315.603, -126.459, 223.165, 315.603, 113.541, 1.83022e-07, 2.58832e-07, 13.7649, 
2019 Aug 19 (Mon) 20:30, 216.646, 306.384, -6.12805, 216.646, 306.384, -126.128, 216.646, 306.384, 113.872, 1.72239e-07, 2.43583e-07, 15.1365, 
2019 Aug 19 (Mon) 21:00, 220.058, 311.209, -6.17966, 220.058, 311.21, -126.18, 220.058, 311.209, 113.82, 1.77992e-07, 2.51719e-07, 14.6746, 
2019 Aug 19 (Mon) 21:30, 220.605, 311.982, -5.91399, 220.605, 311.983, -125.914, 220.605, 311.982, 114.086, 1.79257e-07, 2.53508e-07, 15.1817, 
