Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.989275, 0.996251, 0.99358, 0.949555
2019 Aug 19 (Mon) 0:30, 0.952, 0.977983, 0.968717, 0.667148
2019 Aug 19 (Mon) 1:00, 0.965241, 0.965798, 0.981725, 0.857502
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.794373
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.793569
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.794796
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.795057
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.794639
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.794368
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.79366
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949967, 0.949976, 0.793729
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.793195
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.792614
2019 Aug 19 (Mon) 6:30, 0.90349, 0.903516, 0.903536, 0.790277
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.790173
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.789245
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.789658
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.789772
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.789962
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.791041
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.792057
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.792822
2019 Aug 19 (Mon) 11:00, 0.956762, 0.95678, 0.956788, 0.792189
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.79194
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.791742
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.791147
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.792128
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.792263
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.791202
2019 Aug 19 (Mon) 14:30, 0.897797, 0.897825, 0.897847, 0.790905
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.79197
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.790715
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.790673
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.789022
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.788024
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.785628
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.92238, 0.783819
2019 Aug 19 (Mon) 18:30, 0.992587, 0.994616, 0.99426, 0.745455
2019 Aug 19 (Mon) 19:00, 0.991276, 0.993674, 0.993333, 0.744953
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.783533
2019 Aug 19 (Mon) 20:00, 0.968749, 0.96876, 0.968765, 0.784815
2019 Aug 19 (Mon) 20:30, 0.902023, 0.902035, 0.902046, 0.781939
2019 Aug 19 (Mon) 21:00, 0.936413, 0.936427, 0.936436, 0.783639
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.784281
2019 Aug 19 (Mon) 22:00, 0.93392, 0.933937, 0.933948, 0.785873
2019 Aug 19 (Mon) 22:30, 0.929769, 0.929788, 0.9298, 0.786848
2019 Aug 19 (Mon) 23:00, 0.926455, 0.926476, 0.926489, 0.788344
2019 Aug 19 (Mon) 23:30, 0.903505, 0.90353, 0.903549, 0.789382
2019 Aug 20 (Tue) 0:00, 0.934764, 0.934788, 0.934802, 0.79176
